symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
NAZARA,2021-05-30 13:46:00,2021-03-31,2021-01-01,False,xbrl_new,1109062,64190000.0,75880000.0,158270000.0,-82390000.0,-55500000.0,-1.86,-1.86,121810000.0,
NAZARA,2021-05-30 13:49:00,2021-03-31,2021-01-01,True,xbrl_new,1109064,1233820000.0,1255770000.0,1215270000.0,40500000.0,42280000.0,1.06,1.0,121810000.0,
NAZARA,2021-07-31 16:39:00,2021-06-30,2021-04-01,True,xbrl_new,1114574,1312000000.0,1361000000.0,1145000000.0,216000000.0,135000000.0,1.75,1.73,122000000.0,
NAZARA,2021-07-31 16:40:00,2021-06-30,2021-04-01,False,xbrl_new,1114575,64000000.0,89000000.0,145000000.0,-56000000.0,-48000000.0,-1.58,-1.58,122000000.0,
NAZARA,2021-10-30 16:03:00,2021-09-30,2021-07-01,False,xbrl_new,1119100,42000000.0,73000000.0,175000000.0,-102000000.0,-79000000.0,-2.6,-2.6,122000000.0,
NAZARA,2021-10-30 16:09:00,2021-09-30,2021-07-01,True,xbrl_new,1119106,1296000000.0,1352000000.0,1205000000.0,147000000.0,145000000.0,3.31,3.31,122000000.0,
NAZARA,2022-02-12 13:01:00,2021-12-31,2021-10-01,False,xbrl_new,1129028,63000000.0,81000000.0,110000000.0,-29000000.0,-24000000.0,-0.78,0.78,130000000.0,
NAZARA,2022-02-12 13:03:00,2021-12-31,2021-10-01,True,xbrl_new,1129030,1858000000.0,1898000000.0,1703000000.0,195000000.0,148000000.0,2.71,2.71,130000000.0,
NAZARA,2022-05-14 17:06:00,2022-03-31,2022-01-01,False,xbrl_new,1132885,35000000.0,86000000.0,245000000.0,-159000000.0,-187000000.0,-5.76,-5.76,130000000.0,
NAZARA,2022-05-14 17:09:00,2022-03-31,2022-01-01,True,xbrl_new,1132887,1751000000.0,1847000000.0,1739000000.0,108000000.0,49000000.0,0.67,0.67,130000000.0,
