symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
NFL,2007-04-24 13:16:00,2007-03-31,2007-01-01,False,html_old,44282,80870.47,81621.49,71093.72,7202.23,4995.24,1.02,0.0,49057.84,0.0
NFL,2007-07-30 17:56:00,2007-06-30,2007-04-01,False,html_old,47654,82006.8,82492.26,77434.23,2151.66,1385.81,0.28,0.0,49057.84,0.0
NFL,2007-10-25 17:45:00,2007-09-30,2007-07-01,False,html_old,49216,107840.0,109415.0,103518.0,5743.0,4015.0,0.82,0.82,49058.0,
NFL,2008-01-31 12:40:00,2007-12-31,2007-10-01,False,html_old,52285,116681.0,117987.0,110762.0,7020.0,4703.0,0.96,0.96,49058.0,
NFL,2008-07-29 18:31:00,2008-06-30,2008-04-01,False,html_old,56642,110640.0,112972.0,106615.0,5198.0,3590.0,0.73,0.73,49058.0,
NFL,2008-10-27 17:17:00,2008-09-30,2008-07-01,False,html_old,59347,181796.0,,172908.0,9107.0,5734.0,1.17,1.17,49058.0,
NFL,2009-01-30 21:39:00,2008-12-31,2008-10-01,False,html_old,61961,125550.0,,120109.0,5962.0,3888.0,0.79,0.79,49058.0,
NFL,2009-07-28 18:42:00,2009-06-30,2009-04-01,False,html_old,66282,84451.0,,82319.0,3609.0,2381.0,0.49,0.49,49058.0,
NFL,2009-10-29 17:39:00,2009-09-30,2009-07-01,False,html_old,69166,146255.0,,138295.0,9161.0,5772.0,1.18,1.18,49058.0,
NFL,2010-01-29 15:19:00,2009-12-31,2009-10-01,False,html_old,71771,145310.0,,140536.0,5829.0,3671.0,0.75,0.75,49058.0,
NFL,2010-07-29 19:33:00,2010-06-30,2010-04-01,False,html_old,76379,115873.0,,114218.0,2654.0,1778.0,0.36,0.36,49058.0,
NFL,2010-10-29 15:38:00,2010-09-30,2010-07-01,False,html_old,79228,155644.0,,150249.0,6071.0,4310.0,0.88,0.88,49058.0,
NFL,2011-01-27 15:18:00,2010-12-31,2010-10-01,False,html_old,81826,146883.0,,140016.0,7621.0,5090.0,1.04,1.04,49058.0,
NFL,2011-07-28 20:34:00,2011-06-30,2011-04-01,False,html_old,87195,141712.0,,141018.0,602.0,598.0,0.12,0.12,49058.0,
NFL,2011-10-25 14:51:00,2011-09-30,2011-07-01,False,html_old,89523,175856.0,,174337.0,1319.0,915.0,0.19,0.19,49058.0,
NFL,2012-01-30 21:20:00,2011-12-31,2011-10-01,False,html_old,91727,204336.0,,194824.0,8067.0,5475.0,1.12,1.12,49058.0,
NFL,2012-05-29 12:00:00,2012-03-31,2012-01-01,False,html_old,95618,208625.0,,198240.0,8432.0,5687.0,1.16,1.16,49058.0,
NFL,2012-07-31 12:23:00,2012-06-30,2012-04-01,False,html_old,97787,180666.0,,186103.0,-7697.0,-5201.0,,,49058.0,
NFL,2012-10-30 13:04:00,2012-09-30,2012-07-01,False,html_old,100216,194657.0,,192678.0,883.0,74.0,,,49058.0,
NFL,2013-01-31 18:47:00,2012-12-31,2012-10-01,False,html_old,102458,181838.0,,182814.0,-2588.0,-1242.0,,,49058.0,
NFL,2013-06-05 19:29:00,2013-03-31,2013-01-01,False,html_old,106439,114862.0,,118438.0,-13660.0,-10704.0,,,49058.0,0.0
NFL,2013-08-14 17:49:00,2013-06-30,2013-04-01,False,html_old,110448,154787.0,,162248.0,-11412.0,-7703.0,,,49058.0,0.0
NFL,2013-11-22 12:41:00,2013-09-30,2013-07-01,False,html_old,113124,200368.0,,201586.0,-4090.0,-2590.0,,,49058.0,0.0
NFL,2014-02-21 15:01:00,2013-12-31,2013-10-01,False,html_old,115920,248049.0,,241698.0,1116.0,2302.0,,,49058.0,0.0
NFL,2014-06-06 10:29:00,2014-03-31,2014-01-01,False,html_old,119529,198499.0,,196427.0,-1730.0,-980.0,,,49058.0,0.0
NFL,2014-08-14 22:33:00,2014-06-30,2014-04-01,False,html_old,121755,216099.0,,208397.0,2580.0,1802.0,,,49058.0,0.0
NFL,2014-11-22 10:33:00,2014-09-30,2014-07-01,False,html_old,124467,232245.0,,218383.0,8396.0,6175.0,,,49058.0,0.0
NFL,2015-02-07 16:09:00,2014-12-31,2014-10-01,False,html_old,125827,248128.0,,232682.0,9589.0,4704.0,,,49058.0,0.0
NFL,2015-05-29 20:13:00,2015-03-31,2015-01-01,False,html_old,129790,155497.0,,162106.0,-16093.0,-10057.0,,,49058.0,0.0
NFL,2015-08-16 16:51:00,2015-06-30,2015-04-01,False,html_old,1001510,154483.0,,150807.0,-2053.0,-1279.0,,,49058.0,0.0
NFL,2015-11-13 10:42:00,2015-09-30,2015-07-01,False,html_old,1003710,225170.0,,211090.0,11069.0,5410.0,,,49058.0,0.0
NFL,2016-02-09 17:20:00,2015-12-31,2015-10-01,False,html_old,1005105,232920.0,,214929.0,14520.0,12434.0,,,49058.0,
NFL,2016-05-29 15:36:00,2016-03-31,2016-01-01,False,html_old,1008419,164015.0,,153258.0,4813.0,3144.0,,,49057.84,
NFL,2016-10-01 19:07:00,2016-06-30,2016-04-01,False,html_old,1013546,137511.0,,131429.0,17.0,-60.0,,,49057.84,
NFL,2016-10-01 19:09:00,2015-06-30,2015-04-01,False,html_old,1013547,155176.0,,151082.0,-1651.0,-1016.0,,,49057.84,
NFL,2016-12-01 20:42:00,2015-09-30,2015-07-01,False,html_old,1017162,225968.0,,212200.0,10791.0,5205.0,,,49058.0,
NFL,2016-12-01 20:42:00,2016-09-30,2016-07-01,False,html_old,1017161,190094.0,,178093.0,8770.0,4651.0,,,49058.0,
NFL,2017-02-15 14:05:00,2015-12-31,2015-10-01,False,html_old,1020341,233964.0,,215503.0,15000.0,12934.0,,,49057.84,
NFL,2017-02-15 14:05:00,2016-12-31,2016-10-01,False,html_old,1020340,252404.0,,238144.0,11495.0,7324.0,,,49057.84,
