symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
NYKAA,2021-11-14 22:17:00,2021-09-30,2021-07-01,False,xbrl_new,1123568,493850000.0,699620000.0,467090000.0,232530000.0,182560000.0,0.4,0.39,467330000.0,
NYKAA,2021-11-14 22:37:00,2021-09-30,2021-07-01,True,xbrl_new,1123572,8852640000.0,8904620000.0,8890970000.0,13650000.0,11720000.0,0.03,0.03,467330000.0,
NYKAA,2022-02-09 21:06:00,2021-12-31,2021-10-01,True,xbrl_new,1127575,10983600000.0,11042730000.0,10672970000.0,369760000.0,290150000.0,0.6,0.6,472930000.0,
NYKAA,2022-02-09 21:39:00,2021-12-31,2021-10-01,False,xbrl_new,1127589,449120000.0,691280000.0,478580000.0,212700000.0,167610000.0,0.36,0.36,472930000.0,
NYKAA,2022-05-27 18:23:00,2022-03-31,2022-01-01,False,xbrl_new,1135577,499140000.0,1019060000.0,499729000.0,519331000.0,486561000.0,1.03,1.02,474110000.0,
NYKAA,2022-05-27 18:55:00,2022-03-31,2022-01-01,True,xbrl_new,1135617,9733200000.0,9844585000.0,9786420000.0,58165000.0,75795000.0,0.18,0.18,474110000.0,
NYKAA,2022-08-05 19:11:00,2022-06-30,2022-04-01,False,xbrl_new,1631,376480000.0,678620000.0,565170000.0,113450000.0,90540000.0,0.19,0.19,474250000.0,
NYKAA,2022-11-01 13:35:00,2022-09-30,2022-07-01,True,xbrl_new,5369,12308290000.0,12373050000.0,12285500000.0,87550000.0,51910000.0,0.09,0.09,474550000.0,
NYKAA,2022-11-01 13:35:00,2022-09-30,2022-07-01,False,xbrl_new,5367,517540000.0,834750000.0,706710000.0,128040000.0,98830000.0,0.21,0.21,474550000.0,
NYKAA,2023-02-13 17:25:00,2022-12-31,2022-10-01,False,xbrl_new,1143444,540770000.0,892472000.0,632470000.0,260002000.0,197731000.0,0.07,0.07,2849372000.0,
NYKAA,2023-02-13 17:42:00,2022-12-31,2022-10-01,True,xbrl_new,1143482,14628260000.0,14684620000.0,14557910000.0,126710000.0,84850000.0,0.03,0.03,2849370000.0,
NYKAA,2023-05-24 20:53:00,2023-03-31,2023-01-01,False,xbrl_new,1148665,743200000.0,1059010000.0,754230000.0,304780000.0,225990000.0,0.08,0.08,2852450000.0,
NYKAA,2023-05-24 21:12:00,2023-03-31,2023-01-01,True,xbrl_new,1148667,13017240000.0,13114620000.0,13028330000.0,86290000.0,22750000.0,0.01,0.01,2852450000.0,
NYKAA,2023-08-11 18:33:00,2023-06-30,2023-04-01,True,xbrl_new,1154329,14218240000.0,14285450000.0,14188260000.0,97190000.0,54250000.0,0.02,0.02,2852850000.0,
NYKAA,2023-11-06 16:08:00,2023-09-30,2023-07-01,False,xbrl_new,1157949,252080000.0,643070000.0,570440000.0,72630000.0,59890000.0,0.02,0.02,2853730000.0,
NYKAA,2023-11-06 16:42:00,2023-09-30,2023-07-01,True,xbrl_new,1157973,15070240000.0,15155970000.0,15023400000.0,132570000.0,78000000.0,0.02,0.02,2853730000.0,
NYKAA,2024-02-06 17:04:00,2023-12-31,2023-10-01,False,xbrl_new,1164887,383000000.0,833900000.0,660670000.0,173230000.0,131190000.0,0.05,0.05,2854960000.0,
NYKAA,2024-02-06 17:07:00,2023-12-31,2023-10-01,True,xbrl_new,1164889,17887980000.0,17963820000.0,17698930000.0,264890000.0,174540000.0,0.06,0.06,2854960000.0,
NYKAA,2024-05-22 18:58:00,2024-03-31,2024-01-01,False,xbrl_new,1173163,935880000.0,1550280000.0,997350000.0,552930000.0,886710000.0,0.31,0.31,2855990000.0,
NYKAA,2024-05-22 19:04:00,2024-03-31,2024-01-01,True,xbrl_new,1173169,16679800000.0,16750430000.0,16554810000.0,195620000.0,90710000.0,0.02,0.02,2855990000.0,
NYKAA,2024-08-13 16:48:00,2024-06-30,2024-04-01,False,xbrl_new,1180292,1028300000.0,1420100000.0,1180800000.0,239300000.0,422300000.0,0.15,0.15,2856800000.0,
NYKAA,2024-08-13 16:50:00,2024-06-30,2024-04-01,True,xbrl_new,1180294,17461100000.0,17534400000.0,17313600000.0,220800000.0,136400000.0,0.03,0.03,2856800000.0,
NYKAA,2024-11-12 17:23:00,2024-09-30,2024-07-01,True,xbrl_new,1186087,18747400000.0,18801900000.0,18589300000.0,212600000.0,129700000.0,0.04,0.04,2857900000.0,
NYKAA,2024-11-12 17:23:00,2024-09-30,2024-07-01,False,xbrl_new,1186083,1094100000.0,1492200000.0,1274300000.0,217900000.0,161600000.0,0.06,0.06,2857900000.0,
NYKAA,2025-02-11 12:31:00,2024-12-31,2024-10-01,True,xbrl_new,1194237,22672100000.0,22727400000.0,22281800000.0,445600000.0,264100000.0,0.09,0.09,2859000000.0,
NYKAA,2025-02-11 12:33:00,2024-12-31,2024-10-01,False,xbrl_new,1194243,1191400000.0,1601500000.0,1286700000.0,314800000.0,244600000.0,0.09,0.09,2859000000.0,
