symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
OMAXE,2007-10-18 13:53:00,2007-09-30,2007-07-01,False,html_old,48626,44690.6,45467.2,28871.6,15319.7,11672.7,7.0,7.0,17356.7,
OMAXE,2007-10-29 11:18:00,2007-09-30,2007-07-01,True,html_old,48631,70365.6,71211.4,46522.5,23409.9,16087.0,9.62,9.62,17356.7,
OMAXE,2008-01-31 15:22:00,2007-12-31,2007-10-01,False,html_old,52324,56756.3,57684.4,39951.8,16260.2,12309.7,7.09,7.09,17356.7,
OMAXE,2008-01-31 21:45:00,2007-12-31,2007-10-01,True,html_old,52459,66816.6,67821.5,46091.2,20277.7,15419.0,8.88,8.88,17356.7,
OMAXE,2008-07-29 17:59:00,2008-06-30,2008-04-01,True,html_old,56631,35032.97,35438.29,25660.8,7534.18,5669.79,3.26,3.26,17356.7,
OMAXE,2008-07-29 17:59:00,2008-06-30,2008-04-01,False,html_old,56629,28884.28,29237.02,20966.17,6030.64,4652.74,2.68,2.68,17356.7,
OMAXE,2008-10-31 21:45:00,2008-09-30,2008-07-01,True,html_old,60111,20402.94,,16746.43,2066.81,2036.67,1.17,1.17,17356.7,
OMAXE,2008-10-31 21:45:00,2008-09-30,2008-07-01,False,html_old,60107,18290.59,,15297.8,5769.59,5851.12,3.37,3.37,17356.7,
OMAXE,2009-01-30 17:16:00,2008-12-31,2008-10-01,False,html_old,61836,15117.84,,12093.92,656.7,490.97,0.28,0.28,17356.7,
OMAXE,2009-01-30 17:16:00,2008-12-31,2008-10-01,True,html_old,61834,18041.81,,14917.61,814.08,588.46,0.34,0.34,17356.7,
OMAXE,2009-07-31 19:30:00,2009-06-30,2009-04-01,True,html_old,66991,11890.64,,7618.03,1968.05,1496.74,0.86,0.86,17356.7,
OMAXE,2009-07-31 19:30:00,2009-06-30,2009-04-01,False,html_old,66989,8817.27,,5286.78,1215.25,978.42,0.56,0.56,17356.7,
OMAXE,2009-10-31 20:58:00,2009-09-30,2009-07-01,False,html_old,69969,17080.23,,12715.4,1403.01,1129.58,0.65,0.65,17356.7,
OMAXE,2009-11-03 15:28:00,2009-09-30,2009-07-01,True,html_old,69974,22392.02,,16620.99,2828.74,2251.22,1.3,1.3,17356.7,
OMAXE,2010-01-29 18:05:00,2009-12-31,2009-10-01,True,html_old,71875,28020.07,,21369.52,4269.22,2846.04,1.64,1.64,17356.7,
OMAXE,2010-01-29 18:05:00,2009-12-31,2009-10-01,False,html_old,71873,22163.8,,15893.01,3878.23,2765.82,1.59,1.59,17356.7,
OMAXE,2010-05-27 17:14:00,2010-03-31,2010-01-01,True,html_old,74671,37819.58,,35307.16,1277.13,4511.64,2.6,2.6,17356.7,140827.08
OMAXE,2010-05-27 17:14:00,2010-03-31,2010-01-01,False,html_old,74670,31435.31,,28938.68,1252.68,4130.11,2.38,2.38,17356.7,120552.16
OMAXE,2010-07-29 18:09:00,2010-06-30,2010-04-01,True,html_old,76345,25292.7,,20552.39,2934.16,2172.32,1.25,1.25,17356.7,
OMAXE,2010-07-29 18:09:00,2010-06-30,2010-04-01,False,html_old,76344,18128.77,,13933.36,2408.27,1820.89,1.05,1.05,17356.7,
OMAXE,2010-11-10 15:41:00,2010-09-30,2010-07-01,True,html_old,80192,35440.48,,27575.45,5362.45,3674.52,2.12,2.12,17356.7,
OMAXE,2010-11-10 15:41:00,2010-09-30,2010-07-01,False,html_old,80188,27025.81,,21475.08,3076.48,2326.1,1.34,1.34,17356.7,
OMAXE,2011-02-10 16:57:00,2010-12-31,2010-10-01,True,html_old,82676,34797.46,,28573.64,3519.59,2256.63,1.3,1.3,17356.7,
OMAXE,2011-02-10 16:57:00,2010-12-31,2010-10-01,False,html_old,82674,25818.21,,20663.89,2487.56,1579.48,0.91,0.91,17356.7,
OMAXE,2011-06-09 17:51:00,2011-03-31,2011-01-01,False,html_old,86090,43136.61,,41675.37,176.78,523.98,0.3,0.3,17356.7,126666.97
