symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PAYTM,2021-11-27 13:41:00,2021-09-30,2021-07-01,True,xbrl_new,1124014,10864000000.0,11345000000.0,15994000000.0,-4649000000.0,-4735000000.0,-8.0,-8.0,610000000.0,
PAYTM,2021-11-27 14:03:00,2021-09-30,2021-07-01,False,xbrl_new,1124016,10515000000.0,10956000000.0,15489000000.0,-4612000000.0,-4612000000.0,-8.0,-8.0,610000000.0,
PAYTM,2022-02-04 23:53:00,2021-12-31,2021-10-01,True,xbrl_new,1126662,14561000000.0,15334000000.0,23174000000.0,-7840000000.0,-7785000000.0,-12.0,-12.0,648000000.0,
PAYTM,2022-02-04 23:55:00,2021-12-31,2021-10-01,False,xbrl_new,1126664,9210000000.0,9993000000.0,17791000000.0,-7798000000.0,-7798000000.0,-12.0,-12.0,648000000.0,
PAYTM,2022-05-20 22:15:00,2022-03-31,2022-01-01,True,xbrl_new,1133762,15409000000.0,16484000000.0,23720000000.0,-7236000000.0,-7625000000.0,-12.0,-12.0,649000000.0,
PAYTM,2022-05-20 22:17:00,2022-03-31,2022-01-01,False,xbrl_new,1133764,10731000000.0,11812000000.0,18703000000.0,-6891000000.0,-6891000000.0,-11.0,-11.0,649000000.0,
PAYTM,2022-08-05 21:01:00,2022-06-30,2022-04-01,False,xbrl_new,1642,12454000000.0,13467000000.0,19747000000.0,-6280000000.0,-6280000000.0,-10.0,-10.0,649000000.0,
PAYTM,2022-11-07 21:32:00,2022-09-30,2022-07-01,True,xbrl_new,6565,19140000000.0,20136000000.0,25614000000.0,-5478000000.0,-5715000000.0,-9.0,-9.0,649000000.0,
PAYTM,2022-11-07 21:32:00,2022-09-30,2022-07-01,False,xbrl_new,6582,14044000000.0,14902000000.0,20790000000.0,-5888000000.0,-5888000000.0,-9.0,-9.0,649000000.0,
PAYTM,2023-02-03 22:33:00,2022-12-31,2022-10-01,False,xbrl_new,1140867,15739000000.0,16542000000.0,20570000000.0,-4357000000.0,-4357000000.0,-7.0,-7.0,648000000.0,
PAYTM,2023-02-03 22:37:00,2022-12-31,2022-10-01,True,xbrl_new,1140869,2062200000.0,2140200000.0,2522300000.0,-382100000.0,-392100000.0,-6.0,-6.0,64800000.0,
PAYTM,2023-05-05 22:08:00,2023-03-31,2023-01-01,False,xbrl_new,1146150,18040000000.0,19360000000.0,21092000000.0,-2033000000.0,-2033000000.0,-3.0,-3.0,634000000.0,
PAYTM,2023-05-05 22:10:00,2023-03-31,2023-01-01,True,xbrl_new,1146152,23345000000.0,24646000000.0,26305000000.0,-1659000000.0,-1675000000.0,-3.0,-3.0,634000000.0,
PAYTM,2023-07-21 22:26:00,2023-06-30,2023-04-01,True,xbrl_new,1152044,23416000000.0,24642000000.0,28001000000.0,-3359000000.0,-3584000000.0,-6.0,-6.0,634000000.0,
PAYTM,2023-07-21 22:27:00,2023-06-30,2023-04-01,False,xbrl_new,1152045,18446000000.0,19720000000.0,23028000000.0,-3328000000.0,-3328000000.0,-5.0,-5.0,634000000.0,
PAYTM,2023-10-20 17:51:00,2023-09-30,2023-07-01,True,xbrl_new,1155669,2518600000.0,2662500000.0,2936700000.0,-279900000.0,-291700000.0,-5.0,-5.0,63500000.0,
PAYTM,2023-10-20 17:52:00,2023-09-30,2023-07-01,False,xbrl_new,1155671,19803000000.0,21110000000.0,24290000000.0,-3237000000.0,-3237000000.0,-5.0,-5.0,635370000.0,
PAYTM,2024-01-19 19:47:00,2023-12-31,2023-10-01,True,xbrl_new,1162448,28505000000.0,29991000000.0,32163000000.0,-2172000000.0,-2217000000.0,-3.0,-3.0,635000000.0,
PAYTM,2024-01-19 19:51:00,2023-12-31,2023-10-01,False,xbrl_new,1162450,21379000000.0,22785000000.0,25321000000.0,-2536000000.0,-2536000000.0,-4.0,-4.0,635000000.0,
PAYTM,2024-05-22 17:33:00,2024-03-31,2024-01-01,True,xbrl_new,1173110,22671000000.0,23988000000.0,26914000000.0,-5197000000.0,-5505000000.0,-9.0,-9.0,636000000.0,
PAYTM,2024-05-22 17:35:00,2024-03-31,2024-01-01,False,xbrl_new,1173116,16980000000.0,18237000000.0,21804000000.0,-5663000000.0,-5663000000.0,-9.0,-9.0,636000000.0,
PAYTM,2024-07-19 17:19:00,2024-06-30,2024-04-01,True,xbrl_new,1177687,15016000000.0,16391000000.0,24764000000.0,-8373000000.0,-8401000000.0,-13.0,-13.0,636000000.0,
PAYTM,2024-07-19 17:20:00,2024-06-30,2024-04-01,False,xbrl_new,1177688,11488000000.0,12740000000.0,20986000000.0,-8246000000.0,-8246000000.0,-13.0,-13.0,636000000.0,
PAYTM,2024-10-22 17:58:00,2024-09-30,2024-07-01,True,xbrl_new,1181928,16595000000.0,18340000000.0,22448000000.0,9346000000.0,9300000000.0,14.59,14.29,637000000.0,
PAYTM,2024-10-22 18:03:00,2024-09-30,2024-07-01,False,xbrl_new,1181930,12651000000.0,14275000000.0,18642000000.0,8214000000.0,8214000000.0,12.91,12.65,637000000.0,
PAYTM,2025-01-20 18:37:00,2024-12-31,2024-10-01,True,xbrl_new,1190043,18278000000.0,20165000000.0,22198000000.0,-2033000000.0,-2085000000.0,-3.27,-3.27,637000000.0,
PAYTM,2025-01-20 18:38:00,2024-12-31,2024-10-01,False,xbrl_new,1190045,14916000000.0,16603000000.0,18656000000.0,-2053000000.0,-2053000000.0,-3.22,-3.22,637000000.0,
