symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PCBL,2007-04-30 21:48:00,2007-03-31,2007-01-01,False,html_old,44921,,,,,,,,,
PCBL,2007-08-07 18:41:00,2007-06-30,2007-04-01,False,html_old,47327,,,,,,,,,
PCBL,2007-10-31 16:49:00,2007-09-30,2007-07-01,False,html_old,50593,,,,,,,,,
PCBL,2008-01-30 15:07:00,2007-12-31,2007-10-01,False,html_old,52127,,,,,,,,,
PCBL,2008-04-29 10:13:00,2008-03-31,2008-01-01,False,html_old,53361,,,,,,,,,
PCBL,2008-07-30 15:01:00,2008-06-30,2008-04-01,False,html_old,56837,,,,,,,,,
PCBL,2008-10-25 18:32:00,2008-09-30,2008-07-01,False,html_old,58816,,,,,,,,,
PCBL,2009-01-28 20:03:00,2008-12-31,2008-10-01,False,html_old,61484,,,,,,,,,
PCBL,2009-04-28 14:09:00,2009-03-31,2009-01-01,False,html_old,63034,,,,,,,,,
PCBL,2009-07-24 14:18:00,2009-06-30,2009-04-01,False,html_old,65948,,,,,,,,,
PCBL,2009-10-28 13:31:00,2009-09-30,2009-07-01,False,html_old,68692,,,,,,,,,
PCBL,2010-01-21 13:12:00,2009-12-31,2009-10-01,False,html_old,70986,,,,,,,,,
PCBL,2010-04-28 17:09:00,2010-03-31,2010-01-01,False,html_old,73011,,,,,,,,,
PCBL,2010-07-23 14:20:00,2010-06-30,2010-04-01,False,html_old,75865,,,,,,,,,
PCBL,2010-10-28 11:04:00,2010-09-30,2010-07-01,False,html_old,78856,,,,,,,,,
PCBL,2011-01-31 15:45:00,2010-12-31,2010-10-01,False,html_old,82116,,,,,,,,,
PCBL,2011-05-04 09:18:00,2011-03-31,2011-01-01,False,html_old,84085,,,,,,,,,
PCBL,2011-08-01 11:23:00,2011-06-30,2011-04-01,False,html_old,87286,,,,,,,,,
PCBL,2011-11-21 19:07:00,2011-09-30,2011-07-01,False,html_old,91065,,,,,,,,,
PCBL,2012-02-08 16:07:00,2011-12-31,2011-10-01,False,html_old,92204,,,,,,,,,
PCBL,2012-06-12 17:27:00,2012-03-31,2012-01-01,False,html_old,96925,,,,,,,,,
PCBL,2012-07-31 21:07:00,2012-06-30,2012-04-01,False,html_old,97844,,,,,,,,,
PCBL,2012-11-05 18:35:00,2012-09-30,2012-07-01,False,html_old,100613,,,,,,,,,
PCBL,2013-02-08 13:33:00,2012-12-31,2012-10-01,False,html_old,102767,,,,,,,,,
PCBL,2013-07-10 16:49:00,2013-03-31,2013-01-01,False,html_old,108951,,,,,,,,,
PCBL,2013-07-29 16:25:00,2013-06-30,2013-04-01,False,html_old,109314,,,,,,,,,
PCBL,2013-11-06 17:53:00,2013-09-30,2013-07-01,False,html_old,112205,,,,,,,,,
