symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PEL,2007-04-26 13:38:00,2007-03-31,2007-01-01,False,html_old,44537,38656.0,38721.0,33918.0,2742.0,2692.0,1.3,1.3,4180.0,0.0
PEL,2007-04-26 15:13:00,2007-03-31,2007-01-01,True,html_old,44536,64521.0,64521.0,56147.0,5833.0,5495.0,2.6,2.6,4180.0,0.0
PEL,2007-07-25 13:20:00,2007-06-30,2007-04-01,False,html_old,47103,39502.0,39709.0,33408.0,3918.0,3439.0,1.6,1.6,4180.0,0.0
PEL,2007-07-25 13:41:00,2007-06-30,2007-04-01,True,html_old,47105,60807.0,61009.0,52435.0,4971.0,4340.0,2.1,2.1,4180.0,0.0
PEL,2007-10-25 13:47:00,2007-09-30,2007-07-01,False,html_old,49162,53182.0,53182.0,44081.0,8773.0,8098.0,3.8,3.8,4180.0,
PEL,2007-10-25 15:28:00,2007-09-30,2007-07-01,True,html_old,49167,76457.0,76457.0,65800.0,9278.0,8481.0,4.0,4.0,4180.0,
PEL,2008-01-18 14:22:00,2007-12-31,2007-10-01,False,html_old,51310,48621.0,49218.0,40623.0,8132.0,7382.0,3.5,3.5,4180.0,
PEL,2008-01-18 14:42:00,2007-12-31,2007-10-01,True,html_old,51311,73233.0,73635.0,63807.0,8053.0,7264.0,3.5,3.5,4180.0,
PEL,2008-04-24 14:53:00,2008-03-31,2008-01-01,False,html_old,53102,51697.0,51698.0,38773.0,12454.0,11230.0,5.4,5.4,4180.0,
PEL,2008-04-24 15:06:00,2008-03-31,2008-01-01,True,html_old,53099,76787.0,76790.0,58085.0,14983.0,13434.0,6.4,6.4,4180.0,
PEL,2008-07-24 13:34:00,2008-06-30,2008-04-01,True,html_old,56079,70832.0,70843.0,61575.0,7659.0,6793.0,3.3,3.3,4180.0,
PEL,2008-07-24 13:38:00,2008-06-30,2008-04-01,False,html_old,56083,48912.0,48922.0,42748.0,5765.0,5094.0,2.4,2.4,4180.0,
PEL,2008-10-22 14:23:00,2008-09-30,2008-07-01,False,html_old,58216,63197.0,,55229.0,7781.0,6944.0,3.3,3.3,4180.0,
PEL,2008-10-22 14:23:00,2008-09-30,2008-07-01,True,html_old,58215,88425.0,,77626.0,8649.0,7509.0,3.5,3.5,4180.0,
PEL,2009-01-22 15:01:00,2008-12-31,2008-10-01,False,html_old,61077,58046.0,,53037.0,4377.0,3867.0,1.9,1.9,4180.0,
PEL,2009-01-22 15:06:00,2008-12-31,2008-10-01,True,html_old,61079,82833.0,,73743.0,6906.0,6188.0,2.9,2.9,4180.0,
PEL,2009-04-24 14:37:00,2009-03-31,2009-01-01,True,html_old,62831,85091.0,,68988.0,10861.0,11391.0,5.5,5.5,4180.0,
PEL,2009-04-24 14:37:00,2009-03-31,2009-01-01,False,html_old,62830,62297.0,,48208.0,13535.0,11627.0,5.6,5.6,4180.0,
PEL,2009-07-22 14:50:00,2009-06-30,2009-04-01,True,html_old,65804,82154.0,,69985.0,9633.0,8507.0,4.1,4.1,4180.0,
PEL,2009-07-22 14:53:00,2009-06-30,2009-04-01,False,html_old,65805,56973.0,,47768.0,8339.0,7411.0,3.5,3.5,4180.0,
PEL,2009-10-22 13:53:00,2009-09-30,2009-07-01,False,html_old,67903,70770.0,,58241.0,12162.0,11422.0,5.5,5.5,4180.0,
PEL,2009-10-22 13:59:00,2009-09-30,2009-07-01,True,html_old,67904,99999.0,,85862.0,11564.0,10625.0,5.1,5.1,4180.0,
PEL,2010-01-21 13:31:00,2009-12-31,2009-10-01,False,html_old,70989,70489.0,,55184.0,14646.0,13828.0,6.6,6.6,4180.0,
