symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PHOENIXLTD,2007-04-24 18:35:00,2007-03-31,2007-01-01,False,html_old,44423,1477.77,14047.76,799.31,12789.95,10664.95,87.06,87.06,1225.0,0.0
PHOENIXLTD,2007-07-30 20:39:00,2007-06-30,2007-04-01,False,html_old,47742,1308.84,1388.18,452.4,729.97,729.97,5.73,5.73,1423.58,0.0
PHOENIXLTD,2007-10-24 21:50:00,2007-09-30,2007-07-01,False,html_old,49128,1676.29,2125.34,674.45,1450.87,773.91,4.49,4.49,1913.58,
PHOENIXLTD,2008-01-22 21:18:00,2007-12-31,2007-10-01,False,html_old,51482,2018.68,3174.98,763.64,2071.65,1716.18,6.43,6.43,2713.58,
PHOENIXLTD,2008-04-22 19:19:00,2008-03-31,2008-01-01,False,html_old,53039,2308.44,16055.34,2046.09,14007.56,13439.2,9.91,9.91,2713.58,
PHOENIXLTD,2008-07-30 21:05:00,2008-06-30,2008-04-01,False,html_old,56947,2070.79,2229.51,709.78,1519.73,1103.16,0.81,0.81,2713.58,
PHOENIXLTD,2008-10-22 21:16:00,2008-09-30,2008-07-01,False,html_old,58298,2342.9,,719.72,4673.32,3866.64,2.73,2.73,2896.91,
PHOENIXLTD,2009-01-29 18:47:00,2008-12-31,2008-10-01,False,html_old,61649,2208.72,,867.09,1869.03,1475.02,1.02,1.02,2896.91,
PHOENIXLTD,2009-04-28 19:24:00,2009-03-31,2009-01-01,False,html_old,63080,2141.85,,1078.65,1680.93,1405.25,0.97,0.97,2896.91,
PHOENIXLTD,2009-07-28 09:49:00,2009-06-30,2009-04-01,False,html_old,66190,2478.57,,830.44,2079.8,1532.82,1.06,1.06,2896.91,
PHOENIXLTD,2009-10-27 19:23:00,2009-09-30,2009-07-01,False,html_old,68600,2638.99,,1087.51,2281.27,1754.1,1.21,1.21,2896.91,
PHOENIXLTD,2010-01-28 18:49:00,2009-12-31,2009-10-01,False,html_old,71622,3018.43,,1774.54,1404.08,1018.93,0.7,0.7,2896.91,
PHOENIXLTD,2010-04-29 19:29:00,2010-03-31,2010-01-01,False,html_old,73162,3447.19,,2057.78,1614.91,1570.42,1.08,1.08,2896.91,
PHOENIXLTD,2010-07-29 09:42:00,2010-06-30,2010-04-01,False,html_old,76259,4043.06,,1792.02,2341.89,1826.25,1.26,1.26,2896.91,
PHOENIXLTD,2010-10-29 11:24:00,2010-09-30,2010-07-01,False,html_old,79136,4433.79,,1955.56,2847.45,2212.24,1.53,1.53,2896.91,
PHOENIXLTD,2011-01-27 20:25:00,2010-12-31,2010-10-01,False,html_old,81871,4507.21,,1930.5,3096.45,2376.97,1.64,1.64,2896.91,
PHOENIXLTD,2011-04-29 10:29:00,2011-03-31,2011-01-01,False,html_old,83805,4679.11,,2165.67,3894.66,2716.31,1.88,1.88,2896.91,
PHOENIXLTD,2011-08-22 11:17:00,2011-06-30,2011-04-01,False,html_old,88708,4705.13,,2067.97,3631.63,2722.63,1.88,1.88,2896.91,
PHOENIXLTD,2011-11-15 16:29:00,2011-09-30,2011-07-01,False,html_old,90652,4740.81,,2095.12,3228.03,2389.41,1.65,1.65,2896.91,
