symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
POLICYBZR,2022-05-28 19:20:00,2022-03-31,2022-01-01,False,xbrl_new,1136285,311353000.0,772916000.0,1232766000.0,-522458000.0,-516844000.0,-0.89,-0.89,899000000.0,
POLICYBZR,2022-05-28 19:27:00,2022-03-31,2022-01-01,True,xbrl_new,1136295,5402971000.0,5911664000.0,8112605000.0,-2200941000.0,-2196080000.0,-4.99,-4.99,899000000.0,
POLICYBZR,2022-08-10 23:44:00,2022-06-30,2022-04-01,False,xbrl_new,2587,284627000.0,672168000.0,1253964000.0,-581796000.0,-581796000.0,-1.32,-1.32,899000000.0,
POLICYBZR,2022-08-10 23:44:00,2022-06-30,2022-04-01,True,xbrl_new,2588,5051865000.0,5526656000.0,7567907000.0,-2041251000.0,-2043340000.0,-4.62,-4.62,899000000.0,
POLICYBZR,2022-11-08 11:56:00,2022-09-30,2022-07-01,True,xbrl_new,6626,5734730000.0,6338388000.0,8206593000.0,-1868205000.0,-1866392000.0,-4.19,-4.19,899000000.0,
POLICYBZR,2022-11-08 11:56:00,2022-09-30,2022-07-01,False,xbrl_new,6624,303014000.0,824536000.0,1255206000.0,-430670000.0,-430670000.0,-0.97,-0.97,899000000.0,
POLICYBZR,2023-02-10 17:33:00,2022-12-31,2022-10-01,True,xbrl_new,1142622,6100929000.0,6789998000.0,7663758000.0,-873760000.0,-876218000.0,-1.96,-1.96,900233000.0,
POLICYBZR,2023-02-10 17:36:00,2022-12-31,2022-10-01,False,xbrl_new,1142628,319898000.0,770265000.0,793664000.0,-23399000.0,-23386000.0,-0.05,-0.05,900233000.0,
POLICYBZR,2023-05-23 13:14:00,2023-03-31,2023-01-01,True,xbrl_new,1148249,8690947000.0,9513350000.0,9608066000.0,-94716000.0,-93442000.0,-0.2,-0.2,900233000.0,
POLICYBZR,2023-05-23 13:17:00,2023-03-31,2023-01-01,False,xbrl_new,1148251,433919000.0,1021860000.0,727569000.0,294292000.0,294292000.0,0.66,0.65,900233000.0,
POLICYBZR,2023-08-07 19:36:00,2023-06-30,2023-04-01,True,xbrl_new,1153272,6655866000.0,7567482000.0,7684724000.0,-117242000.0,-119041000.0,-0.26,-0.26,900233000.0,
POLICYBZR,2023-08-07 19:37:00,2023-06-30,2023-04-01,False,xbrl_new,1153273,352233000.0,969177000.0,749015000.0,220162000.0,220162000.0,0.49,0.48,900233000.0,
POLICYBZR,2023-11-04 19:20:00,2023-09-30,2023-07-01,True,xbrl_new,1157827,8116275000.0,9091222000.0,9302222000.0,-211000000.0,-211081000.0,-0.45,-0.45,900233000.0,
POLICYBZR,2023-11-04 19:22:00,2023-09-30,2023-07-01,False,xbrl_new,1157831,136206000.0,775214000.0,756321000.0,18893000.0,18893000.0,0.04,0.04,900233000.0,
POLICYBZR,2024-01-30 17:15:00,2023-12-31,2023-10-01,False,xbrl_new,1163528,271413000.0,902908000.0,633290000.0,269618000.0,269618000.0,0.6,0.59,902004000.0,
POLICYBZR,2024-01-30 17:16:00,2023-12-31,2023-10-01,True,xbrl_new,1163534,8708912000.0,9645032000.0,9259129000.0,385903000.0,372295000.0,0.85,0.83,902004000.0,
POLICYBZR,2024-05-08 13:02:00,2024-03-31,2024-01-01,True,xbrl_new,1170626,10895700000.0,11878800000.0,11145200000.0,733600000.0,601900000.0,1.35,1.31,902400000.0,
POLICYBZR,2024-05-08 13:05:00,2024-03-31,2024-01-01,False,xbrl_new,1170628,343100000.0,976800000.0,1040300000.0,-66200000.0,-146800000.0,-0.33,-0.33,902400000.0,
POLICYBZR,2024-08-06 19:27:00,2024-06-30,2024-04-01,False,xbrl_new,1179089,300700000.0,922700000.0,838200000.0,116700000.0,99000000.0,0.22,0.21,912100000.0,
POLICYBZR,2024-08-06 19:29:00,2024-06-30,2024-04-01,True,xbrl_new,1179092,10104900000.0,11107500000.0,10811300000.0,706700000.0,599800000.0,1.34,1.31,912100000.0,
POLICYBZR,2024-11-06 16:53:00,2024-09-30,2024-07-01,False,xbrl_new,1184271,376300000.0,1053400000.0,990300000.0,63100000.0,53900000.0,0.12,0.12,912300000.0,
POLICYBZR,2024-11-06 16:55:00,2024-09-30,2024-07-01,True,xbrl_new,1184273,11672300000.0,12732300000.0,12133900000.0,598400000.0,509800000.0,1.12,1.09,912300000.0,
POLICYBZR,2025-01-30 20:02:00,2024-12-31,2024-10-01,False,xbrl_new,1191629,388900000.0,1042500000.0,861700000.0,180800000.0,139700000.0,0.31,0.3,918400000.0,
POLICYBZR,2025-01-30 20:04:00,2024-12-31,2024-10-01,True,xbrl_new,1191631,12916200000.0,13920000000.0,13068200000.0,851800000.0,715400000.0,1.57,1.55,918400000.0,
