symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PPLPHARMA,2022-11-10 16:53:00,2022-09-30,2022-07-01,True,xbrl_new,7540,17200100000.0,17662300000.0,17966200000.0,-373500000.0,-373400000.0,-0.31,-0.31,11933200000.0,
PPLPHARMA,2022-11-10 16:53:00,2022-09-30,2022-07-01,False,xbrl_new,7518,8288700000.0,9465700000.0,8577100000.0,819000000.0,473300000.0,0.4,0.4,11933200000.0,
PPLPHARMA,2023-02-09 12:39:00,2022-12-31,2022-10-01,False,xbrl_new,1141881,8132900000.0,8671700000.0,8664300000.0,7400000.0,-24200000.0,-0.02,-0.02,11933200000.0,
PPLPHARMA,2023-02-09 12:40:00,2022-12-31,2022-10-01,True,xbrl_new,1141883,17159700000.0,17985100000.0,18877200000.0,-892100000.0,-901800000.0,-0.76,-0.76,11933200000.0,
PPLPHARMA,2023-05-25 15:49:00,2023-03-31,2023-01-01,False,xbrl_new,1148785,10545800000.0,11174600000.0,10518200000.0,656400000.0,417000000.0,0.35,0.35,11933200000.0,
PPLPHARMA,2023-05-25 15:52:00,2023-03-31,2023-01-01,True,xbrl_new,1148791,21635800000.0,21880800000.0,21009700000.0,871100000.0,501100000.0,0.42,0.42,11933200000.0,
PPLPHARMA,2023-08-03 21:29:00,2023-06-30,2023-04-01,True,xbrl_new,1152948,17488500000.0,17871610000.0,19086590000.0,-1214980000.0,-985840000.0,-0.83,-0.83,11933200000.0,
PPLPHARMA,2023-08-03 21:31:00,2023-06-30,2023-04-01,False,xbrl_new,1152949,8464310000.0,8731110000.0,9140090000.0,-408980000.0,-333560000.0,-0.28,-0.28,11933200000.0,
PPLPHARMA,2023-10-28 16:41:00,2023-09-30,2023-07-01,False,xbrl_new,1156437,9942400000.0,10833200000.0,9871300000.0,961900000.0,771600000.0,0.61,0.61,13229500000.0,
PPLPHARMA,2023-10-28 16:43:00,2023-09-30,2023-07-01,True,xbrl_new,1156441,19113800000.0,19605700000.0,19401200000.0,204500000.0,50200000.0,0.04,0.04,13229500000.0,
PPLPHARMA,2024-01-30 21:13:00,2023-12-31,2023-10-01,False,xbrl_new,1163606,10241400000.0,10572500000.0,9675900000.0,896600000.0,743400000.0,0.56,0.56,13229500000.0,
PPLPHARMA,2024-01-30 21:14:00,2023-12-31,2023-10-01,True,xbrl_new,1163608,19585700000.0,20200800000.0,19824000000.0,54100000.0,101100000.0,0.08,0.08,13229500000.0,
PPLPHARMA,2024-05-10 21:23:00,2024-03-31,2024-01-01,False,xbrl_new,1171100,15253000000.0,15784900000.0,12158200000.0,3626700000.0,2730800000.0,2.06,2.06,13229500000.0,
PPLPHARMA,2024-05-10 21:24:00,2024-03-31,2024-01-01,True,xbrl_new,1171102,25523600000.0,25787400000.0,23327800000.0,2154400000.0,1012700000.0,0.77,0.77,13229500000.0,
PPLPHARMA,2024-07-26 12:59:00,2024-06-30,2024-04-01,False,xbrl_new,1178094,10632000000.0,10999600000.0,9883000000.0,1116600000.0,852700000.0,0.64,0.64,13229500000.0,
PPLPHARMA,2024-07-26 13:00:00,2024-06-30,2024-04-01,True,xbrl_new,1178095,19511400000.0,19706800000.0,20381600000.0,-674800000.0,-886400000.0,-0.67,-0.67,13229500000.0,
PPLPHARMA,2024-10-23 20:27:00,2024-09-30,2024-07-01,False,xbrl_new,1182151,12843900000.0,13907700000.0,11150600000.0,2757100000.0,2100600000.0,1.59,1.59,13231400000.0,
PPLPHARMA,2024-10-23 20:29:00,2024-09-30,2024-07-01,True,xbrl_new,1182153,22417500000.0,23028600000.0,22000000000.0,1028600000.0,225900000.0,0.17,0.17,13231400000.0,
PPLPHARMA,2025-01-28 21:03:00,2024-12-31,2024-10-01,False,xbrl_new,1191051,12483200000.0,12730200000.0,11136100000.0,1594100000.0,1188000000.0,0.9,0.9,13235800000.0,
PPLPHARMA,2025-01-28 21:04:00,2024-12-31,2024-10-01,True,xbrl_new,1191053,22042200000.0,22163500000.0,21666000000.0,497500000.0,36800000.0,0.03,0.03,13235800000.0,
