symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PRAJIND,2007-04-18 15:20:00,2007-03-31,2007-01-01,False,html_old,44248,20146.95,20652.9,17391.09,3199.23,2699.07,3.24,0.0,1678.0,0.0
PRAJIND,2007-07-28 15:48:00,2007-06-30,2007-04-01,False,html_old,47465,13848.62,15828.02,11913.22,3814.47,2834.77,1.61,1.56,1827.45,0.0
PRAJIND,2007-10-29 21:14:00,2007-09-30,2007-07-01,False,html_old,49860,17029.8,18173.33,15818.79,2354.54,2709.23,1.48,1.48,3654.92,
PRAJIND,2008-01-29 16:11:00,2007-12-31,2007-10-01,False,html_old,51949,18022.22,18913.41,14399.03,4514.21,3943.81,2.16,2.13,3657.75,
PRAJIND,2008-07-29 14:16:00,2008-06-30,2008-04-01,False,html_old,56569,15476.0,15679.0,12668.0,3011.0,2475.0,1.35,1.34,3665.0,
PRAJIND,2008-10-23 15:23:00,2008-09-30,2008-07-01,False,html_old,58432,19971.0,,16999.0,3575.0,3018.0,1.65,1.65,3669.0,
PRAJIND,2009-01-22 14:35:00,2008-12-31,2008-10-01,False,html_old,61072,20882.0,,16540.0,5443.0,4731.0,2.58,2.55,3669.0,
PRAJIND,2009-07-09 19:29:00,2009-06-30,2009-04-01,False,html_old,65559,12642.0,,10711.0,3073.0,2533.0,1.38,1.38,3670.0,
PRAJIND,2009-10-12 16:52:00,2009-09-30,2009-07-01,False,html_old,67581,20074.0,,16323.0,4802.0,3960.0,2.16,2.15,3689.0,
PRAJIND,2010-01-20 14:23:00,2009-12-31,2009-10-01,False,html_old,70928,14735.0,,11662.0,3568.0,2915.0,1.58,1.58,3694.0,
PRAJIND,2010-07-23 15:08:00,2010-06-30,2010-04-01,False,html_old,75879,9367.0,,8766.0,1201.0,1036.0,0.56,0.56,3695.0,
PRAJIND,2010-10-11 15:25:00,2010-09-30,2010-07-01,False,html_old,77835,10817.0,,10290.0,1031.0,889.0,0.48,0.48,3695.0,
PRAJIND,2011-01-21 14:39:00,2010-12-31,2010-10-01,False,html_old,81599,14822.0,,13966.0,1523.0,1366.0,0.74,0.74,3695.0,
PRAJIND,2011-07-22 15:03:00,2011-06-30,2011-04-01,False,html_old,86848,16429.0,,15185.0,1729.0,1367.0,0.74,0.74,3696.0,
PRAJIND,2011-10-13 14:31:00,2011-09-30,2011-07-01,False,html_old,89092,22890.0,,21253.0,2536.0,2053.0,1.11,1.11,3696.0,
PRAJIND,2012-01-20 15:31:00,2011-12-31,2011-10-01,False,html_old,91394,21925.0,,20218.0,2734.0,2150.0,1.16,1.16,3680.0,
PRAJIND,2012-06-04 12:31:00,2012-03-31,2012-01-01,False,html_old,96235,26801.0,,24502.0,4197.0,1016.0,0.55,0.55,3591.0,
PRAJIND,2012-07-23 14:42:00,2012-06-30,2012-04-01,False,html_old,97383,16393.0,,15264.0,1502.0,1206.0,,,3549.0,
PRAJIND,2012-10-19 20:20:00,2012-09-30,2012-07-01,False,html_old,99841,18755.0,,17690.0,1993.0,1600.0,,,3549.0,
PRAJIND,2013-01-22 12:37:00,2012-12-31,2012-10-01,False,html_old,102105,18722.0,,17287.0,2641.0,2326.0,,,3549.0,
PRAJIND,2013-05-21 19:05:00,2013-03-31,2013-01-01,False,html_old,105235,18777.0,,17219.0,1935.0,1485.0,,,3549.0,0.0
PRAJIND,2013-08-12 11:41:00,2013-06-30,2013-04-01,True,html_old,110122,17306.21,,17791.83,487.54,320.23,,,3549.3,0.0
PRAJIND,2013-08-26 15:01:00,2013-06-30,2013-04-01,False,html_old,111322,12370.0,,12988.0,373.0,299.0,,,3549.0,0.0
PRAJIND,2013-10-28 19:57:00,2013-09-30,2013-07-01,False,html_old,111784,14800.72,,14072.81,1142.25,910.31,,,3549.3,53254.95
PRAJIND,2013-10-28 19:57:00,2013-09-30,2013-07-01,True,html_old,111785,19424.43,,19054.6,785.65,626.83,,,3549.3,53502.95
PRAJIND,2014-02-07 12:37:00,2013-12-31,2013-10-01,False,html_old,114786,21577.01,,18434.12,3666.98,2984.56,,,3549.3,56203.24
PRAJIND,2014-02-07 12:41:00,2013-12-31,2013-10-01,True,html_old,114787,26910.0,,24081.8,3360.8,2492.1,,,3549.3,56026.4
PRAJIND,2014-05-26 17:53:00,2014-03-31,2014-01-01,True,html_old,117934,34943.07,,32187.08,3060.58,2211.15,,,3549.3,0.0
PRAJIND,2014-05-26 18:05:00,2014-03-31,2014-01-01,False,html_old,117937,29520.87,,27172.73,2661.51,2046.61,,,3549.3,0.0
PRAJIND,2014-08-06 17:05:00,2014-06-30,2014-04-01,False,html_old,121083,16286.79,,16436.35,283.09,231.92,,,3549.3,0.0
PRAJIND,2014-08-06 17:05:00,2014-06-30,2014-04-01,True,html_old,121084,22127.14,,21888.62,673.45,374.11,,,3549.3,0.0
PRAJIND,2014-10-20 14:25:00,2014-09-30,2014-07-01,False,html_old,122856,20883.0,,20550.0,1314.0,2244.0,,,3549.0,0.0
PRAJIND,2014-10-20 14:29:00,2014-09-30,2014-07-01,True,html_old,122857,26504.0,,25583.0,1841.0,2519.0,,,3549.0,0.0
PRAJIND,2015-01-21 10:21:00,2014-12-31,2014-10-01,False,html_old,125118,17734.04,,17225.64,880.21,788.2,,,3549.3,54886.31
PRAJIND,2015-01-21 10:33:00,2014-12-31,2014-10-01,True,html_old,125119,21933.54,,20879.61,1497.24,1256.74,,,3549.3,54702.77
PRAJIND,2015-06-01 15:45:00,2015-03-31,2015-01-01,False,html_old,130291,25209.0,,22537.0,4340.0,3591.0,,,3449.0,0.0
PRAJIND,2015-06-01 15:45:00,2015-03-31,2015-01-01,True,html_old,130289,30619.0,,27621.0,4626.0,3673.0,,,3449.0,0.0
PRAJIND,2015-08-07 15:24:00,2015-06-30,2015-04-01,False,html_old,1000792,14533.28,,14499.6,266.12,218.07,,,3549.3,0.0
PRAJIND,2015-08-07 15:24:00,2015-06-30,2015-04-01,True,html_old,1000791,19250.46,,18587.92,896.63,530.19,,,3549.3,0.0
PRAJIND,2015-11-06 20:32:00,2015-09-30,2015-07-01,False,html_old,1002432,17437.0,,16655.0,1227.0,1056.0,,,3558.0,0.0
PRAJIND,2015-11-06 20:32:00,2015-09-30,2015-07-01,True,html_old,1002431,20232.0,,20120.0,554.0,464.0,,,3558.0,0.0
PRAJIND,2016-01-30 15:41:00,2015-12-31,2015-10-01,True,html_old,1004471,28948.0,,25806.0,3466.0,2551.0,,,3558.0,
PRAJIND,2016-01-30 15:42:00,2015-12-31,2015-10-01,False,html_old,1004472,21462.0,,19850.0,1887.0,1656.0,,,3558.0,
PRAJIND,2016-05-23 15:58:00,2016-03-31,2016-01-01,False,html_old,1007655,28798.0,,24749.0,4489.0,3743.0,,,3559.0,
PRAJIND,2016-05-23 15:58:00,2016-03-31,2016-01-01,True,html_old,1007653,32983.0,,29423.0,4053.0,3400.0,,,3559.0,
PRAJIND,2016-10-04 11:46:00,2015-06-30,2015-04-01,False,html_old,1013197,15199.0,,15531.0,-76.0,-10.0,,,3549.0,
PRAJIND,2016-10-04 11:46:00,2016-03-31,2016-01-01,False,html_old,1013196,30000.0,,25911.0,4652.0,3860.0,,,3559.0,
PRAJIND,2016-10-04 11:46:00,2016-06-30,2016-04-01,False,html_old,1013195,17282.0,,16573.0,1059.0,828.0,,,3561.0,
PRAJIND,2016-10-04 11:49:00,2015-06-30,2015-04-01,True,html_old,1013200,20592.0,,19519.0,1324.0,877.0,,,3549.0,
PRAJIND,2016-10-04 11:49:00,2016-03-31,2016-01-01,True,html_old,1013199,34591.0,,30628.0,4572.0,3835.0,,,3559.0,
PRAJIND,2016-10-04 11:49:00,2016-06-30,2016-04-01,True,html_old,1013198,20493.0,,20394.0,490.0,411.0,,,3561.0,
PRAJIND,2016-10-22 18:28:00,2015-09-30,2015-07-01,False,html_old,1014662,18266.0,,17565.0,1101.0,929.0,,,3558.0,
PRAJIND,2016-10-22 18:28:00,2016-09-30,2016-07-01,False,html_old,1014661,15981.0,,15247.0,1262.0,963.0,,,3568.0,
PRAJIND,2016-10-22 18:29:00,2015-09-30,2015-07-01,True,html_old,1014664,20955.0,,20875.0,543.0,490.0,,,3558.0,
PRAJIND,2016-10-22 18:29:00,2016-09-30,2016-07-01,True,html_old,1014663,20579.0,,20522.0,628.0,304.0,,,3568.0,
PRAJIND,2017-02-14 21:05:00,2015-12-31,2015-10-01,True,html_old,1019378,30244.0,,26331.0,4092.0,3036.0,,,3558.0,
PRAJIND,2017-02-14 21:05:00,2016-12-31,2016-10-01,True,html_old,1019377,23274.0,,21975.0,1598.0,1196.0,,,3576.0,
PRAJIND,2017-02-14 21:05:00,2015-12-31,2015-10-01,False,html_old,1019376,22333.0,,20478.0,2066.0,1759.0,,,3558.0,
PRAJIND,2017-02-14 21:05:00,2016-12-31,2016-10-01,False,html_old,1019375,17990.0,,17130.0,1164.0,867.0,,,3576.0,
PRAJIND,2017-06-12 15:29:00,2017-03-31,2017-01-01,True,html_old,1023461,31170.0,31572.0,27897.0,3675.0,2278.0,1.28,1.27,3589.0,
PRAJIND,2017-06-12 15:29:00,2017-03-31,2017-01-01,False,html_old,1023458,24669.0,25041.0,22144.0,2897.0,1757.0,0.98,0.98,3589.0,
PRAJIND,2017-08-21 19:01:00,2017-06-30,2017-04-01,True,html_old,1029323,19278.0,19585.0,19536.0,49.0,41.0,0.02,0.02,3591.0,
PRAJIND,2017-08-21 19:01:00,2017-06-30,2017-04-01,False,html_old,1029322,14305.0,14590.0,14662.0,-72.0,8.0,0.0,0.0,3591.0,
PRAJIND,2017-11-03 16:43:00,2017-09-30,2017-07-01,False,html_old,1032134,15068.0,15299.0,15051.0,248.0,172.0,0.1,0.1,3597.0,
PRAJIND,2017-11-03 16:43:00,2017-09-30,2017-07-01,True,html_old,1032135,20787.0,21037.0,20451.0,586.0,474.0,0.27,0.27,3597.0,
PRAJIND,2018-02-09 14:23:00,2017-12-31,2017-10-01,True,html_old,1036205,24828.0,24983.0,23798.0,1185.0,753.0,0.42,0.42,3607.0,
PRAJIND,2018-02-09 14:23:00,2017-12-31,2017-10-01,False,html_old,1036204,19116.0,19253.0,18427.0,826.0,674.0,0.38,0.37,3607.0,
PRAJIND,2018-05-25 19:06:00,2018-03-31,2018-01-01,True,xbrl_new,1040481,2745300000.0,2846200000.0,2498000000.0,348200000.0,268100000.0,1.49,1.48,361900000.0,
PRAJIND,2018-05-25 19:06:00,2018-03-31,2018-01-01,False,xbrl_new,1040479,2170800000.0,2267200000.0,1968900000.0,298300000.0,229500000.0,1.28,1.27,361900000.0,
PRAJIND,2018-08-23 16:08:00,2018-06-30,2018-04-01,True,xbrl_new,1047821,,,,,,,,,
