symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PRESTIGE,2011-02-01 16:03:00,2010-12-31,2010-10-01,False,html_old,82200,36358.0,,27844.0,8120.0,5437.0,1.73,1.73,328097.0,
PRESTIGE,2011-05-17 14:31:00,2011-03-31,2011-01-01,False,html_old,84813,46546.0,,38721.0,9603.0,7015.0,2.14,2.14,32807.0,
PRESTIGE,2011-08-01 20:02:00,2011-06-30,2011-04-01,False,html_old,87518,24841.0,,18748.0,5028.0,3643.0,1.11,1.11,32807.0,
PRESTIGE,2011-11-03 14:03:00,2011-09-30,2011-07-01,False,html_old,89863,12809.0,,8679.0,3467.0,2628.0,0.8,0.8,32807.0,
PRESTIGE,2012-02-02 14:46:00,2011-12-31,2011-10-01,False,html_old,91903,16686.0,,12498.0,3889.0,2807.0,0.86,0.86,32807.0,
PRESTIGE,2012-05-30 16:13:00,2012-03-31,2012-01-01,False,html_old,95721,19277.0,,14177.0,5785.0,3828.0,1.17,1.17,32807.0,
PRESTIGE,2012-07-31 20:33:00,2012-06-30,2012-04-01,False,html_old,97832,21676.0,,15652.0,6586.0,4928.0,,,32807.0,
PRESTIGE,2012-10-30 16:11:00,2012-09-30,2012-07-01,False,html_old,100255,22329.0,,17717.0,6466.0,4569.0,,,32807.0,
PRESTIGE,2013-02-13 13:06:00,2012-12-31,2012-10-01,False,html_old,103182,48767.0,,35793.0,13276.0,9205.0,,,32807.0,
PRESTIGE,2013-05-24 15:41:00,2013-03-31,2013-01-01,False,html_old,105694,55018.0,,43640.0,12530.0,8903.0,,,35000.0,0.0
PRESTIGE,2013-07-30 13:09:00,2013-06-30,2013-04-01,False,html_old,109358,49571.0,,37735.0,12628.0,8666.0,,,35000.0,0.0
PRESTIGE,2013-11-26 15:53:00,2013-09-30,2013-07-01,False,html_old,113578,47225.0,,36494.0,11263.0,7762.0,,,35000.0,0.0
PRESTIGE,2014-02-05 17:49:00,2013-12-31,2013-10-01,False,html_old,114673,42954.0,,30711.0,11802.0,8055.0,,,35000.0,0.0
PRESTIGE,2014-05-30 19:33:00,2014-03-31,2014-01-01,False,html_old,118767,53231.0,,48882.0,13123.0,9514.0,,,35000.0,0.0
PRESTIGE,2014-08-11 10:29:00,2014-06-30,2014-04-01,False,html_old,121259,56202.0,,43529.0,14226.0,10404.0,,,35000.0,0.0
PRESTIGE,2014-11-18 16:21:00,2014-09-30,2014-07-01,False,html_old,123897,50588.0,,39762.0,13987.0,9689.0,,,37500.0,0.0
PRESTIGE,2015-01-27 11:41:00,2014-12-31,2014-10-01,False,html_old,125226,59288.0,,43251.0,16171.0,9952.0,,,37500.0,0.0
PRESTIGE,2015-06-03 15:13:00,2015-03-31,2015-01-01,False,html_old,130599,63884.0,,54350.0,14664.0,11378.0,,,37500.0,0.0
PRESTIGE,2015-08-13 17:36:00,2015-06-30,2015-04-01,True,html_old,1001364,133759.0,,105700.0,21591.0,14032.0,,,37500.0,0.0
PRESTIGE,2015-08-13 17:36:00,2015-06-30,2015-04-01,False,html_old,1001363,69517.0,,61841.0,14594.0,12817.0,,,37500.0,0.0
PRESTIGE,2015-11-16 16:42:00,2015-09-30,2015-07-01,False,html_old,1003965,55012.0,,50723.0,11680.0,10890.0,,,37500.0,0.0
PRESTIGE,2015-11-16 16:42:00,2015-09-30,2015-07-01,True,html_old,1003964,119505.0,,97100.0,17188.0,10970.0,,,37500.0,0.0
PRESTIGE,2016-02-12 15:11:00,2015-12-31,2015-10-01,False,html_old,1005207,49370.0,,44112.0,7556.0,6485.0,,,37500.0,
PRESTIGE,2016-02-12 15:14:00,2015-12-31,2015-10-01,True,html_old,1005208,97310.0,,79054.0,12012.0,7291.0,,,37500.0,
PRESTIGE,2016-05-31 18:04:00,2016-03-31,2016-01-01,True,html_old,1010218,106401.0,,93184.0,10112.0,7188.0,,,37500.0,
PRESTIGE,2016-06-02 14:39:00,2016-03-31,2016-01-01,False,html_old,1010640,58014.0,,59043.0,6501.0,5989.0,,,37500.0,
PRESTIGE,2016-09-20 17:43:00,2015-06-30,2015-04-01,False,html_old,1012736,93201.0,,78405.0,12149.0,11321.0,,,37500.0,
PRESTIGE,2016-09-20 17:43:00,2016-06-30,2016-04-01,False,html_old,1012735,56517.0,,43854.0,12202.0,13674.0,,,37500.0,
PRESTIGE,2016-09-20 17:43:00,2016-06-30,2016-04-01,True,html_old,1012733,93296.0,,80785.0,8448.0,7043.0,,,37500.0,
PRESTIGE,2016-09-20 17:43:00,2015-06-30,2015-04-01,True,html_old,1012734,148945.0,,123230.0,19589.0,13357.0,,,37500.0,
PRESTIGE,2016-12-08 16:03:00,2015-09-30,2015-07-01,False,html_old,1017316,64142.0,,57461.0,14589.0,12831.0,,,37500.0,
PRESTIGE,2016-12-08 16:03:00,2016-09-30,2016-07-01,False,html_old,1017315,42013.0,,39205.0,7654.0,7113.0,,,37500.0,
PRESTIGE,2016-12-08 16:03:00,2015-09-30,2015-07-01,True,html_old,1017314,162374.0,,131295.0,26474.0,16043.0,,,37500.0,
PRESTIGE,2016-12-08 16:03:00,2016-09-30,2016-07-01,True,html_old,1017313,113707.0,,96001.0,13646.0,8773.0,,,37500.0,
PRESTIGE,2017-02-17 13:40:00,2016-12-31,2016-10-01,True,html_old,1019929,123225.0,,103928.0,14127.0,9798.0,,,37500.0,
PRESTIGE,2017-02-17 13:45:00,2015-12-31,2015-10-01,True,html_old,1019930,103737.0,,84546.0,32706.0,28548.0,,,37500.0,
PRESTIGE,2017-02-17 13:47:00,2016-12-31,2016-10-01,False,html_old,1019931,52266.0,,46924.0,6170.0,6934.0,,,37500.0,
PRESTIGE,2017-02-17 13:48:00,2015-12-31,2015-10-01,False,html_old,1019932,68431.0,,54164.0,13250.0,11114.0,,,37500.0,
PRESTIGE,2017-06-19 14:07:00,2017-03-31,2017-01-01,True,html_old,1026063,144373.0,146330.0,129822.0,16508.0,11110.0,2.38,2.38,37500.0,
PRESTIGE,2017-06-19 14:07:00,2017-03-31,2017-01-01,False,html_old,1026059,56292.0,59050.0,53861.0,30872.0,31187.0,8.32,8.32,37500.0,
PRESTIGE,2017-08-23 17:53:00,2017-06-30,2017-04-01,True,html_old,1029914,127960.0,130180.0,113500.0,16680.0,11350.0,2.5,2.5,37500.0,
PRESTIGE,2017-08-23 17:53:00,2017-06-30,2017-04-01,False,html_old,1029915,62690.0,65500.0,58650.0,6850.0,6300.0,1.68,1.68,37500.0,
PRESTIGE,2017-11-09 11:21:00,2017-09-30,2017-07-01,True,html_old,1032498,109810.0,111290.0,98210.0,13080.0,8610.0,2.16,2.16,37500.0,
PRESTIGE,2017-11-09 11:21:00,2017-09-30,2017-07-01,False,html_old,1032499,59960.0,61630.0,55530.0,6100.0,5090.0,1.36,1.36,37500.0,
PRESTIGE,2018-02-14 18:20:00,2017-12-31,2017-10-01,False,html_old,1036465,76900.0,79280.0,73210.0,6070.0,6090.0,1.62,1.62,37500.0,
PRESTIGE,2018-02-14 18:20:00,2017-12-31,2017-10-01,True,html_old,1036464,127230.0,129020.0,114520.0,14500.0,9820.0,2.38,2.38,37500.0,
PRESTIGE,2018-04-23 08:37:00,2016-03-31,2016-01-01,True,xbrl_new,1026064,,,,,,,,,
PRESTIGE,2018-04-23 08:37:00,2016-03-31,2016-01-01,False,xbrl_new,1026060,,,,,,,,,
PRESTIGE,2018-06-22 18:22:00,2018-03-31,2018-01-01,True,xbrl_new,1043288,18486000000.0,18616000000.0,16797000000.0,1819000000.0,1156000000.0,2.86,2.86,3750000000.0,
PRESTIGE,2018-06-22 18:22:00,2018-03-31,2018-01-01,False,xbrl_new,1043286,9970000000.0,10397000000.0,9743000000.0,654000000.0,572000000.0,1.53,1.53,3750000000.0,
PRESTIGE,2018-08-07 16:22:00,2018-06-30,2018-04-01,True,xbrl_new,1047319,,,,,,,,,
