symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
PRICOL,2007-05-29 20:47:00,2007-03-31,2007-01-01,False,html_old,45738,15258.59,15345.51,12814.4,1186.52,822.9,0.91,0.91,900.0,0.0
PRICOL,2007-07-31 22:06:00,2007-06-30,2007-04-01,False,html_old,48022,15026.94,15120.96,12395.99,1293.27,951.27,1.06,1.06,900.0,0.0
PRICOL,2007-10-30 21:33:00,2007-09-30,2007-07-01,False,html_old,50326,14383.47,14595.98,13840.03,28.95,69.92,0.08,0.08,900.0,
PRICOL,2008-02-01 19:48:00,2007-12-31,2007-10-01,False,html_old,52212,14956.02,15200.39,14113.42,419.74,361.82,0.4,0.4,900.0,
PRICOL,2008-05-29 20:21:00,2008-03-31,2008-01-01,False,html_old,54526,16279.82,16422.99,15136.74,441.3,525.25,0.58,0.58,900.0,
PRICOL,2008-08-01 13:20:00,2008-06-30,2008-04-01,False,html_old,57384,16374.07,16477.96,16026.04,-327.96,-281.16,-0.31,-0.31,900.0,
PRICOL,2008-10-30 19:59:00,2008-09-30,2008-07-01,False,html_old,59600,16575.32,,15890.8,-836.31,-810.81,-0.9,-0.9,900.0,
PRICOL,2009-01-28 20:03:00,2008-12-31,2008-10-01,False,html_old,61470,13730.28,,13953.39,-1694.95,-1662.25,-1.85,-1.85,900.0,
PRICOL,2009-05-30 15:58:00,2009-03-31,2009-01-01,False,html_old,64289,14727.99,,14881.19,-968.81,-248.25,-0.28,-0.28,900.0,
PRICOL,2009-08-01 17:38:00,2009-06-30,2009-04-01,False,html_old,67092,16417.73,,15603.91,-573.83,-531.33,-0.59,-0.59,900.0,
PRICOL,2009-10-30 14:15:00,2009-09-30,2009-07-01,False,html_old,69437,18516.6,,17212.95,587.4,629.9,0.7,0.7,900.0,
