symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
RCF,2007-05-07 15:37:00,2007-03-31,2007-01-01,False,html_old,45165,91270.0,94971.0,82883.0,8385.0,3331.0,0.6,0.6,55169.0,0.0
RCF,2007-07-25 16:52:00,2007-06-30,2007-04-01,False,html_old,47145,95639.0,96739.0,92120.0,1237.0,771.0,0.14,0.0,55169.0,0.0
RCF,2007-10-25 20:11:00,2007-09-30,2007-07-01,False,html_old,49195,141418.0,143559.0,136474.0,5977.0,3895.0,0.71,0.71,55169.0,
RCF,2008-01-28 21:40:00,2007-12-31,2007-10-01,False,html_old,51863,136599.0,137916.0,127362.0,9187.0,6012.0,1.09,,55169.0,
RCF,2008-05-12 15:52:00,2008-03-31,2008-01-01,False,html_old,54008,132951.0,138929.0,129100.0,7806.0,5137.0,0.93,,55169.0,
RCF,2008-07-30 11:41:00,2008-06-30,2008-04-01,False,html_old,56747,156068.0,157499.0,152053.0,2962.0,1906.0,0.35,0.35,55169.0,
RCF,2008-10-30 16:06:00,2008-09-30,2008-07-01,False,html_old,59555,261422.0,,248128.0,12854.0,8437.0,1.53,1.53,55169.0,
RCF,2009-01-31 14:34:00,2008-12-31,2008-10-01,False,html_old,62039,227820.0,,221166.0,10498.0,6878.0,1.25,1.25,55169.0,
RCF,2009-06-16 16:12:00,2009-03-31,2009-01-01,False,html_old,64547,191288.0,,186295.0,6256.0,3937.0,0.71,0.71,55169.0,
RCF,2009-07-28 10:14:00,2009-06-30,2009-04-01,False,html_old,66183,84300.0,,80683.0,3780.0,3155.0,0.57,0.57,55169.0,
RCF,2009-10-30 21:05:00,2009-09-30,2009-07-01,False,html_old,69697,179195.0,,171351.0,8505.0,5612.0,1.02,1.02,55169.0,
RCF,2010-01-29 16:04:00,2009-12-31,2009-10-01,False,html_old,71800,160658.0,,149913.0,11780.0,7778.0,1.41,1.41,55169.0,
RCF,2010-05-06 16:23:00,2010-03-31,2010-01-01,False,html_old,73534,140058.0,,141757.0,10356.0,6942.0,1.26,1.26,55169.0,
RCF,2010-08-11 10:22:00,2010-06-30,2010-04-01,False,html_old,77062,79134.0,,77419.0,2962.0,1978.0,0.36,0.36,55169.0,
RCF,2010-10-27 11:02:00,2010-09-30,2010-07-01,False,html_old,78296,156286.0,,147397.0,9116.0,6088.0,1.1,1.1,55169.0,
RCF,2011-02-10 10:40:00,2010-12-31,2010-10-01,False,html_old,82633,153355.0,,145175.0,9534.0,6836.0,1.24,1.24,55169.0,
RCF,2011-05-10 17:44:00,2011-03-31,2011-01-01,False,html_old,84326,161936.0,,154623.0,13857.0,9610.0,1.74,1.74,55169.0,
RCF,2011-07-20 16:04:00,2011-06-30,2011-04-01,False,html_old,86760,86836.0,,87304.0,587.0,396.0,0.07,0.07,55169.0,
RCF,2011-10-21 19:57:00,2011-09-30,2011-07-01,False,html_old,89355,145672.0,,139115.0,11518.0,7782.0,1.41,1.41,55169.0,
RCF,2012-02-02 15:18:00,2011-12-31,2011-10-01,False,html_old,91921,159545.0,,155386.0,8007.0,5395.0,0.98,0.98,55169.0,
RCF,2012-05-30 19:16:00,2012-03-31,2012-01-01,False,html_old,95967,127169.0,,236214.0,17334.0,11351.0,2.06,2.06,55169.0,
