symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
RELIANCE,2007-04-26 18:00:00,2007-03-31,2007-01-01,False,html_old,44565,2589500.0,2598000.0,2119600.0,348500.0,285300.0,20.5,20.5,139400.0,0.0
RELIANCE,2007-07-28 18:14:00,2007-06-30,2007-04-01,False,html_old,47502,2805600.0,2816100.0,2287900.0,403600.0,326400.0,23.4,23.4,139400.0,0.0
RELIANCE,2007-10-18 18:18:00,2007-09-30,2007-07-01,False,html_old,48670,3204300.0,3221100.0,2739100.0,456300.0,383700.0,26.4,26.4,139400.0,
RELIANCE,2008-01-17 10:51:00,2007-12-31,2007-10-01,False,html_old,51270,3459000.0,3483100.0,2997000.0,934100.0,807900.0,55.6,55.6,145400.0,
RELIANCE,2008-04-21 18:27:00,2008-03-31,2008-01-01,False,html_old,52972,3728600.0,3757500.0,3264800.0,465500.0,391200.0,26.9,26.9,145400.0,
RELIANCE,2008-07-24 17:03:00,2008-06-30,2008-04-01,False,html_old,56123,4157900.0,4180500.0,3660900.0,490200.0,411000.0,28.3,28.3,145400.0,
RELIANCE,2008-10-23 16:41:00,2008-09-30,2008-07-01,False,html_old,58464,4478700.0,,3957700.0,492400.0,412200.0,28.4,28.4,145400.0,
RELIANCE,2009-01-22 16:34:00,2008-12-31,2008-10-01,False,html_old,61096,3156300.0,,2751700.0,422500.0,350100.0,23.5,23.5,157400.0,
RELIANCE,2009-04-23 16:34:00,2009-03-31,2009-01-01,False,html_old,62789,2836200.0,,2425200.0,425600.0,354600.0,23.4,23.4,157400.0,
RELIANCE,2009-07-24 17:09:00,2009-06-30,2009-04-01,False,html_old,65972,3205500.0,,2776200.0,465000.0,363600.0,23.1,23.1,157400.0,
RELIANCE,2009-10-29 17:23:00,2009-09-30,2009-07-01,False,html_old,69165,4684800.0,,4206300.0,495100.0,385200.0,23.4,23.4,164300.0,
