symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
RITES,2018-09-06 11:04:00,2018-06-30,2018-04-01,False,xbrl_new,1049435,3100400000.0,3699000000.0,2473500000.0,1225500000.0,820500000.0,4.1,4.1,2000000000.0,
RITES,2018-11-22 18:07:00,2018-09-30,2018-07-01,False,xbrl_new,1052854,4332600000.0,4732300000.0,2990200000.0,1742100000.0,1167500000.0,5.84,5.84,2000000000000000.0,
RITES,2019-02-19 18:02:00,2018-12-31,2018-10-01,False,xbrl_new,1057424,5113500000.0,5624300000.0,3869300000.0,1755000000.0,1174700000.0,5.87,5.87,2000000000.0,
RITES,2019-05-30 13:23:00,2019-03-31,2019-01-01,False,xbrl_new,1063284,7143200000.0,7618400000.0,5573900000.0,2044500000.0,1318200000.0,6.59,6.59,2000000000.0,
RITES,2019-08-14 15:20:00,2019-06-30,2019-04-01,False,xbrl_new,1067406,5192200000.0,5535200000.0,4124800000.0,1410400000.0,926200000.0,4.63,4.63,2000000000.0,
RITES,2019-08-14 15:23:00,2019-06-30,2019-04-01,True,xbrl_new,1067411,5376500000.0,5726300000.0,4195300000.0,1531000000.0,1020800000.0,4.9,4.9,2000000000.0,
RITES,2019-11-14 12:52:00,2019-09-30,2019-07-01,True,xbrl_new,1072524,7462400000.0,8878600000.0,5632800000.0,3245800000.0,2372100000.0,9.3,9.3,2500000000.0,
RITES,2019-11-14 12:57:00,2019-09-30,2019-07-01,False,xbrl_new,1072528,7262100000.0,8737100000.0,5563700000.0,3173400000.0,2326400000.0,9.31,9.31,2500000000.0,
RITES,2020-02-07 14:02:00,2019-12-31,2019-10-01,False,xbrl_new,1077023,6025700000.0,6455800000.0,4587700000.0,1868100000.0,1397400000.0,5.59,5.59,2500000000.0,
RITES,2020-02-07 14:07:00,2019-12-31,2019-10-01,True,xbrl_new,1077025,6198200000.0,6634600000.0,4663100000.0,1971500000.0,1500400000.0,5.86,5.86,2500000000.0,
RITES,2020-07-01 15:26:00,2020-03-31,2020-01-01,False,xbrl_new,1086468,5525700000.0,5959200000.0,4185000000.0,1774200000.0,1313900000.0,5.26,5.26,2500000000.0,
RITES,2020-07-01 15:29:00,2020-03-31,2020-01-01,True,xbrl_new,1086472,5707000000.0,6142400000.0,4223800000.0,1918600000.0,1439300000.0,5.56,5.56,2500000000.0,
RITES,2020-08-11 17:09:00,2020-06-30,2020-04-01,True,xbrl_new,1089917,3354700000.0,3790400000.0,2897800000.0,892600000.0,649900000.0,2.51,2.51,2500000000.0,
RITES,2020-08-11 17:18:00,2020-06-30,2020-04-01,False,xbrl_new,1089920,3224800000.0,3657900000.0,2831200000.0,826700000.0,601300000.0,2.41,2.41,2500000000.0,
RITES,2020-11-11 13:07:00,2020-09-30,2020-07-01,False,xbrl_new,1096235,4223700000.0,4883800000.0,3170900000.0,1712900000.0,1307400000.0,5.23,5.23,2500000000.0,
RITES,2020-11-11 13:09:00,2020-09-30,2020-07-01,True,xbrl_new,1096239,4389100000.0,4996600000.0,3255900000.0,1740700000.0,1323600000.0,5.18,5.18,2500000000.0,
RITES,2021-02-10 17:09:00,2020-12-31,2020-10-01,True,xbrl_new,1103148,4492900000.0,4800800000.0,3365400000.0,1435400000.0,1053100000.0,4.16,4.16,2403000000.0,
RITES,2021-02-10 17:13:00,2020-12-31,2020-10-01,False,xbrl_new,1103154,4336800000.0,4642600000.0,3294800000.0,1347800000.0,989200000.0,4.02,4.02,2403000000.0,
RITES,2021-06-17 13:08:00,2021-03-31,2021-01-01,False,xbrl_new,1110390,6188600000.0,6324200000.0,4588100000.0,1736100000.0,1345600000.0,5.6,5.6,2403000000.0,
RITES,2021-06-17 13:31:00,2021-03-31,2021-01-01,True,xbrl_new,1110396,6358700000.0,6495500000.0,4649400000.0,1846100000.0,1415500000.0,5.73,5.73,2403000000.0,
