symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
RRKABEL,2023-11-07 20:23:00,2023-09-30,2023-07-01,False,xbrl_new,1158671,16096705000.0,16244348000.0,15195490000.0,1048858000.0,739355000.0,6.65,6.63,564094000.0,
RRKABEL,2023-11-07 20:32:00,2023-09-30,2023-07-01,True,xbrl_new,1158675,16096705000.0,16244348000.0,15195490000.0,1050492000.0,740989000.0,6.66,6.65,564094000.0,
RRKABEL,2024-01-30 15:41:00,2023-12-31,2023-10-01,False,xbrl_new,1163476,16335194000.0,16457637000.0,15498766000.0,958871000.0,709257000.0,6.35,6.33,564094000.0,
RRKABEL,2024-01-30 15:44:00,2023-12-31,2023-10-01,True,xbrl_new,1163480,16335194000.0,16457637000.0,15498766000.0,958871000.0,709584000.0,6.35,6.34,564094000.0,
RRKABEL,2024-05-29 15:22:00,2024-03-31,2024-01-01,False,xbrl_new,1175214,17540662000.0,17733889000.0,16679039000.0,1054850000.0,784746000.0,7.01,6.99,564094000.0,
RRKABEL,2024-05-29 15:23:00,2024-03-31,2024-01-01,True,xbrl_new,1175216,17540662000.0,17733889000.0,16679039000.0,1057348000.0,787244000.0,7.03,7.02,564094000.0,
RRKABEL,2024-07-30 17:46:00,2024-06-30,2024-04-01,False,xbrl_new,1178388,18081102000.0,18266319000.0,17409757000.0,856562000.0,638906000.0,5.66,5.65,564094000.0,
RRKABEL,2024-07-30 17:49:00,2024-06-30,2024-04-01,True,xbrl_new,1178391,18081102000.0,18266319000.0,17409757000.0,856562000.0,643787000.0,5.71,5.69,564094000.0,
RRKABEL,2024-10-24 18:44:00,2024-09-30,2024-07-01,False,xbrl_new,1182315,18101350000.0,18173548000.0,17574611000.0,598937000.0,497528000.0,4.41,4.4,565283000.0,
RRKABEL,2024-10-24 18:48:00,2024-09-30,2024-07-01,True,xbrl_new,1182319,18101350000.0,18173548000.0,17574611000.0,596708000.0,495299000.0,4.39,4.38,565283000.0,
RRKABEL,2025-01-28 20:04:00,2024-12-31,2024-10-01,False,xbrl_new,1191031,17821517000.0,17955912000.0,17055695000.0,900217000.0,681373000.0,6.03,6.03,565342000.0,
RRKABEL,2025-01-28 20:06:00,2024-12-31,2024-10-01,True,xbrl_new,1191037,17821517000.0,17955912000.0,17055695000.0,900217000.0,685737000.0,6.07,6.07,565342000.0,
