symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
SAKHTISUG,2007-02-02 19:14:00,2006-12-31,2006-10-01,True,html_old,43549,19740.11,19878.68,16087.24,680.57,648.79,0.0,0.0,0.0,0.0
SAKHTISUG,2007-02-02 19:14:00,2006-12-31,2006-10-01,False,html_old,43974,15407.38,15501.18,12459.38,620.67,603.8,1.92,1.92,3137.31,0.0
SAKHTISUG,2007-04-26 14:07:00,2007-03-31,2007-01-01,True,html_old,44544,25458.8,25836.04,21374.16,984.5,978.69,0.0,0.0,0.0,0.0
SAKHTISUG,2007-04-26 14:20:00,2007-03-31,2007-01-01,False,html_old,44542,20624.36,20948.12,17234.7,911.71,905.9,2.89,2.89,3137.31,0.0
SAKHTISUG,2007-09-27 13:45:00,2007-06-30,2007-04-01,True,html_old,48347,24917.6,28478.2,24200.33,-179.19,-189.09,0.0,0.0,0.0,0.0
SAKHTISUG,2007-09-27 13:45:00,2007-06-30,2007-04-01,False,html_old,48345,20208.24,23221.73,19047.6,490.45,490.45,1.56,1.56,3137.31,0.0
SAKHTISUG,2007-10-24 14:12:00,2007-09-30,2007-07-01,False,html_old,48995,17156.84,17258.29,17261.21,-2166.31,-2166.31,-6.9,-6.9,3137.31,
SAKHTISUG,2008-01-29 13:44:00,2007-12-31,2007-10-01,False,html_old,51913,15202.49,15376.74,13854.2,-579.07,-579.07,-1.85,-1.85,3137.31,
SAKHTISUG,2008-05-01 14:48:00,2008-03-31,2008-01-01,False,html_old,53612,21160.3,21252.8,17149.87,1522.89,1522.89,4.85,4.85,3137.31,
SAKHTISUG,2008-07-29 14:11:00,2008-06-30,2008-04-01,False,html_old,56557,26501.11,26606.7,21501.53,2249.62,2249.62,7.17,7.17,3137.31,
SAKHTISUG,2009-05-02 12:00:00,2009-03-31,2009-01-01,False,html_old,63394,25661.99,,22348.89,1762.22,1762.22,5.62,4.61,3137.31,
SAKHTISUG,2009-07-31 13:14:00,2009-06-30,2009-04-01,False,html_old,66877,28649.83,,24541.68,3643.49,3643.49,11.61,10.69,3137.31,
SAKHTISUG,2009-10-21 13:39:00,2009-09-30,2009-07-01,False,html_old,67829,41484.13,,36219.82,4333.94,4333.94,13.81,13.08,3137.31,
SAKHTISUG,2010-04-30 14:06:00,2010-03-31,2010-01-01,False,html_old,73235,51405.05,,44591.77,4381.74,4381.74,12.11,11.34,3680.73,
