symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
SAMTEL,2007-02-07 19:01:00,2006-12-31,2006-10-01,False,html_old,44017,23419.0,23691.0,20948.0,-650.0,-980.0,-2.11,-2.18,4660.0,0.0
SAMTEL,2007-10-29 20:09:00,2007-09-30,2007-07-01,False,html_old,49814,23021.0,23262.0,25210.0,-3907.0,-2745.0,-5.89,-5.89,4660.0,
SAMTEL,2008-01-31 22:34:00,2007-12-31,2007-10-01,False,html_old,52247,21143.0,21203.0,23881.0,186.0,153.0,0.33,0.27,4660.0,
SAMTEL,2008-04-22 17:17:00,2008-03-31,2008-01-01,False,html_old,53027,16264.0,16426.0,18868.0,-3696.0,-2201.0,-4.5,-4.5,5125.0,
SAMTEL,2008-08-19 09:57:00,2008-06-30,2008-04-01,False,html_old,57511,18953.0,19185.0,21702.0,-3841.0,-2294.0,-4.61,-4.61,5127.0,
SAMTEL,2008-10-24 10:34:00,2008-09-30,2008-07-01,False,html_old,58601,23828.0,,26135.0,-3415.0,-2368.0,-4.76,-4.76,5127.0,
SAMTEL,2009-01-19 09:25:00,2008-12-31,2008-10-01,False,html_old,60882,23365.0,,25909.0,-3687.0,-2396.0,-4.82,-4.82,5127.0,
SAMTEL,2009-05-21 13:22:00,2009-03-31,2009-01-01,False,html_old,63926,24544.0,,26895.0,-3047.0,-2692.0,-5.39,-5.39,5127.0,
SAMTEL,2009-07-21 15:15:00,2009-06-30,2009-04-01,False,html_old,65759,28900.0,,28876.0,-1018.0,-1018.0,-2.13,-2.13,,
SAMTEL,2009-11-03 11:47:00,2009-09-30,2009-07-01,False,html_old,70261,31078.0,,30096.0,7508.0,7508.0,8.35,7.17,5360.0,
SAMTEL,2010-01-19 12:00:00,2009-12-31,2009-10-01,False,html_old,70871,24521.0,,24046.0,383.0,383.0,-0.05,-0.05,5360.0,
SAMTEL,2010-04-26 13:12:00,2010-03-31,2010-01-01,False,html_old,72795,26929.0,,26021.0,778.0,774.0,0.42,0.36,5359.0,
SAMTEL,2010-08-04 15:41:00,2010-06-30,2010-04-01,False,html_old,76779,28287.0,,28586.0,-549.0,-549.0,-1.98,-1.98,8549.0,
SAMTEL,2010-11-10 19:50:00,2010-09-30,2010-07-01,False,html_old,80240,27713.0,,28086.0,-600.0,-620.0,-1.45,-1.45,8550.0,
SAMTEL,2011-02-05 15:41:00,2010-12-31,2010-10-01,False,html_old,82422,18326.0,,20021.0,-2208.0,-2208.0,-3.3,-3.3,8550.0,
SAMTEL,2011-04-29 10:52:00,2011-03-31,2011-01-01,False,html_old,83791,15300.0,,18174.0,-4975.0,-5016.0,-6.59,-6.59,8550.0,
SAMTEL,2011-08-05 14:04:00,2011-06-30,2011-04-01,False,html_old,87670,15729.0,,18751.0,-3810.0,-3810.0,-5.41,-5.41,8550.0,
