symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
SCI,2007-06-15 15:32:00,2007-03-31,2007-01-01,False,html_old,46006,86819.0,108056.0,66282.0,31436.0,28465.0,10.08,10.08,28230.0,0.0
SCI,2007-07-31 15:28:00,2007-06-30,2007-04-01,False,html_old,47869,88586.0,95809.0,64033.0,23225.0,20612.0,7.3,0.0,28230.0,0.0
SCI,2007-10-27 19:26:00,2007-09-30,2007-07-01,False,html_old,49547,86888.0,94580.0,71682.0,21280.0,18231.0,6.46,6.46,28230.0,
SCI,2008-01-30 16:42:00,2007-12-31,2007-10-01,False,html_old,52103,91527.0,98112.0,78101.0,18465.0,17678.0,6.26,6.26,28230.0,
SCI,2008-06-11 18:19:00,2008-03-31,2008-01-01,False,html_old,54755,105683.0,117744.0,89014.0,27424.0,24869.0,8.81,8.81,28230.0,
SCI,2008-07-26 15:28:00,2008-06-30,2008-04-01,False,html_old,56278,106191.0,112635.0,80798.0,30555.0,27960.0,9.9,9.9,28230.0,
SCI,2008-10-25 18:56:00,2008-09-30,2008-07-01,False,html_old,59000,118465.0,,96579.0,30706.0,27488.0,9.74,9.74,28230.0,
SCI,2009-01-24 15:18:00,2008-12-31,2008-10-01,False,html_old,61224,111313.0,,97385.0,20871.0,18543.0,4.38,4.38,42345.0,
SCI,2009-06-16 09:34:00,2009-03-31,2009-01-01,False,html_old,64534,80695.0,,80646.0,23327.0,20076.0,4.74,4.74,42345.0,
SCI,2009-07-29 14:29:00,2009-06-30,2009-04-01,False,html_old,66409,88279.0,,83903.0,14692.0,11992.0,2.83,2.83,42345.0,
SCI,2009-10-31 13:01:00,2009-09-30,2009-07-01,False,html_old,69799,84494.0,,83554.0,5870.0,3370.0,0.8,0.8,42345.0,
