symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
SKUMARSYNF,2007-05-10 14:53:00,2007-03-31,2007-01-01,False,html_old,45217,37166.0,37896.0,30668.0,4028.0,2183.0,2.0,1.59,19270.0,0.0
SKUMARSYNF,2007-07-17 13:28:00,2007-06-30,2007-04-01,False,html_old,46759,37885.0,37936.0,30048.0,5084.0,4266.0,2.16,1.78,20138.0,0.0
SKUMARSYNF,2007-10-09 12:37:00,2007-09-30,2007-07-01,False,html_old,48383,39110.0,39338.0,32249.0,4890.0,4321.0,,,20216.0,
SKUMARSYNF,2008-01-17 13:56:00,2007-12-31,2007-10-01,False,html_old,51282,45307.0,45464.0,36468.0,6468.0,5720.0,,,20216.0,
SKUMARSYNF,2008-07-16 13:51:00,2008-06-30,2008-04-01,False,html_old,55813,38362.0,38391.0,32211.0,4095.0,2686.0,,,21535.0,
SKUMARSYNF,2008-07-16 13:51:00,2008-06-30,2008-04-01,True,html_old,55812,53392.0,53515.0,42375.0,8379.0,5509.0,,,21535.0,
SKUMARSYNF,2008-10-27 21:31:00,2008-09-30,2008-07-01,True,html_old,59405,56049.0,,45145.0,8910.0,5864.0,2.68,2.34,22339.0,
SKUMARSYNF,2008-10-27 21:31:00,2008-09-30,2008-07-01,False,html_old,59401,39428.0,,34015.0,3037.0,1988.0,0.92,0.81,22339.0,
SKUMARSYNF,2009-01-28 18:03:00,2008-12-31,2008-10-01,True,html_old,61426,60431.0,,50779.0,6600.0,4628.0,1.7,1.55,22339.0,
SKUMARSYNF,2009-01-28 19:44:00,2008-12-31,2008-10-01,False,html_old,61469,38157.0,,33383.0,827.0,827.0,0.37,0.34,22339.0,
SKUMARSYNF,2009-07-25 14:35:00,2009-06-30,2009-04-01,True,html_old,66009,70812.0,,56926.0,9289.0,6174.0,2.16,2.1,23651.0,
SKUMARSYNF,2009-07-27 11:51:00,2009-06-30,2009-04-01,False,html_old,66012,46855.0,,39093.0,2626.0,1734.0,0.73,0.71,23651.0,
SKUMARSYNF,2009-10-31 20:21:00,2009-09-30,2009-07-01,True,html_old,70108,95141.0,,79540.0,10015.0,6925.0,,,23651.0,
SKUMARSYNF,2009-10-31 20:21:00,2009-09-30,2009-07-01,False,html_old,70101,48136.0,,39527.0,2968.0,2481.0,,,23651.0,
SKUMARSYNF,2010-02-01 09:45:00,2009-12-31,2009-10-01,True,html_old,72247,120097.0,,101792.0,12182.0,8079.0,2.85,2.74,23651.0,
