symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
SOBHA,2007-05-14 13:27:00,2007-03-31,2007-01-01,False,html_old,45280,35730.0,35890.0,26730.0,7620.0,6190.0,8.35,8.35,7290.0,0.0
SOBHA,2007-08-13 15:25:00,2007-06-30,2007-04-01,False,html_old,48234,26770.0,26920.0,20070.0,5010.0,4080.0,5.6,5.6,7290.0,78340.0
SOBHA,2007-10-29 16:10:00,2007-09-30,2007-07-01,False,html_old,49749,32542.1,33301.0,25170.8,6802.5,5618.1,7.71,7.71,7290.2,
SOBHA,2008-01-30 15:12:00,2007-12-31,2007-10-01,False,html_old,52130,35530.0,35570.0,26790.0,7070.0,6110.0,8.38,8.38,7290.0,
SOBHA,2008-05-30 12:55:00,2008-03-31,2008-01-01,False,html_old,54544,47410.0,47650.0,37530.0,8200.0,7020.0,9.63,9.63,7290.0,
SOBHA,2008-07-24 17:37:00,2008-06-30,2008-04-01,False,html_old,56132,34680.0,34880.0,25410.0,6800.0,5050.0,6.93,6.93,7290.0,
SOBHA,2008-10-30 19:59:00,2008-09-30,2008-07-01,False,html_old,59717,29340.0,,21550.0,5810.0,4900.0,6.72,6.72,7290.0,
SOBHA,2009-01-31 17:04:00,2008-12-31,2008-10-01,False,html_old,62072,18050.0,,14210.0,1690.0,750.0,1.03,1.03,7290.0,
SOBHA,2009-07-29 16:25:00,2009-06-30,2009-04-01,False,html_old,66451,17710.0,,14300.0,1270.0,1270.0,1.74,1.74,7290.0,
SOBHA,2009-10-29 15:05:00,2009-09-30,2009-07-01,False,html_old,69078,22360.0,,18390.0,2750.0,2750.0,2.82,2.82,9810.0,
SOBHA,2010-01-29 14:58:00,2009-12-31,2009-10-01,False,html_old,71765,30700.0,,25290.0,4250.0,4080.0,4.16,4.16,9810.0,
SOBHA,2010-07-28 15:24:00,2010-06-30,2010-04-01,False,html_old,76190,31560.0,,25970.0,4350.0,3430.0,3.5,3.5,9810.0,
SOBHA,2010-10-22 15:41:00,2010-09-30,2010-07-01,False,html_old,78251,42570.0,,34060.0,7980.0,5890.0,6.01,6.01,9810.0,
SOBHA,2011-01-24 15:32:00,2010-12-31,2010-10-01,False,html_old,81666,36290.0,,28820.0,6670.0,4900.0,5.0,5.0,9810.0,
SOBHA,2011-08-10 12:05:00,2011-06-30,2011-04-01,False,html_old,87917,31790.0,,26300.0,4530.0,3090.0,3.15,3.15,9810.0,
SOBHA,2011-11-14 17:25:00,2011-09-30,2011-07-01,False,html_old,90572,32740.0,,26300.0,5920.0,4090.0,4.17,4.17,9810.0,
SOBHA,2012-01-23 20:04:00,2011-12-31,2011-10-01,False,html_old,91427,31150.0,,24900.0,5770.0,4010.0,4.09,4.09,9810.0,
SOBHA,2012-05-23 19:03:00,2012-03-31,2012-01-01,False,html_old,95030,47390.0,,30800.0,13310.0,8900.0,9.08,9.08,9810.0,
SOBHA,2012-08-07 21:37:00,2012-06-30,2012-04-01,False,html_old,98163,42150.0,,32410.0,6800.0,4600.0,,,9810.0,
SOBHA,2012-08-07 21:37:00,2012-06-30,2012-04-01,True,html_old,98160,43200.0,,32740.0,6970.0,4500.0,,,9810.0,
SOBHA,2012-11-02 17:59:00,2012-09-30,2012-07-01,True,html_old,100532,41400.0,,30040.0,7150.0,5010.0,,,9810.0,
SOBHA,2012-11-07 19:39:00,2012-09-30,2012-07-01,False,html_old,100847,39400.0,,30140.0,5670.0,4090.0,,,9810.0,
SOBHA,2013-02-01 15:45:00,2012-12-31,2012-10-01,False,html_old,102495,42550.0,,31680.0,7670.0,5160.0,,,9810.0,
SOBHA,2013-02-01 15:45:00,2012-12-31,2012-10-01,True,html_old,102492,42880.0,,30770.0,7970.0,5260.0,,,9810.0,
SOBHA,2013-05-23 12:17:00,2013-03-31,2013-01-01,False,html_old,105396,55220.0,,43760.0,8650.0,5820.0,,,9810.0,0.0
SOBHA,2013-05-23 12:17:00,2013-03-31,2013-01-01,True,html_old,105394,58540.0,,44010.0,10310.0,6950.0,,,9810.0,0.0
SOBHA,2013-08-14 12:37:00,2013-06-30,2013-04-01,False,html_old,110341,46780.0,,36460.0,8240.0,5270.0,,,9810.0,0.0
SOBHA,2013-08-14 12:37:00,2013-06-30,2013-04-01,True,html_old,110340,46100.0,,33910.0,8430.0,5010.0,,,9810.0,0.0
SOBHA,2013-11-25 15:25:00,2013-09-30,2013-07-01,False,html_old,113486,52710.0,,42430.0,7760.0,5160.0,,,9810.0,0.0
SOBHA,2013-11-25 15:29:00,2013-09-30,2013-07-01,True,html_old,113490,54000.0,,41470.0,8640.0,5660.0,,,9810.0,0.0
SOBHA,2014-02-01 16:57:00,2013-12-31,2013-10-01,False,html_old,114489,53160.0,,42310.0,8080.0,5390.0,,,9806.0,212300.0
SOBHA,2014-02-01 16:57:00,2013-12-31,2013-10-01,True,html_old,114490,54290.0,,41250.0,8840.0,5830.0,,,9806.0,214530.0
SOBHA,2014-05-27 14:57:00,2014-03-31,2014-01-01,False,html_old,117998,56400.0,,46630.0,7280.0,4830.0,,,9810.0,0.0
SOBHA,2014-05-27 14:57:00,2014-03-31,2014-01-01,True,html_old,117996,62540.0,,47360.0,11130.0,6860.0,,,9810.0,0.0
SOBHA,2014-08-12 17:01:00,2014-06-30,2014-04-01,True,html_old,121488,57590.0,,44240.0,9030.0,5710.0,,,9810.0,0.0
SOBHA,2014-08-12 17:01:00,2014-06-30,2014-04-01,False,html_old,121487,56300.0,,45050.0,8450.0,5630.0,,,9810.0,0.0
SOBHA,2014-11-22 12:37:00,2014-09-30,2014-07-01,False,html_old,124544,66630.0,,54120.0,8530.0,5600.0,,,9810.0,0.0
SOBHA,2014-11-22 12:37:00,2014-09-30,2014-07-01,True,html_old,124545,66950.0,,52210.0,9490.0,5950.0,,,9810.0,0.0
SOBHA,2015-02-19 14:29:00,2014-12-31,2014-10-01,False,html_old,126604,64680.0,,57660.0,4750.0,3280.0,,,9810.0,0.0
SOBHA,2015-02-19 14:29:00,2014-12-31,2014-10-01,True,html_old,126605,68260.0,,54890.0,9110.0,6540.0,,,9810.0,0.0
SOBHA,2015-05-14 12:37:00,2015-03-31,2015-01-01,False,html_old,127837,48380.0,,38170.0,8210.0,5400.0,,,9810.0,0.0
SOBHA,2015-05-14 12:45:00,2015-03-31,2015-01-01,True,html_old,127839,50480.0,,38210.0,9540.0,6200.0,,,9810.0,0.0
SOBHA,2015-08-10 15:21:00,2015-06-30,2015-04-01,False,html_old,1000886,44590.0,,34220.0,7320.0,4640.0,,,9810.0,0.0
SOBHA,2015-08-10 16:02:00,2015-06-30,2015-04-01,True,html_old,1000885,46040.0,,34660.0,7220.0,4380.0,,,9810.0,0.0
SOBHA,2015-11-13 19:44:00,2015-09-30,2015-07-01,True,html_old,1003833,45040.0,,34870.0,6200.0,3880.0,,,9810.0,0.0
SOBHA,2015-11-13 19:54:00,2015-09-30,2015-07-01,False,html_old,1003834,43560.0,,35310.0,4960.0,3240.0,,,9810.0,0.0
SOBHA,2016-02-06 13:37:00,2015-12-31,2015-10-01,True,html_old,1004927,39290.0,,30460.0,5170.0,3140.0,,,9810.0,
SOBHA,2016-02-06 13:53:00,2015-12-31,2015-10-01,False,html_old,1004928,38430.0,,30540.0,4790.0,2970.0,,,9810.0,
SOBHA,2016-05-23 16:45:00,2016-03-31,2016-01-01,True,html_old,1007650,55040.0,,42510.0,9500.0,4020.0,,,9810.0,
SOBHA,2016-05-23 16:45:00,2016-03-31,2016-01-01,False,html_old,1007648,52020.0,,40930.0,8080.0,2840.0,,,9810.0,
SOBHA,2016-09-27 11:52:00,2015-06-30,2015-04-01,True,html_old,1013627,45650.0,,36320.0,5890.0,3660.0,,,9810.0,
SOBHA,2016-09-27 11:52:00,2016-03-31,2016-01-01,True,html_old,1013626,54900.0,,45250.0,7330.0,2150.0,,,9810.0,
SOBHA,2016-09-27 11:52:00,2016-06-30,2016-04-01,True,html_old,1013625,56770.0,,48580.0,5420.0,3410.0,,,9810.0,
SOBHA,2016-09-27 11:52:00,2015-06-30,2015-04-01,False,html_old,1013624,43950.0,,35570.0,5700.0,3610.0,,,9810.0,
SOBHA,2016-09-27 11:52:00,2016-03-31,2016-01-01,False,html_old,1013623,53830.0,,44080.0,7170.0,2280.0,,,9810.0,
SOBHA,2016-09-27 11:52:00,2016-06-30,2016-04-01,False,html_old,1013622,58080.0,,49170.0,5840.0,3670.0,,,9810.0,
SOBHA,2016-11-28 17:04:00,2016-09-30,2016-07-01,False,html_old,1016938,52960.0,,44290.0,5680.0,3530.0,,,9630.0,
SOBHA,2016-11-28 17:13:00,2015-09-30,2015-07-01,False,html_old,1016939,48350.0,,41050.0,4830.0,3180.0,,,9810.0,
SOBHA,2016-11-28 17:25:00,2016-09-30,2016-07-01,True,html_old,1016940,53950.0,,45310.0,6120.0,3510.0,,,9630.0,
SOBHA,2016-11-28 17:35:00,2015-09-30,2015-07-01,True,html_old,1016941,49850.0,,40410.0,6220.0,3970.0,,,9810.0,
SOBHA,2017-02-10 11:30:00,2016-12-31,2016-10-01,False,html_old,1019112,53690.0,,45820.0,4680.0,2840.0,,,9630.0,
