symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
SREINFRA,2007-06-19 16:31:00,2007-03-31,2007-01-01,False,html_old,46064,12344.0,12471.0,2975.0,2177.0,3150.0,2.81,2.81,10909.0,0.0
SREINFRA,2007-07-31 13:19:00,2007-06-30,2007-04-01,False,html_old,47841,12135.0,12166.0,1734.0,2506.0,2328.0,2.14,2.14,10909.0,0.0
SREINFRA,2007-10-29 14:57:00,2007-09-30,2007-07-01,False,html_old,49710,14926.0,15072.0,3132.0,3280.0,2959.0,2.72,2.72,10909.0,
SREINFRA,2007-10-29 15:34:00,2007-09-30,2007-07-01,True,html_old,49714,16246.0,16399.0,3702.0,3852.0,3375.0,3.05,3.05,10909.0,
SREINFRA,2008-01-31 16:57:00,2007-12-31,2007-10-01,False,html_old,52249,17356.0,17560.0,4600.0,3038.0,2836.0,2.6,2.59,10909.0,
SREINFRA,2008-01-31 21:11:00,2007-12-31,2007-10-01,True,html_old,52250,19353.0,19601.0,6214.0,3220.0,2978.0,2.56,2.55,10909.0,
SREINFRA,2008-07-30 14:58:00,2008-06-30,2008-04-01,False,html_old,56829,10157.0,10272.0,1356.0,4876.0,3219.0,2.77,2.77,11629.0,
SREINFRA,2008-08-05 20:01:00,2008-06-30,2008-04-01,True,html_old,56832,22062.0,22192.0,4316.0,6560.0,4311.0,3.72,3.72,11629.0,
SREINFRA,2008-10-30 15:20:00,2008-09-30,2008-07-01,True,html_old,59608,23301.0,,8909.0,4047.0,2671.0,2.25,2.25,11629.0,
SREINFRA,2008-10-30 15:20:00,2008-09-30,2008-07-01,False,html_old,59603,9856.0,,5192.0,2273.0,1626.0,1.4,1.4,11629.0,
SREINFRA,2009-01-29 14:31:00,2008-12-31,2008-10-01,False,html_old,61549,3040.0,,-476.0,397.0,235.0,0.2,0.2,11629.0,
