symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
STAR,2007-04-26 15:13:00,2007-03-31,2007-01-01,False,html_old,44558,10607.3,10952.7,8609.3,1295.0,776.0,1.98,1.74,3495.4,0.0
STAR,2007-04-26 15:45:00,2007-03-31,2007-01-01,True,html_old,44559,16152.4,17002.4,13491.4,1176.7,607.2,1.5,1.32,0.0,0.0
STAR,2007-07-27 14:07:00,2007-06-30,2007-04-01,False,html_old,47326,10522.1,10716.2,9089.6,653.0,1018.1,2.6,2.23,3495.4,0.0
STAR,2007-08-13 19:24:00,2007-06-30,2007-04-01,True,html_old,47344,17989.9,18028.5,14535.1,1046.3,1158.3,3.0,2.57,0.0,0.0
STAR,2007-10-30 15:45:00,2007-09-30,2007-07-01,True,html_old,50161,20429.3,21809.7,20929.5,-816.1,-1190.0,-2.83,-2.83,,
STAR,2007-10-30 15:45:00,2007-09-30,2007-07-01,False,html_old,50160,10586.4,11539.8,10672.0,198.2,24.9,-0.18,-0.18,3500.4,
STAR,2008-03-11 18:00:00,2007-12-31,2007-10-01,False,html_old,52794,7575.8,7995.2,12396.3,-13948.8,-13340.4,-38.36,-38.36,3500.4,
STAR,2008-04-28 17:40:00,2008-03-31,2008-01-01,False,html_old,53355,11968.8,12090.9,12469.1,-1595.8,-1604.8,-4.69,-4.69,3900.4,
STAR,2008-04-28 17:40:00,2008-03-31,2008-01-01,True,html_old,53353,20697.8,27815.5,20399.8,5775.7,5414.7,14.35,10.63,,
STAR,2008-07-22 17:22:00,2008-06-30,2008-04-01,True,html_old,55992,25535.33,26910.78,22495.93,-4258.29,-4836.94,-12.69,-12.69,,
STAR,2008-07-22 17:22:00,2008-06-30,2008-04-01,False,html_old,55990,16077.45,17024.65,14027.45,-5588.61,-5596.11,-14.51,-14.51,4005.0,
STAR,2008-10-31 15:15:00,2008-09-30,2008-07-01,True,html_old,59951,27210.33,,26566.14,10362.33,10302.72,25.51,18.95,4005.0,
STAR,2008-10-31 16:02:00,2008-09-30,2008-07-01,False,html_old,59964,16632.34,,16344.24,-5160.11,-5167.61,-13.12,-13.12,4005.0,
STAR,2009-04-24 17:15:00,2009-03-31,2009-01-01,False,html_old,62865,16975.82,,14153.95,2163.14,2148.14,5.15,5.07,4005.0,
STAR,2009-04-24 17:23:00,2009-03-31,2009-01-01,True,html_old,62867,28425.77,,25935.18,1103.52,1021.79,2.4,2.4,4005.0,
STAR,2009-07-30 15:51:00,2009-06-30,2009-04-01,False,html_old,66657,17540.67,,16079.51,6027.61,6012.61,14.8,6.02,4005.0,
STAR,2009-07-30 16:56:00,2009-06-30,2009-04-01,True,html_old,66662,30975.54,,28806.51,5097.88,4429.42,10.21,2.67,4005.0,
STAR,2009-10-30 21:25:00,2009-09-30,2009-07-01,False,html_old,69758,16578.79,,15079.64,-176.75,423.25,0.84,0.77,4015.56,
STAR,2009-10-30 21:25:00,2009-09-30,2009-07-01,True,html_old,69757,31714.42,,28847.52,1723.47,2209.86,4.7,4.32,4015.56,
STAR,2010-04-22 13:54:00,2010-03-31,2010-01-01,False,html_old,72684,13138.78,,10624.85,1258.53,1006.45,2.23,2.1,4320.91,
STAR,2010-04-22 14:02:00,2010-03-31,2010-01-01,True,html_old,72685,37355.06,,31156.44,5026.16,4312.66,9.43,8.45,4320.91,
STAR,2010-07-27 14:49:00,2010-06-30,2010-04-01,True,html_old,76057,45446.57,,36806.97,5861.62,4989.06,10.33,9.12,4353.91,
STAR,2010-07-27 15:03:00,2010-06-30,2010-04-01,False,html_old,76058,11861.9,,10316.96,-1358.82,-1358.82,-3.32,-3.32,4353.91,
STAR,2010-10-27 13:44:00,2010-09-30,2010-07-01,True,html_old,78686,41219.27,,35759.7,5178.08,4074.74,7.51,5.52,4692.11,
STAR,2010-10-27 13:55:00,2010-09-30,2010-07-01,False,html_old,78697,12672.08,,11870.52,1065.21,1065.21,2.18,0.54,4692.11,
STAR,2011-04-25 14:14:00,2011-03-31,2011-01-01,False,html_old,83563,12719.61,,11061.68,1619.3,1274.3,2.21,0.45,5776.92,
STAR,2011-04-25 16:46:00,2011-03-31,2011-01-01,True,html_old,83564,48747.71,,41415.11,5398.71,4508.87,7.05,4.72,5776.92,
