symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
SYNGENE,2015-10-23 12:54:00,2015-09-30,2015-07-01,False,html_old,1002172,25605.0,,19937.0,6079.0,5229.0,,,19906.0,64579.0
SYNGENE,2016-04-29 12:19:00,2015-12-31,2015-10-01,False,html_old,1004251,27510.0,,21170.0,6780.0,5880.0,,,19920.0,
SYNGENE,2016-04-29 12:29:00,2016-03-31,2016-01-01,False,html_old,1006332,32620.0,,25440.0,7880.0,6650.0,,,19920.0,
SYNGENE,2016-09-27 13:39:00,2016-03-31,2016-01-01,False,html_old,1013783,32620.0,,24010.0,9330.0,7910.0,,,20000.0,
SYNGENE,2016-09-27 13:39:00,2016-06-30,2016-04-01,False,html_old,1013782,26920.0,,21230.0,7290.0,5980.0,,,20000.0,
SYNGENE,2016-09-27 13:40:00,2015-06-30,2015-04-01,False,html_old,1013784,22830.0,,17750.0,5430.0,4660.0,,,20000.0,
SYNGENE,2016-10-20 21:26:00,2016-09-30,2016-07-01,False,html_old,1014677,29470.0,,22520.0,9140.0,7470.0,,,20000.0,
SYNGENE,2016-10-20 21:31:00,2015-09-30,2015-07-01,False,html_old,1014678,25610.0,,20390.0,5630.0,4850.0,,,20000.0,
SYNGENE,2017-01-27 17:48:00,2015-12-31,2015-10-01,False,html_old,1017964,27510.0,,20240.0,7710.0,6670.0,,,20000.0,
SYNGENE,2017-01-27 17:48:00,2016-12-31,2016-10-01,False,html_old,1017963,32380.0,,24810.0,9180.0,7440.0,,,20000.0,
SYNGENE,2017-06-16 14:43:00,2017-03-31,2017-01-01,False,html_old,1021038,29130.0,31520.0,22480.0,9040.0,7840.0,40.0,39.5,20000.0,
SYNGENE,2017-08-01 12:03:00,2017-06-30,2017-04-01,False,html_old,1028182,26370.0,30830.0,23230.0,7600.0,6200.0,3.16,3.13,20000.0,
SYNGENE,2017-10-30 12:20:00,2017-09-30,2017-07-01,False,html_old,1031868,30490.0,35160.0,25720.0,9440.0,7690.0,3.88,3.87,20000.0,
