symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
THYROCARE,2016-06-17 09:59:00,2016-03-31,2016-01-01,True,html_old,1010799,6221.5,,4549.6,2182.5,1393.6,,,5372.4,
THYROCARE,2016-06-17 09:59:00,2016-03-31,2016-01-01,False,html_old,1010797,6161.7,,4274.2,2333.0,1544.1,,,5372.4,
THYROCARE,2016-08-13 13:19:00,2016-06-30,2016-04-01,False,html_old,1010998,6643.2,,4477.7,2629.5,1723.7,,,5372.4,
THYROCARE,2016-10-01 18:34:00,2016-06-30,2016-04-01,True,html_old,1010996,6683.3,,4619.8,2546.0,1640.2,,,5372.4,
THYROCARE,2016-10-25 21:24:00,2016-09-30,2016-07-01,True,html_old,1014879,7623.8,,5258.5,3052.5,2023.1,,,5372.4,
THYROCARE,2016-10-25 21:24:00,2016-09-30,2016-07-01,False,html_old,1014878,7582.5,,5093.5,3069.7,2040.0,,,5372.4,
THYROCARE,2017-01-30 17:56:00,2016-12-31,2016-10-01,False,html_old,1018176,6736.6,,4631.4,2610.1,1690.0,,,5372.4,
THYROCARE,2017-01-30 17:57:00,2016-12-31,2016-10-01,True,html_old,1018177,6826.4,,4896.6,2458.0,1537.9,,,5372.4,
THYROCARE,2017-05-29 19:53:00,2017-03-31,2017-01-01,True,html_old,1021731,8767.1,,5942.9,2884.7,1895.0,,,5372.4,
THYROCARE,2017-05-29 19:53:00,2017-03-31,2017-01-01,False,html_old,1021729,8287.4,,5384.8,3020.1,2030.4,,,5372.4,
THYROCARE,2017-08-23 18:42:00,2016-06-30,2016-04-01,True,html_old,1029729,6874.5,7182.1,4601.3,2580.8,1707.8,3.18,3.18,5369.0,
THYROCARE,2017-08-23 18:42:00,2017-06-30,2017-04-01,True,html_old,1029728,8775.6,9252.0,5583.7,3463.4,2201.9,4.1,4.09,5372.4,
THYROCARE,2017-08-23 18:42:00,2016-06-30,2016-04-01,False,html_old,1029727,6826.6,7110.4,4438.4,2672.0,1799.0,3.35,3.35,5372.4,
THYROCARE,2017-08-23 18:42:00,2017-06-30,2017-04-01,False,html_old,1029726,8213.9,8696.8,4912.2,3579.7,2318.2,4.31,4.31,5372.4,
THYROCARE,2017-12-12 11:24:00,2017-09-30,2017-07-01,True,html_old,1034473,8803.6,9171.2,5736.1,3420.7,2465.8,4.59,4.58,5372.4,
THYROCARE,2017-12-12 11:24:00,2016-09-30,2016-07-01,True,html_old,1034474,7814.8,8124.5,5212.1,1260.1,117.1,0.22,0.22,5369.0,
THYROCARE,2017-12-12 11:24:00,2017-09-30,2017-07-01,False,html_old,1034471,8178.7,8493.2,5083.7,3395.1,2344.2,4.37,4.36,5372.4,
THYROCARE,2017-12-12 11:24:00,2016-09-30,2016-07-01,False,html_old,1034472,7754.3,8070.1,5005.4,1412.4,269.1,0.5,0.5,5372.4,
THYROCARE,2018-02-15 17:38:00,2016-12-31,2016-10-01,True,html_old,1036091,7037.8,7428.5,4885.2,1855.9,918.1,1.71,1.71,5369.0,
THYROCARE,2018-02-15 17:38:00,2017-12-31,2017-10-01,True,html_old,1036090,8386.8,8754.1,5373.2,3380.9,2146.7,4.03,4.02,5372.4,
THYROCARE,2018-02-15 17:38:00,2016-12-31,2016-10-01,False,html_old,1036089,6935.6,7257.4,4597.5,1972.5,1034.7,1.93,1.93,5369.0,
THYROCARE,2018-02-15 17:38:00,2017-12-31,2017-10-01,False,html_old,1036088,7783.6,8194.5,4725.7,3468.8,2175.0,4.08,4.07,5372.4,
THYROCARE,2018-06-20 18:30:00,2017-03-31,2017-01-01,False,xbrl_new,1038976,,,,,,,,,
THYROCARE,2018-06-20 18:30:00,2018-03-31,2018-01-01,False,xbrl_new,1038975,,,,,,,,,
THYROCARE,2018-06-20 18:38:00,2017-03-31,2017-01-01,True,xbrl_new,1038980,,,,,,,,,
THYROCARE,2018-08-28 16:29:00,2018-06-30,2018-04-01,True,xbrl_new,1048639,,,,,,,,,
THYROCARE,2018-08-28 16:29:00,2018-06-30,2018-04-01,False,xbrl_new,1048638,,,,,,,,,
THYROCARE,2018-11-19 16:59:00,2018-09-30,2018-07-01,False,xbrl_new,1051702,956800000.0,989300000.0,585000000.0,404300000.0,265200000.0,4.94,4.92,535900000.0,
THYROCARE,2018-11-19 17:00:00,2018-09-30,2018-07-01,True,xbrl_new,1051704,1038800000.0,1062800000.0,676100000.0,386700000.0,252600000.0,4.7,4.69,535900000.0,
THYROCARE,2019-01-28 17:58:00,2018-03-31,2018-01-01,True,xbrl_new,1038979,,,,,,,,,
THYROCARE,2019-02-19 12:35:00,2018-12-31,2018-10-01,False,xbrl_new,1057024,881200000.0,925000000.0,580800000.0,344200000.0,224400000.0,4.25,4.24,528000000.0,
THYROCARE,2019-02-19 12:36:00,2018-12-31,2018-10-01,True,xbrl_new,1057028,962900000.0,996300000.0,678100000.0,318200000.0,201500000.0,3.81,3.8,528000000.0,
THYROCARE,2019-05-21 12:45:00,2019-03-31,2019-01-01,False,xbrl_new,1061065,972900000.0,1003400000.0,672600000.0,330800000.0,208900000.0,3.92,3.92,528000000.0,
THYROCARE,2019-06-25 15:22:00,2019-03-31,2019-01-01,True,xbrl_new,1061071,1055900000.0,1075400000.0,783000000.0,292400000.0,163300000.0,3.09,3.07,528000000.0,
THYROCARE,2019-08-12 13:21:00,2019-06-30,2019-04-01,False,xbrl_new,1066709,1005000000.0,1038500000.0,608900000.0,429600000.0,301000000.0,5.7,5.69,528000000.0,
THYROCARE,2019-08-12 13:33:00,2019-06-30,2019-04-01,True,xbrl_new,1066710,1097300000.0,1120900000.0,719400000.0,401500000.0,274700000.0,5.2,5.19,528000000.0,
THYROCARE,2019-11-08 13:24:00,2019-09-30,2019-07-01,False,xbrl_new,1070656,1078900000.0,1112500000.0,628200000.0,484300000.0,374300000.0,7.22,7.21,528000000.0,
THYROCARE,2019-11-08 13:27:00,2019-09-30,2019-07-01,True,xbrl_new,1070658,1162400000.0,1187000000.0,729200000.0,457800000.0,350500000.0,6.73,6.71,528000000.0,
THYROCARE,2020-02-03 14:21:00,2019-12-31,2019-10-01,False,xbrl_new,1075962,979900000.0,992900000.0,603900000.0,389000000.0,299100000.0,5.66,5.65,528400000.0,
THYROCARE,2020-02-03 14:24:00,2019-12-31,2019-10-01,True,xbrl_new,1075964,1057900000.0,1066400000.0,702200000.0,364200000.0,275100000.0,5.21,5.19,528400000.0,
THYROCARE,2020-05-25 16:40:00,2020-03-31,2020-01-01,False,xbrl_new,1082132,936200000.0,960900000.0,700300000.0,-182700000.0,-180900000.0,-3.43,-3.42,528400000.0,
THYROCARE,2020-06-08 09:51:00,2020-03-31,2020-01-01,True,xbrl_new,1082134,1014400000.0,1035000000.0,793300000.0,175900000.0,-15900000.0,-0.3,-0.3,528400000.0,
THYROCARE,2020-08-01 13:31:00,2020-06-30,2020-04-01,False,xbrl_new,1088999,544000000.0,558900000.0,495700000.0,63200000.0,44200000.0,0.84,0.84,528400000.0,
THYROCARE,2020-08-01 13:41:00,2020-06-30,2020-04-01,True,xbrl_new,1089007,562700000.0,574900000.0,551000000.0,23900000.0,2300000.0,0.04,0.04,528400000.0,
THYROCARE,2020-10-30 17:48:00,2020-09-30,2020-07-01,False,xbrl_new,1093542,1485400000.0,1539000000.0,923200000.0,615800000.0,457700000.0,8.67,8.64,528400000.0,
THYROCARE,2020-10-30 17:50:00,2020-09-30,2020-07-01,True,xbrl_new,1093546,1532500000.0,1582400000.0,993300000.0,589100000.0,430500000.0,8.15,8.13,528400000.0,
THYROCARE,2021-02-01 16:16:00,2020-12-31,2020-10-01,False,xbrl_new,1101250,1321700000.0,1351300000.0,891600000.0,459700000.0,342400000.0,6.48,6.47,528700000.0,
THYROCARE,2021-02-01 16:19:00,2020-12-31,2020-10-01,True,xbrl_new,1101252,1382700000.0,1408500000.0,967900000.0,440600000.0,323900000.0,6.13,6.12,528700000.0,
THYROCARE,2021-05-10 19:35:00,2021-03-31,2021-01-01,False,xbrl_new,1107268,1391600000.0,1416400000.0,942300000.0,474100000.0,353400000.0,6.69,6.68,528700000.0,
THYROCARE,2021-05-10 20:16:00,2021-03-31,2021-01-01,True,xbrl_new,1107270,1468400000.0,1504800000.0,1030300000.0,474500000.0,377500000.0,7.14,7.13,528700000.0,
