symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
TINPLATE,2007-05-04 09:47:00,2007-03-31,2007-01-01,False,html_old,45062,11596.99,12332.66,10366.71,998.96,589.64,2.03,0.0,2890.91,0.0
TINPLATE,2007-07-20 18:10:00,2007-06-30,2007-04-01,False,html_old,46930,8151.36,8649.21,7690.82,70.91,21.36,0.07,0.0,2899.79,0.0
TINPLATE,2007-10-18 19:21:00,2007-09-30,2007-07-01,False,html_old,48675,9797.61,10124.93,9642.88,31.25,-11.05,-0.04,-0.04,2899.8,
TINPLATE,2008-01-18 19:05:00,2007-12-31,2007-10-01,False,html_old,51333,11150.14,11410.02,10956.01,217.81,67.71,0.23,0.13,2899.89,11233.0
TINPLATE,2008-05-12 12:55:00,2008-03-31,2008-01-01,False,html_old,53975,10784.91,10854.71,10117.91,487.61,316.47,1.09,0.62,2892.43,
TINPLATE,2008-07-28 20:54:00,2008-06-30,2008-04-01,False,html_old,56502,11491.67,11719.53,10749.54,682.39,343.43,1.19,0.69,2892.43,
TINPLATE,2008-10-27 19:55:00,2008-09-30,2008-07-01,False,html_old,58810,15504.32,,13385.21,1923.41,694.97,2.41,1.29,2892.42,
TINPLATE,2009-01-19 11:35:00,2008-12-31,2008-10-01,False,html_old,60872,18047.95,,16836.79,604.52,253.7,0.88,0.44,2892.43,
TINPLATE,2009-06-08 17:20:00,2009-03-31,2009-01-01,False,html_old,64459,20985.07,,17372.69,3056.9,2188.08,2.27,2.27,2892.43,
TINPLATE,2009-07-21 19:28:00,2009-06-30,2009-04-01,False,html_old,65769,19533.06,,15885.1,3346.0,2190.06,7.61,7.61,2892.43,11233.0
TINPLATE,2009-10-28 13:31:00,2009-09-30,2009-07-01,False,html_old,68693,15325.25,,12877.08,2208.51,1559.74,5.42,5.42,2892.43,11233.0
TINPLATE,2010-01-14 16:31:00,2009-12-31,2009-10-01,False,html_old,70804,19446.16,,17190.96,2533.17,2224.72,5.06,3.2,7209.38,11233.0
TINPLATE,2010-05-07 14:50:00,2010-03-31,2010-01-01,False,html_old,73565,23695.65,,22086.63,2065.16,740.62,-0.52,-0.52,7209.38,
TINPLATE,2010-07-30 20:46:00,2010-06-30,2010-04-01,False,html_old,76565,23443.91,,22510.43,1204.05,1077.49,1.5,1.08,7209.38,11233.0
TINPLATE,2010-10-26 19:01:00,2010-09-30,2010-07-01,False,html_old,78628,23151.69,,21782.63,1814.78,1570.41,2.18,1.55,7209.38,
TINPLATE,2011-02-01 15:20:00,2010-12-31,2010-10-01,False,html_old,82196,15791.76,,14502.29,1394.5,791.19,1.1,0.82,7209.38,
TINPLATE,2011-05-05 08:02:00,2011-03-31,2011-01-01,False,html_old,84107,16830.59,,16135.94,701.79,141.86,,,7209.38,
TINPLATE,2011-08-04 18:11:00,2011-06-30,2011-04-01,False,html_old,87647,14646.33,,13801.8,982.41,735.89,0.7,0.7,10479.8,
TINPLATE,2011-10-24 14:08:00,2011-09-30,2011-07-01,False,html_old,89446,17484.94,,17025.42,697.12,63.21,0.06,0.06,10479.8,
TINPLATE,2012-01-30 21:20:00,2011-12-31,2011-10-01,False,html_old,91735,14857.91,,13850.32,1004.84,840.46,0.8,0.8,10479.8,
TINPLATE,2012-05-10 15:30:00,2012-03-31,2012-01-01,False,html_old,93880,15454.67,,15487.6,105.73,15.63,-1.05,-1.05,10479.8,
TINPLATE,2012-07-25 18:01:00,2012-06-30,2012-04-01,False,html_old,97537,16463.92,,15937.16,621.29,148.0,,,10479.8,
TINPLATE,2012-10-17 16:30:00,2012-09-30,2012-07-01,False,html_old,99806,20121.3,,19263.63,1037.73,701.55,,,10479.8,
TINPLATE,2013-01-18 15:55:00,2012-12-31,2012-10-01,False,html_old,102064,24165.65,,22720.36,1536.73,1116.16,,,10479.8,
TINPLATE,2013-04-19 20:01:00,2013-03-31,2013-01-01,False,html_old,104141,26253.11,,24425.62,1757.23,857.36,,,10479.8,38945.76
TINPLATE,2013-07-30 11:01:00,2013-06-30,2013-04-01,False,html_old,109345,22823.62,,21659.86,1610.82,1066.6,,,10479.8,39492.33
TINPLATE,2013-11-05 11:41:00,2013-09-30,2013-07-01,False,html_old,111865,27389.79,,24428.54,3129.88,2066.77,,,10479.8,39492.33
TINPLATE,2014-01-28 15:33:00,2013-12-31,2013-10-01,False,html_old,114152,25744.31,,24575.41,1514.37,1285.58,,,10479.8,39492.33
TINPLATE,2014-04-22 17:17:00,2014-03-31,2014-01-01,False,html_old,116302,28941.37,,26607.64,2814.42,1860.77,,,10479.8,42858.87
TINPLATE,2014-08-06 14:29:00,2014-06-30,2014-04-01,False,html_old,121063,17913.05,,16959.29,1617.79,1062.86,,,10479.8,42858.87
TINPLATE,2014-10-28 16:21:00,2014-09-30,2014-07-01,False,html_old,123087,25017.18,,23249.22,2210.6,1466.1,,,10479.8,0.0
TINPLATE,2015-01-22 17:53:00,2014-12-31,2014-10-01,False,html_old,125169,21746.55,,21700.14,1015.32,686.43,,,10479.8,42858.87
TINPLATE,2015-04-29 15:05:00,2015-03-31,2015-01-01,False,html_old,127259,24559.29,,23964.56,1938.49,1244.22,,,10479.8,42858.87
TINPLATE,2015-07-21 15:27:00,2015-06-30,2015-04-01,False,html_old,1000097,22287.01,,20322.2,3577.85,2280.29,,,10479.8,0.0
TINPLATE,2015-10-27 15:11:00,2015-09-30,2015-07-01,False,html_old,1002135,22343.25,,20026.31,3224.92,2108.18,,,10479.8,0.0
TINPLATE,2016-01-18 17:09:00,2015-12-31,2015-10-01,False,html_old,1004175,19539.17,,16903.89,3377.21,2232.96,,,10479.8,
TINPLATE,2016-05-04 17:04:00,2016-03-31,2016-01-01,False,html_old,1006518,17200.65,,16815.96,1131.25,716.25,,,10479.8,
TINPLATE,2016-10-03 16:50:00,2015-06-30,2015-04-01,False,html_old,1013683,22256.01,,20205.49,2870.68,1708.59,,,10479.8,
TINPLATE,2016-10-03 16:50:00,2016-06-30,2016-04-01,False,html_old,1013681,15745.89,,16084.8,301.62,196.11,,,10479.8,
TINPLATE,2016-10-03 16:50:00,2016-03-31,2016-01-01,False,html_old,1013682,16317.66,,16058.03,1004.55,631.16,,,10479.8,
TINPLATE,2016-10-25 21:26:00,2015-09-30,2015-07-01,False,html_old,1014853,21980.56,,19617.9,3270.64,2140.81,,,10479.8,
TINPLATE,2016-10-25 21:26:00,2016-09-30,2016-07-01,False,html_old,1014852,17600.54,,16853.71,1335.82,1040.76,,,10479.8,
TINPLATE,2017-02-03 16:31:00,2015-12-31,2015-10-01,False,html_old,1018498,20507.15,,17921.62,3484.54,2303.77,,,10479.8,
TINPLATE,2017-02-03 16:31:00,2016-12-31,2016-10-01,False,html_old,1018497,21992.33,,21954.0,724.73,446.71,,,10479.8,
TINPLATE,2017-05-17 11:52:00,2017-03-31,2017-01-01,False,html_old,1020843,25925.8,0.0,25760.54,1703.96,1102.44,,,10479.8,
TINPLATE,2017-07-28 11:43:00,2017-06-30,2017-04-01,False,html_old,1027888,23144.02,24100.62,21981.68,2118.94,1410.17,1.35,1.35,10479.8,
TINPLATE,2017-10-24 18:43:00,2017-09-30,2017-07-01,False,html_old,1031777,41316.0,44445.72,41755.05,2690.67,1780.69,1.7,1.7,10479.8,
TINPLATE,2018-02-02 16:14:00,2017-12-31,2017-10-01,False,html_old,1035355,50227.86,55053.69,52836.48,2217.21,1278.96,1.22,1.22,10479.8,
TINPLATE,2018-06-27 16:07:00,2018-03-31,2018-01-01,False,xbrl_new,1038709,,,,,,,,,
TINPLATE,2018-08-03 15:15:00,2018-06-30,2018-04-01,False,xbrl_new,1047152,5686420000.0,5742879000.0,5597865000.0,145014000.0,94554000.0,0.9,0.9,1047980000.0,
TINPLATE,2018-11-21 18:39:00,2018-09-30,2018-07-01,False,xbrl_new,1050914,6579136000.0,6694763000.0,6608632000.0,86131000.0,53560000.0,0.52,0.52,1047980000.0,
TINPLATE,2019-01-16 11:06:00,2018-12-31,2018-10-01,False,xbrl_new,1054407,6301275000.0,6356056000.0,6089512000.0,266544000.0,155438000.0,1.49,1.49,1047980000.0,
TINPLATE,2019-04-23 18:29:00,2019-03-31,2019-01-01,False,xbrl_new,1058974,7278165000.0,7343159000.0,6923106000.0,420053000.0,276438000.0,2.64,2.64,1047980000.0,
TINPLATE,2019-07-16 15:00:00,2019-06-30,2019-04-01,False,xbrl_new,1064859,5613333000.0,5682493000.0,5526456000.0,156037000.0,87874000.0,0.84,0.84,1047980000.0,
TINPLATE,2019-10-23 15:02:00,2019-09-30,2019-07-01,False,xbrl_new,1069189,5383692000.0,5438584000.0,5246094000.0,192490000.0,126695000.0,1.21,1.21,1047980000.0,
TINPLATE,2020-01-16 14:48:00,2019-12-31,2019-10-01,False,xbrl_new,1074453,5336436000.0,5387926000.0,5093394000.0,294532000.0,464511000.0,4.44,4.44,1047980000.0,
TINPLATE,2020-06-14 11:10:00,2020-03-31,2020-01-01,False,xbrl_new,1083143,4723656000.0,4791906000.0,4393439000.0,398467000.0,271204000.0,2.59,2.59,1047980000.0,
TINPLATE,2020-07-29 12:40:00,2020-06-30,2020-04-01,False,xbrl_new,1087918,3797615000.0,3842212000.0,3910127000.0,-67915000.0,-69030000.0,-0.66,-0.66,1047980000.0,
TINPLATE,2020-10-17 11:51:00,2020-09-30,2020-07-01,False,xbrl_new,1092487,5314888000.0,5369445000.0,5167766000.0,201679000.0,160753000.0,1.54,1.54,1047980000.0,
TINPLATE,2021-01-21 12:07:00,2020-12-31,2020-10-01,False,xbrl_new,1099971,6151376000.0,6219085000.0,5778558000.0,440527000.0,328207000.0,3.14,3.14,1047980000.0,
TINPLATE,2021-04-16 10:37:00,2021-03-31,2021-01-01,False,xbrl_new,1106364,7549799000.0,7628637000.0,6883803000.0,744834000.0,561559000.0,5.37,5.37,1047980000.0,
TINPLATE,2021-07-15 13:07:00,2021-06-30,2021-04-01,False,xbrl_new,1113649,8662936000.0,8743990000.0,7823604000.0,920386000.0,686189000.0,6.56,6.56,1047980000.0,
TINPLATE,2021-11-16 10:39:00,2021-09-30,2021-07-01,False,xbrl_new,1123865,9768273000.0,9869301000.0,8869354000.0,999947000.0,749338000.0,7.16,7.16,1047980000.0,
TINPLATE,2022-01-14 18:21:00,2021-12-31,2021-10-01,False,xbrl_new,1124200,11795085000.0,11898544000.0,10628355000.0,1270189000.0,949428000.0,9.07,9.07,1047980000.0,
