symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
TIRUMALCHM,2007-02-13 20:33:00,2006-12-31,2006-10-01,False,html_old,44037,11023.0,11108.0,10868.0,-245.0,-136.0,-1.33,0.0,1024.0,0.0
TIRUMALCHM,2007-05-22 19:25:00,2007-03-31,2007-01-01,False,html_old,45508,14999.0,15183.0,13439.0,1090.0,644.0,6.29,0.0,1024.0,0.0
TIRUMALCHM,2007-07-16 16:48:00,2007-06-30,2007-04-01,False,html_old,46741,18033.0,18105.0,15565.0,1938.0,1143.0,11.16,11.16,1024.0,0.0
TIRUMALCHM,2007-10-29 23:00:00,2007-09-30,2007-07-01,False,html_old,49948,14969.0,15332.0,13482.0,1452.0,851.0,8.31,8.31,1024.0,
TIRUMALCHM,2008-01-22 20:08:00,2007-12-31,2007-10-01,False,html_old,51461,14129.0,13980.0,12626.0,1104.0,611.0,5.96,5.96,1024.0,
TIRUMALCHM,2008-07-21 17:20:00,2008-06-30,2008-04-01,False,html_old,55951,17715.0,17871.0,16351.0,1198.0,782.0,7.65,7.65,1024.0,
TIRUMALCHM,2008-10-23 19:28:00,2008-09-30,2008-07-01,False,html_old,58502,13738.0,,14510.0,-895.0,-559.0,-5.46,-5.46,1024.0,
TIRUMALCHM,2009-01-29 14:58:00,2008-12-31,2008-10-01,False,html_old,61514,5956.0,,9602.0,-8559.0,-5911.0,-57.73,-57.73,1024.0,
TIRUMALCHM,2009-05-02 11:24:00,2009-03-31,2009-01-01,False,html_old,63350,9419.0,,7822.0,1292.0,1127.0,11.0,11.0,1024.0,
TIRUMALCHM,2009-07-28 13:44:00,2009-06-30,2009-04-01,False,html_old,66222,11405.0,,10628.0,446.0,288.0,2.82,2.82,1024.0,
TIRUMALCHM,2009-10-21 17:49:00,2009-09-30,2009-07-01,False,html_old,67858,16314.0,,15219.0,877.0,676.0,6.6,6.6,1024.0,
TIRUMALCHM,2010-01-21 17:53:00,2009-12-31,2009-10-01,False,html_old,71031,16125.0,,15136.0,648.0,428.0,4.18,4.18,1024.0,
TIRUMALCHM,2010-05-22 15:58:00,2010-03-31,2010-01-01,False,html_old,74271,18545.0,,16345.0,1832.0,1194.0,11.66,11.66,1024.0,
TIRUMALCHM,2010-08-09 20:35:00,2010-06-30,2010-04-01,False,html_old,76964,19398.0,,18765.0,690.0,440.0,4.3,4.3,1024.0,
TIRUMALCHM,2010-11-02 13:56:00,2010-09-30,2010-07-01,False,html_old,79739,20672.0,,19783.0,758.0,543.0,5.3,5.3,1024.0,
TIRUMALCHM,2011-02-07 18:01:00,2010-12-31,2010-10-01,False,html_old,82482,16897.0,,15951.0,615.0,412.0,4.02,4.02,1024.0,
TIRUMALCHM,2011-06-03 18:07:00,2011-03-31,2011-01-01,False,html_old,85950,19740.0,,19048.0,573.0,460.0,4.49,4.49,1024.0,
TIRUMALCHM,2011-08-02 17:49:00,2011-06-30,2011-04-01,False,html_old,87535,14281.0,,13751.0,212.0,155.0,1.51,1.51,1024.0,
TIRUMALCHM,2011-11-03 15:38:00,2011-09-30,2011-07-01,False,html_old,89868,20431.0,,20117.0,84.0,75.0,0.73,0.73,1024.0,
TIRUMALCHM,2012-02-10 20:01:00,2011-12-31,2011-10-01,False,html_old,92483,25239.0,,24687.0,176.0,170.0,1.66,1.66,1024.0,
TIRUMALCHM,2012-05-29 12:00:00,2012-03-31,2012-01-01,False,html_old,95385,30013.0,,28826.0,109.0,79.0,0.77,0.77,1024.0,
TIRUMALCHM,2012-07-19 15:32:00,2012-06-30,2012-04-01,False,html_old,97314,29751.0,,26030.0,2476.0,1679.0,,,1024.0,
TIRUMALCHM,2012-10-25 10:28:00,2012-09-30,2012-07-01,False,html_old,99960,29512.0,,27454.0,1125.0,841.0,,,1024.0,
TIRUMALCHM,2013-01-29 17:21:00,2012-12-31,2012-10-01,False,html_old,102307,26222.0,,24579.0,732.0,463.0,,,1024.0,
TIRUMALCHM,2013-06-04 18:01:00,2013-03-31,2013-01-01,False,html_old,106352,28312.0,,27663.0,89.0,-209.0,,,1024.0,0.0
TIRUMALCHM,2013-08-19 12:41:00,2013-06-30,2013-04-01,True,html_old,110909,31038.0,,30393.0,-453.0,-198.0,,,1024.0,19770.0
TIRUMALCHM,2013-08-19 12:41:00,2013-06-30,2013-04-01,False,html_old,110908,25460.0,,25689.0,-1230.0,-802.0,,,1024.0,12334.0
TIRUMALCHM,2013-11-18 16:05:00,2013-09-30,2013-07-01,False,html_old,112579,31415.0,,29038.0,1998.0,1385.0,,,1024.0,12770.0
TIRUMALCHM,2013-11-25 12:33:00,2013-09-30,2013-07-01,True,html_old,113445,37566.0,,34390.0,2438.0,1573.0,,,1024.0,0.0
TIRUMALCHM,2014-02-12 18:09:00,2013-12-31,2013-10-01,False,html_old,115118,22575.0,,21369.0,631.0,370.0,,,1024.0,12770.0
TIRUMALCHM,2014-02-28 12:41:00,2013-12-31,2013-10-01,True,html_old,116154,28603.0,,27202.0,789.0,564.0,,,1024.0,0.0
TIRUMALCHM,2014-05-13 16:13:00,2014-03-31,2014-01-01,False,html_old,117191,23327.0,,24119.0,-1055.0,-597.0,,,1024.0,13214.0
TIRUMALCHM,2014-08-12 15:17:00,2014-06-30,2014-04-01,False,html_old,121463,25485.0,,25056.0,-284.0,-186.0,,,1024.0,13214.0
TIRUMALCHM,2014-08-20 20:13:00,2014-06-30,2014-04-01,True,html_old,122399,30573.0,,30048.0,-225.0,-72.0,,,1024.0,13214.0
TIRUMALCHM,2014-11-07 12:01:00,2014-09-30,2014-07-01,False,html_old,123401,24912.0,,23361.0,1408.0,951.0,,,1024.0,0.0
TIRUMALCHM,2015-02-04 17:09:00,2014-12-31,2014-10-01,False,html_old,125629,21867.0,,22637.0,-853.0,-568.0,,,1024.0,0.0
TIRUMALCHM,2015-02-04 17:09:00,2014-12-31,2014-10-01,True,html_old,125628,25714.0,,27052.0,-1739.0,-1463.0,,,1024.0,0.0
TIRUMALCHM,2015-05-11 19:13:00,2015-03-31,2015-01-01,False,html_old,127789,19747.0,,17850.0,1684.0,1225.0,,,1024.0,0.0
TIRUMALCHM,2015-05-11 19:13:00,2015-03-31,2015-01-01,True,html_old,127787,22261.0,,21677.0,413.0,-267.0,,,1024.0,0.0
TIRUMALCHM,2015-08-05 16:34:00,2015-06-30,2015-04-01,True,html_old,1000698,26451.0,,23153.0,2988.0,1908.0,,,1024.0,0.0
TIRUMALCHM,2015-08-05 16:34:00,2015-06-30,2015-04-01,False,html_old,1000697,22541.0,,19643.0,2734.0,1796.0,,,1024.0,0.0
TIRUMALCHM,2015-11-04 19:51:00,2015-09-30,2015-07-01,True,html_old,1002519,22804.0,,23953.0,-1276.0,-1492.0,,,1024.0,0.0
TIRUMALCHM,2015-11-04 19:51:00,2015-09-30,2015-07-01,False,html_old,1002518,19305.0,,18071.0,1239.0,854.0,,,1024.0,0.0
TIRUMALCHM,2016-02-14 17:18:00,2015-12-31,2015-10-01,False,html_old,1005612,16297.0,,15904.0,357.0,217.0,,,1024.0,
TIRUMALCHM,2016-02-14 17:19:00,2015-12-31,2015-10-01,True,html_old,1004637,20329.0,,19640.0,516.0,447.0,,,1024.0,
TIRUMALCHM,2016-05-16 12:07:00,2016-03-31,2016-01-01,False,html_old,1007175,19211.0,,17093.0,2072.0,1407.0,,,1024.0,
TIRUMALCHM,2016-05-16 12:07:00,2016-03-31,2016-01-01,True,html_old,1007177,24140.0,,20640.0,3257.0,2354.0,,,1024.0,
TIRUMALCHM,2016-10-10 17:25:00,2016-06-30,2016-04-01,True,html_old,1011165,21777.0,,18625.0,2930.0,2024.0,,,1024.0,
TIRUMALCHM,2016-10-10 17:25:00,2016-06-30,2016-04-01,False,html_old,1011164,16666.0,,14211.0,2351.0,1548.0,,,1024.0,
TIRUMALCHM,2016-10-25 21:28:00,2016-09-30,2016-07-01,True,html_old,1014649,25106.0,,22640.0,2512.0,1639.0,,,1024.0,
TIRUMALCHM,2016-10-25 21:28:00,2016-09-30,2016-07-01,False,html_old,1014648,21370.0,,18957.0,2697.0,1789.0,,,1024.0,
TIRUMALCHM,2017-01-30 14:42:00,2016-12-31,2016-10-01,False,html_old,1018168,21467.0,,18648.0,2926.0,1803.0,,,1024.0,
TIRUMALCHM,2017-01-30 14:45:00,2016-12-31,2016-10-01,True,html_old,1018169,24637.0,,21851.0,2700.0,1559.0,,,1024.0,
TIRUMALCHM,2017-06-17 17:25:00,2017-03-31,2017-01-01,True,html_old,1022962,33618.0,,31016.0,2781.0,1835.0,,,1024.0,
TIRUMALCHM,2017-07-03 15:06:00,2017-03-31,2017-01-01,False,html_old,1027650,25953.0,,22733.0,3330.0,2406.0,,,1024.0,
TIRUMALCHM,2017-08-02 19:50:00,2016-06-30,2016-04-01,False,html_old,1027912,18548.0,18876.0,16429.0,2447.0,1611.0,15.73,15.73,1023.88,
TIRUMALCHM,2017-08-02 19:50:00,2017-06-30,2017-04-01,False,html_old,1027910,28449.0,28692.0,24002.0,4690.0,2981.0,29.12,29.12,1023.88,
TIRUMALCHM,2017-08-02 19:52:00,2016-06-30,2016-04-01,True,html_old,1027915,23661.0,23820.0,20887.0,2933.0,2024.0,19.77,19.77,1023.88,
TIRUMALCHM,2017-08-02 19:52:00,2017-06-30,2017-04-01,True,html_old,1027913,34887.0,35029.0,29895.0,5134.0,3321.0,32.43,32.43,1023.88,
TIRUMALCHM,2017-11-21 18:36:00,2017-09-30,2017-07-01,True,html_old,1032811,31236.0,31440.0,24435.0,7005.0,4631.0,45.23,45.23,1024.0,
TIRUMALCHM,2017-11-21 18:36:00,2016-09-30,2016-07-01,True,html_old,1032812,27723.0,27811.0,25300.0,2511.0,1641.0,16.03,16.03,1024.0,
TIRUMALCHM,2017-11-21 18:36:00,2017-09-30,2017-07-01,False,html_old,1032809,25946.0,26303.0,20158.0,6145.0,4168.0,40.71,40.71,1024.0,
TIRUMALCHM,2017-11-21 18:36:00,2016-09-30,2016-07-01,False,html_old,1032810,23980.0,24129.0,21473.0,2656.0,1747.0,17.06,17.06,1024.0,
TIRUMALCHM,2018-02-02 17:21:00,2017-12-31,2017-10-01,False,html_old,1035229,25484.0,25801.0,19386.0,6415.0,4324.0,42.24,42.24,1024.0,
TIRUMALCHM,2018-02-02 17:22:00,2016-12-31,2016-10-01,True,html_old,1035232,27011.0,27095.0,24391.0,2704.0,1509.0,14.74,14.74,1024.0,
TIRUMALCHM,2018-02-02 17:22:00,2017-12-31,2017-10-01,True,html_old,1035231,34562.0,34755.0,27669.0,7086.0,5146.0,50.26,50.26,1024.0,
