symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
TITAGARH,2008-07-28 18:24:00,2008-06-30,2008-04-01,False,html_old,56409,,,,,,,,,
TITAGARH,2008-10-29 10:27:00,2008-09-30,2008-07-01,False,html_old,59421,,,,,,,,,
TITAGARH,2009-01-31 22:07:00,2008-12-31,2008-10-01,False,html_old,62253,,,,,,,,,
TITAGARH,2009-07-28 09:27:00,2009-06-30,2009-04-01,False,html_old,66186,,,,,,,,,
TITAGARH,2009-10-23 18:01:00,2009-09-30,2009-07-01,False,html_old,68080,,,,,,,,,
TITAGARH,2010-01-27 19:19:00,2009-12-31,2009-10-01,False,html_old,71424,,,,,,,,,
TITAGARH,2010-05-18 09:38:00,2010-03-31,2010-01-01,False,html_old,74099,,,,,,,,,
TITAGARH,2010-07-29 20:43:00,2010-06-30,2010-04-01,False,html_old,76382,,,,,,,,,
TITAGARH,2010-11-13 16:40:00,2010-09-30,2010-07-01,False,html_old,80822,,,,,,,,,
TITAGARH,2011-02-05 13:30:00,2010-12-31,2010-10-01,False,html_old,82405,,,,,,,,,
TITAGARH,2011-05-13 10:02:00,2011-03-31,2011-01-01,False,html_old,84508,,,,,,,,,
TITAGARH,2011-08-02 19:47:00,2011-06-30,2011-04-01,False,html_old,87558,,,,,,,,,
TITAGARH,2011-11-11 09:26:00,2011-09-30,2011-07-01,False,html_old,90276,,,,,,,,,
TITAGARH,2012-02-11 17:54:00,2011-12-31,2011-10-01,False,html_old,92511,,,,,,,,,
TITAGARH,2012-05-09 21:14:00,2012-03-31,2012-01-01,False,html_old,93549,,,,,,,,,
TITAGARH,2012-08-01 11:16:00,2012-06-30,2012-04-01,False,html_old,97864,,,,,,,,,
TITAGARH,2012-11-19 16:32:00,2012-09-30,2012-07-01,False,html_old,101702,,,,,,,,,
TITAGARH,2013-02-02 15:34:00,2012-12-31,2012-10-01,False,html_old,102534,,,,,,,,,
TITAGARH,2013-05-22 11:13:00,2013-03-31,2013-01-01,False,html_old,105247,,,,,,,,,
TITAGARH,2013-08-26 14:53:00,2013-06-30,2013-04-01,False,html_old,111315,,,,,,,,,
TITAGARH,2013-11-22 12:01:00,2013-09-30,2013-07-01,False,html_old,113083,,,,,,,,,
TITAGARH,2014-01-31 13:29:00,2013-12-31,2013-10-01,False,html_old,114328,,,,,,,,,
TITAGARH,2014-06-07 13:29:00,2014-03-31,2014-01-01,False,html_old,119817,,,,,,,,,
TITAGARH,2014-08-12 19:41:00,2014-06-30,2014-04-01,False,html_old,121556,,,,,,,,,
TITAGARH,2014-11-14 15:13:00,2014-09-30,2014-07-01,False,html_old,123768,,,,,,,,,
TITAGARH,2015-02-04 12:17:00,2014-12-31,2014-10-01,False,html_old,125607,,,,,,,,,
TITAGARH,2015-04-21 19:05:00,2015-03-31,2015-01-01,False,html_old,127147,,,,,,,,,
TITAGARH,2015-08-16 17:15:00,2015-06-30,2015-04-01,True,html_old,1001949,,,,,,,,,
TITAGARH,2015-08-16 17:15:00,2015-06-30,2015-04-01,False,html_old,1001948,,,,,,,,,
TITAGARH,2015-11-16 15:41:00,2015-09-30,2015-07-01,False,html_old,1004057,,,,,,,,,
TITAGARH,2015-11-16 15:41:00,2015-09-30,2015-07-01,True,html_old,1004056,,,,,,,,,
TITAGARH,2016-03-15 16:00:00,2015-12-31,2015-10-01,True,html_old,1006173,,,,,,,,,
TITAGARH,2016-03-15 16:00:00,2015-12-31,2015-10-01,False,html_old,1006172,,,,,,,,,
TITAGARH,2016-05-28 17:01:00,2016-03-31,2016-01-01,True,html_old,1009058,,,,,,,,,
TITAGARH,2016-05-28 17:01:00,2016-03-31,2016-01-01,False,html_old,1009056,,,,,,,,,
TITAGARH,2016-09-21 15:48:00,2015-06-30,2015-04-01,False,html_old,1012967,,,,,,,,,
TITAGARH,2016-09-21 15:48:00,2016-06-30,2016-04-01,False,html_old,1012966,,,,,,,,,
TITAGARH,2016-12-16 14:05:00,2016-09-30,2016-07-01,False,html_old,1017591,,,,,,,,,
TITAGARH,2016-12-16 14:07:00,2015-09-30,2015-07-01,False,html_old,1017592,,,,,,,,,
TITAGARH,2016-12-16 14:15:00,2016-09-30,2016-07-01,True,html_old,1017593,,,,,,,,,
TITAGARH,2016-12-16 14:20:00,2015-09-30,2015-07-01,True,html_old,1017595,,,,,,,,,
TITAGARH,2017-02-08 17:20:00,2015-12-31,2015-10-01,True,html_old,1018777,,,,,,,,,
TITAGARH,2017-02-08 17:20:00,2016-12-31,2016-10-01,True,html_old,1018776,,,,,,,,,
TITAGARH,2017-02-08 17:20:00,2015-12-31,2015-10-01,False,html_old,1018775,,,,,,,,,
TITAGARH,2017-02-08 17:20:00,2016-12-31,2016-10-01,False,html_old,1018774,,,,,,,,,
TITAGARH,2017-06-19 18:49:00,2017-03-31,2017-01-01,False,html_old,1022901,,,,,,,,,
TITAGARH,2017-06-19 18:51:00,2017-03-31,2017-01-01,True,html_old,1022905,,,,,,,,,
TITAGARH,2017-09-01 21:29:00,2016-06-30,2016-04-01,True,html_old,1029215,,,,,,,,,
TITAGARH,2017-09-01 21:29:00,2017-06-30,2017-04-01,True,html_old,1029214,,,,,,,,,
TITAGARH,2017-09-01 21:29:00,2017-06-30,2017-04-01,False,html_old,1029213,,,,,,,,,
TITAGARH,2017-11-22 21:49:00,2017-09-30,2017-07-01,True,html_old,1032783,,,,,,,,,
TITAGARH,2017-11-22 21:49:00,2017-09-30,2017-07-01,False,html_old,1032782,,,,,,,,,
TITAGARH,2018-02-22 16:38:00,2017-12-31,2017-10-01,False,html_old,1038291,,,,,,,,,
TITAGARH,2018-02-22 16:38:00,2017-12-31,2017-10-01,True,html_old,1038292,,,,,,,,,
TITAGARH,2018-04-23 09:53:00,2016-03-31,2016-01-01,True,xbrl_new,1022906,,,,,,,,,
TITAGARH,2018-04-23 09:53:00,2016-03-31,2016-01-01,False,xbrl_new,1022902,,,,,,,,,
TITAGARH,2018-06-25 19:15:00,2018-03-31,2018-01-01,True,xbrl_new,1044238,3014147000.0,3149662000.0,4338222000.0,-1240273000.0,-1003197000.0,-16.86,-16.86,231001000.0,
TITAGARH,2018-06-25 19:15:00,2018-03-31,2018-01-01,False,xbrl_new,1044236,671985000.0,742425000.0,868524000.0,-126099000.0,-53299000.0,0.92,0.92,231001000.0,
TITAGARH,2018-08-28 17:58:00,2018-06-30,2018-04-01,False,xbrl_new,1048568,1318090000.0,1361367000.0,1330106000.0,31261000.0,21773000.0,0.19,0.19,231033000.0,
TITAGARH,2018-11-21 16:37:00,2018-09-30,2018-07-01,False,xbrl_new,1052260,1838002000.0,1881306000.0,1810914000.0,70392000.0,52094000.0,0.45,0.45,231055000.0,
TITAGARH,2019-02-11 19:45:00,2018-12-31,2018-10-01,False,xbrl_new,1055950,2162996000.0,2199607000.0,2118710000.0,80897000.0,58980000.0,1.02,1.02,231056000.0,
TITAGARH,2019-08-15 13:11:00,2019-06-30,2019-04-01,True,xbrl_new,1067822,4837559000.0,4970277000.0,4836306000.0,132916000.0,-416718000.0,0.0,0.0,231212000.0,
TITAGARH,2019-09-11 14:55:00,2019-03-31,2019-01-01,False,xbrl_new,1068206,3286838000.0,3320308000.0,3130046000.0,190262000.0,136754000.0,1.18,1.18,231212000.0,
