symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
TODAYS,2007-08-06 17:36:00,2007-06-30,2007-04-01,False,html_old,48115,3223.48,3230.03,2703.43,338.13,285.53,2.23,2.23,1281.33,0.0
TODAYS,2007-11-05 10:01:00,2007-09-30,2007-07-01,False,html_old,50950,4929.54,4937.75,4231.49,581.91,436.91,3.41,3.41,1281.33,
TODAYS,2008-01-29 10:12:00,2007-12-31,2007-10-01,False,html_old,51856,6296.03,6303.92,5596.13,501.15,367.15,2.87,2.87,1281.33,
TODAYS,2008-05-05 09:38:00,2008-03-31,2008-01-01,False,html_old,53817,7175.11,7354.31,6512.86,431.12,288.12,2.25,2.25,1281.33,
TODAYS,2008-07-30 22:08:00,2008-06-30,2008-04-01,False,html_old,56944,4698.32,4732.16,4231.97,293.65,232.65,1.82,1.82,1281.33,
TODAYS,2008-10-25 22:53:00,2008-09-30,2008-07-01,False,html_old,59045,6836.72,,6169.0,397.61,287.21,2.24,2.24,1281.33,
TODAYS,2009-01-31 12:53:00,2008-12-31,2008-10-01,False,html_old,61897,6402.32,,5792.66,175.79,121.79,0.95,0.95,1281.33,
TODAYS,2009-07-30 20:46:00,2009-06-30,2009-04-01,False,html_old,66807,1778.88,,1907.6,-467.67,-467.67,-3.65,-3.65,1281.33,
TODAYS,2009-10-29 16:22:00,2009-09-30,2009-07-01,False,html_old,69090,1584.47,,1702.0,-764.04,-764.04,-5.96,-5.96,1281.33,
TODAYS,2010-01-29 19:17:00,2009-12-31,2009-10-01,False,html_old,71915,1628.53,,1734.32,-477.26,-477.26,-3.72,-3.72,1281.33,
TODAYS,2010-05-15 14:27:00,2010-03-31,2010-01-01,False,html_old,73949,1173.27,,1296.29,-2117.44,-2117.44,-16.53,-16.53,1281.33,
TODAYS,2010-08-13 19:42:00,2010-06-30,2010-04-01,False,html_old,77398,1536.03,,1641.03,-162.69,-162.69,-1.27,-1.27,1281.33,
TODAYS,2010-11-13 17:15:00,2010-09-30,2010-07-01,False,html_old,80666,1741.78,,1839.02,-193.65,-193.65,-1.51,-1.51,1281.33,
TODAYS,2011-03-09 19:53:00,2010-12-31,2010-10-01,False,html_old,82948,1731.35,,1848.3,-241.68,-241.68,-1.89,-1.89,1281.33,
TODAYS,2011-08-12 14:49:00,2011-06-30,2011-04-01,False,html_old,88121,1654.94,,1722.46,-316.7,-316.7,-2.47,-2.47,1281.33,
TODAYS,2011-11-15 16:29:00,2011-09-30,2011-07-01,False,html_old,90634,1556.53,,4202.73,-6808.21,-6808.21,-53.13,-53.13,1281.33,
TODAYS,2012-02-13 15:59:00,2011-12-31,2011-10-01,False,html_old,92564,1455.3,,3726.25,-2853.03,-2853.03,-22.27,-22.27,1281.33,
TODAYS,2012-05-18 13:11:00,2012-03-31,2012-01-01,False,html_old,94373,1174.96,,2714.88,-2407.62,-825.36,-6.44,-6.44,1281.33,
TODAYS,2012-08-22 09:36:00,2012-06-30,2012-04-01,False,html_old,98802,1420.56,,1604.58,-440.56,-440.56,,,1281.33,
TODAYS,2012-11-13 17:51:00,2012-09-30,2012-07-01,False,html_old,101417,1262.35,,1265.21,-197.52,-197.52,,,1281.33,
TODAYS,2013-02-11 15:51:00,2012-12-31,2012-10-01,False,html_old,102909,1251.12,,1423.53,-356.82,-356.82,,,1281.33,
TODAYS,2013-06-28 20:33:00,2013-03-31,2013-01-01,False,html_old,108780,982.98,,1302.15,-570.78,-425.51,,,1281.33,0.0
TODAYS,2013-08-17 13:13:00,2013-06-30,2013-04-01,False,html_old,110760,1098.46,,1192.62,-329.09,-329.09,,,1281.33,-14537.35
TODAYS,2013-11-19 14:49:00,2013-09-30,2013-07-01,False,html_old,112666,1397.32,,1434.95,-256.94,-256.94,,,1281.33,-14537.35
TODAYS,2014-02-20 12:33:00,2013-12-31,2013-10-01,False,html_old,115765,1246.51,,1317.67,-283.22,-283.22,,,1281.33,0.0
