symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
UJJIVAN,2016-06-06 10:44:00,2016-03-31,2016-01-01,False,html_old,1010687,29404.78,,9571.92,8430.62,5491.26,,,10118.6,
UJJIVAN,2016-08-06 18:07:00,2016-06-30,2016-04-01,False,html_old,1011206,32168.21,,10080.59,10810.83,7136.66,,,11824.13,
UJJIVAN,2016-08-06 18:08:00,2015-06-30,2015-04-01,False,html_old,1011207,20784.72,,6974.7,5290.84,3524.08,,,8613.3,
UJJIVAN,2016-11-09 18:36:00,2016-09-30,2016-07-01,False,html_old,1015683,35097.86,,11567.62,11267.68,7304.44,,,11848.55,
UJJIVAN,2016-11-09 18:36:00,2016-09-30,2016-07-01,True,html_old,1015682,35097.86,,11692.96,11262.94,7301.35,,,11848.55,
UJJIVAN,2017-01-19 18:18:00,2016-12-31,2016-10-01,True,html_old,1017774,36217.84,,17173.33,6639.4,4394.04,,,11884.41,
UJJIVAN,2017-01-19 18:20:00,2016-12-31,2016-10-01,False,html_old,1017775,36217.84,,17166.82,6467.53,4281.34,,,11884.41,
UJJIVAN,2017-06-17 15:28:00,2017-03-31,2017-01-01,False,html_old,1021198,0.0,,38.83,573.0,2041.17,,,11937.71,
UJJIVAN,2017-06-17 15:28:00,2017-03-31,2017-01-01,True,html_old,1021196,0.0,,30539.08,3460.69,1935.06,,,11937.71,
UJJIVAN,2017-08-21 10:49:00,2017-06-30,2017-04-01,False,html_old,1028447,0.0,,99.49,93.27,66.13,,,11964.36,
UJJIVAN,2017-08-21 10:49:00,2017-06-30,2017-04-01,True,html_old,1028446,32340.43,,47329.63,-11466.0,-7494.22,,,11964.36,
UJJIVAN,2017-11-03 19:50:00,2017-09-30,2017-07-01,False,html_old,1032281,0.0,,105.58,95.92,59.46,,,11974.35,
UJJIVAN,2017-11-03 19:50:00,2017-09-30,2017-07-01,True,html_old,1032280,33927.18,,39604.42,-1801.8,-1195.05,,,11974.35,
UJJIVAN,2018-02-09 11:43:00,2017-12-31,2017-10-01,True,html_old,1036137,35805.63,,33747.22,4665.61,2931.65,,,12060.83,
UJJIVAN,2018-02-09 11:44:00,2017-12-31,2017-10-01,False,html_old,1036138,0.0,,69.45,111.8,-54.58,,,12060.83,
UJJIVAN,2018-05-21 12:25:00,2018-03-31,2018-01-01,True,xbrl_new,1039890,4226238000.0,,3630487000.0,978560000.0,,5.37,5.36,1208618000.0,
UJJIVAN,2018-05-21 12:25:00,2018-03-31,2018-01-01,False,xbrl_new,1039888,0.0,,20084000.0,-225000.0,,-0.02,-0.02,1208618000.0,
UJJIVAN,2018-08-24 12:49:00,2018-06-30,2018-04-01,False,xbrl_new,1047830,0.0,19831000.0,26207000.0,-6376000.0,-8600000.0,-0.07,-0.07,1209548000.0,
UJJIVAN,2018-11-22 21:59:00,2018-09-30,2018-07-01,False,xbrl_new,1053217,0.0,19412000.0,10160000.0,9252000.0,3579000.0,0.03,0.03,1210198000.0,
UJJIVAN,2019-01-24 13:47:00,2018-12-31,2018-10-01,False,xbrl_new,1054725,0.0,133004000.0,16090000.0,116914000.0,108692000.0,0.9,0.89,1211219000.0,
UJJIVAN,2019-09-03 10:36:00,2019-03-31,2019-01-01,False,xbrl_new,1064406,,,,,,,,,
UJJIVAN,2019-09-04 16:06:00,2019-06-30,2019-04-01,False,xbrl_new,1065798,,,,,,,,,
UJJIVAN,2019-09-04 16:06:00,2019-06-30,2019-04-01,True,xbrl_new,1065801,,,,,,,,,
UJJIVAN,2019-10-21 18:32:00,2019-09-30,2019-07-01,True,xbrl_new,1068947,6913548000.0,7100363000.0,6171472000.0,928891000.0,632306000.0,5.21,5.2,1214706000.0,
UJJIVAN,2019-10-21 18:32:00,2019-09-30,2019-07-01,False,xbrl_new,1068944,110000000.0,136304000.0,24557000.0,111747000.0,108126000.0,0.89,0.89,1214706000.0,
UJJIVAN,2020-02-06 15:42:00,2019-12-31,2019-10-01,False,xbrl_new,1075978,0.0,25773000.0,18416000.0,7358000.0,3485000.0,0.03,0.03,1215675000.0,
UJJIVAN,2020-02-06 15:43:00,2019-12-31,2019-10-01,True,xbrl_new,1075980,7465259000.0,7647140000.0,6646908000.0,1000232000.0,749709000.0,5.93,5.92,1215675000.0,
