symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
UNICHEMLAB,2007-05-17 12:46:00,2007-03-31,2007-01-01,False,html_old,45376,13405.02,14037.81,11434.88,2237.17,2003.64,0.0,0.0,1801.65,0.0
UNICHEMLAB,2007-07-19 14:43:00,2007-06-30,2007-04-01,False,html_old,46857,15349.48,15406.46,12211.48,2821.15,2249.69,6.24,6.24,1801.65,0.0
UNICHEMLAB,2007-10-18 15:57:00,2007-09-30,2007-07-01,False,html_old,48655,15015.3,15111.56,12345.28,2715.58,2127.43,5.9,5.9,1801.65,
UNICHEMLAB,2008-01-31 13:41:00,2007-12-31,2007-10-01,False,html_old,52307,13910.66,14019.9,11953.29,2017.47,1510.4,4.19,4.19,1801.65,
UNICHEMLAB,2008-05-12 16:44:00,2008-03-31,2008-01-01,False,html_old,54014,13833.91,14241.26,12335.2,1894.07,1883.89,5.23,5.23,1802.13,
UNICHEMLAB,2008-07-17 13:24:00,2008-06-30,2008-04-01,False,html_old,55838,18154.15,18469.1,14397.79,4042.2,3338.14,9.26,,1802.15,
UNICHEMLAB,2008-10-23 14:23:00,2008-09-30,2008-07-01,False,html_old,58424,17464.81,,13643.97,4266.87,3506.87,9.73,9.73,1802.24,
UNICHEMLAB,2009-01-22 13:58:00,2008-12-31,2008-10-01,False,html_old,61070,14914.48,,12057.46,3253.28,2811.44,7.8,7.8,1802.24,
UNICHEMLAB,2009-05-21 19:10:00,2009-03-31,2009-01-01,False,html_old,63955,14491.42,,12164.36,2846.67,2818.7,7.82,7.81,1802.75,
UNICHEMLAB,2009-07-22 13:11:00,2009-06-30,2009-04-01,False,html_old,65789,16760.97,,12921.15,4076.78,3239.35,8.98,8.96,1803.06,
UNICHEMLAB,2009-10-22 13:59:00,2009-09-30,2009-07-01,False,html_old,67909,17328.09,,13363.38,4240.39,3397.07,9.42,9.38,1803.06,
UNICHEMLAB,2010-01-19 12:52:00,2009-12-31,2009-10-01,False,html_old,70876,17136.13,,13220.83,4154.15,3368.15,9.34,9.29,1803.06,
UNICHEMLAB,2010-05-10 13:21:00,2010-03-31,2010-01-01,False,html_old,73647,17158.35,,13788.61,3926.52,3388.04,9.4,9.4,1803.15,
UNICHEMLAB,2010-07-22 13:37:00,2010-06-30,2010-04-01,False,html_old,75794,18644.63,,14583.15,4336.7,3334.7,9.25,9.19,1805.79,
UNICHEMLAB,2010-10-18 09:41:00,2010-09-30,2010-07-01,False,html_old,77917,20007.56,,15914.32,4472.77,3470.5,9.62,9.56,1804.6,
UNICHEMLAB,2011-01-17 11:57:00,2010-12-31,2010-10-01,False,html_old,81445,19508.63,,16457.85,3364.13,2560.09,2.84,2.82,1804.72,
UNICHEMLAB,2011-05-14 13:04:00,2011-03-31,2011-01-01,False,html_old,84632,17620.66,,16154.87,1856.7,1484.49,1.65,1.64,1804.79,
UNICHEMLAB,2011-07-28 17:35:00,2011-06-30,2011-04-01,False,html_old,87175,18667.85,,16854.27,2155.54,1561.79,1.73,1.72,1805.98,
UNICHEMLAB,2011-10-22 15:36:00,2011-09-30,2011-07-01,False,html_old,89405,19708.98,,17527.69,2602.48,1914.21,2.12,2.11,1806.07,
UNICHEMLAB,2012-01-23 17:13:00,2011-12-31,2011-10-01,False,html_old,91433,21977.65,,19251.88,3179.66,2446.65,2.71,2.7,1806.38,
UNICHEMLAB,2012-05-14 20:09:00,2012-03-31,2012-01-01,False,html_old,94384,19036.48,,16796.71,2587.14,2323.55,2.57,2.56,1806.43,
UNICHEMLAB,2012-08-25 17:02:00,2012-06-30,2012-04-01,False,html_old,99192,26329.95,,22533.44,4552.22,3314.22,,,1806.64,
UNICHEMLAB,2012-10-22 15:43:00,2012-09-30,2012-07-01,False,html_old,99909,26116.57,,21952.64,4624.29,3507.29,,,1808.96,
UNICHEMLAB,2013-01-18 14:52:00,2012-12-31,2012-10-01,False,html_old,102067,23116.33,,20076.71,3591.7,3034.7,,,1808.96,
UNICHEMLAB,2013-05-21 15:09:00,2013-03-31,2013-01-01,False,html_old,105161,24123.1,,21150.07,3476.42,3103.39,,,1809.13,0.0
