symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
UNITDSPR,2007-04-30 13:18:00,2007-03-31,2007-01-01,False,html_old,44814,,,,,,,,,
UNITDSPR,2007-07-27 21:29:00,2007-06-30,2007-04-01,False,html_old,47380,,,,,,,,,
UNITDSPR,2007-10-31 18:33:00,2007-09-30,2007-07-01,False,html_old,50621,,,,,,,,,
UNITDSPR,2008-01-22 20:08:00,2007-12-31,2007-10-01,False,html_old,51474,,,,,,,,,
UNITDSPR,2008-04-21 19:01:00,2008-03-31,2008-01-01,False,html_old,52984,,,,,,,,,
UNITDSPR,2008-07-22 09:18:00,2008-06-30,2008-04-01,False,html_old,55960,,,,,,,,,
UNITDSPR,2008-10-21 14:20:00,2008-09-30,2008-07-01,False,html_old,58053,,,,,,,,,
UNITDSPR,2009-01-21 16:33:00,2008-12-31,2008-10-01,False,html_old,61022,,,,,,,,,
UNITDSPR,2009-04-28 09:16:00,2009-03-31,2009-01-01,False,html_old,62999,,,,,,,,,
UNITDSPR,2009-07-29 20:27:00,2009-06-30,2009-04-01,False,html_old,66526,,,,,,,,,
UNITDSPR,2009-10-27 08:39:00,2009-09-30,2009-07-01,False,html_old,68390,,,,,,,,,
UNITDSPR,2010-01-21 19:34:00,2009-12-31,2009-10-01,False,html_old,71055,,,,,,,,,
UNITDSPR,2010-04-21 16:32:00,2010-03-31,2010-01-01,False,html_old,72670,,,,,,,,,
UNITDSPR,2010-07-20 18:04:00,2010-06-30,2010-04-01,False,html_old,75717,,,,,,,,,
UNITDSPR,2010-10-28 09:40:00,2010-09-30,2010-07-01,False,html_old,78837,,,,,,,,,
UNITDSPR,2011-02-09 19:19:00,2010-12-31,2010-10-01,False,html_old,82611,,,,,,,,,
UNITDSPR,2011-04-30 12:18:00,2011-03-31,2011-01-01,False,html_old,83908,,,,,,,,,
UNITDSPR,2011-08-04 12:08:00,2011-06-30,2011-04-01,False,html_old,87623,,,,,,,,,
UNITDSPR,2011-11-08 12:08:00,2011-09-30,2011-07-01,False,html_old,90024,,,,,,,,,
UNITDSPR,2012-01-25 20:18:00,2011-12-31,2011-10-01,False,html_old,91431,,,,,,,,,
UNITDSPR,2012-06-04 20:18:00,2012-03-31,2012-01-01,False,html_old,96375,,,,,,,,,
UNITDSPR,2012-07-30 11:05:00,2012-06-30,2012-04-01,False,html_old,97701,,,,,,,,,
UNITDSPR,2012-11-09 19:42:00,2012-09-30,2012-07-01,False,html_old,101160,,,,,,,,,
UNITDSPR,2013-02-05 20:47:00,2012-12-31,2012-10-01,False,html_old,102649,,,,,,,,,
UNITDSPR,2013-05-23 15:57:00,2013-03-31,2013-01-01,False,html_old,105490,,,,,,,,,
UNITDSPR,2013-08-05 12:33:00,2013-06-30,2013-04-01,False,html_old,109678,,,,,,,,,
UNITDSPR,2013-11-22 11:49:00,2013-09-30,2013-07-01,False,html_old,113060,,,,,,,,,
