symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
USHAMART,2007-05-18 12:21:00,2007-03-31,2007-01-01,False,html_old,45405,40186.0,40374.0,32441.0,4259.0,2902.0,6.13,6.09,2400.0,0.0
USHAMART,2007-05-18 12:21:00,2007-03-31,2007-01-01,True,html_old,45406,49871.0,50369.0,40263.0,5411.0,3930.0,8.31,8.25,2400.0,0.0
USHAMART,2007-07-25 13:24:00,2007-06-30,2007-04-01,True,html_old,47106,50376.0,50877.0,40838.0,5528.0,3768.0,7.55,7.55,2509.0,0.0
USHAMART,2007-07-25 13:38:00,2007-06-30,2007-04-01,False,html_old,47109,37098.0,37694.0,29343.0,4752.0,3222.0,6.45,6.45,2509.0,0.0
USHAMART,2007-11-06 18:00:00,2007-09-30,2007-07-01,True,html_old,51005,57730.0,57902.0,49223.0,6228.0,4639.0,1.84,1.84,2509.0,
USHAMART,2007-11-06 18:00:00,2007-09-30,2007-07-01,False,html_old,51003,38920.0,39083.0,32336.0,4823.0,3586.0,1.43,1.43,2509.0,
USHAMART,2008-01-29 11:57:00,2007-12-31,2007-10-01,False,html_old,51897,40265.0,40430.0,34265.0,4202.0,3245.0,1.3,1.3,2509.0,
USHAMART,2008-01-29 12:34:00,2007-12-31,2007-10-01,True,html_old,51898,55521.0,55727.0,47812.0,5477.0,4165.0,1.65,1.65,2509.0,
USHAMART,2008-05-13 19:20:00,2008-03-31,2008-01-01,False,html_old,54050,49307.0,49947.0,41254.0,6295.0,4431.0,1.77,1.76,2509.0,
USHAMART,2008-05-13 19:20:00,2008-03-31,2008-01-01,True,html_old,54048,67250.0,68106.0,57618.0,7529.0,5111.0,2.02,2.01,2509.0,
USHAMART,2008-07-30 13:11:00,2008-06-30,2008-04-01,True,html_old,56780,69869.0,70385.0,56968.0,10083.0,6591.0,2.6,2.57,2509.0,
USHAMART,2008-07-30 13:33:00,2008-06-30,2008-04-01,False,html_old,56786,49040.0,49658.0,38279.0,8523.0,5670.0,2.27,2.24,2509.0,
USHAMART,2008-10-24 19:07:00,2008-09-30,2008-07-01,False,html_old,58742,59385.0,,50677.0,5902.0,4185.0,1.67,1.67,2509.0,
USHAMART,2009-01-29 12:26:00,2008-12-31,2008-10-01,False,html_old,61523,51293.0,,43889.0,3870.0,2674.0,1.07,1.07,2509.0,
USHAMART,2009-05-12 19:56:00,2009-03-31,2009-01-01,False,html_old,63691,53005.0,,47492.0,3109.0,2127.0,0.86,0.86,2509.0,
USHAMART,2009-07-29 13:48:00,2009-06-30,2009-04-01,False,html_old,66394,40513.0,,36271.0,2575.0,1340.0,0.54,0.54,2509.0,
USHAMART,2009-10-28 13:58:00,2009-09-30,2009-07-01,False,html_old,68706,48226.0,,43183.0,3222.0,1465.0,0.58,0.58,2509.0,
USHAMART,2010-01-14 09:57:00,2009-12-31,2009-10-01,False,html_old,70798,43985.0,,36708.0,3916.0,1842.0,0.74,0.74,2509.0,
USHAMART,2010-05-10 13:42:00,2010-03-31,2010-01-01,False,html_old,73650,52315.0,,45669.0,4208.0,4574.0,1.56,1.56,3054.0,
USHAMART,2010-07-27 12:06:00,2010-06-30,2010-04-01,True,html_old,76024,67315.0,,57832.0,6080.0,4259.0,1.37,1.37,3054.0,
USHAMART,2010-07-27 12:06:00,2010-06-30,2010-04-01,False,html_old,76022,55021.0,,47058.0,4381.0,3043.0,1.0,1.0,3054.0,
USHAMART,2010-10-27 13:01:00,2010-09-30,2010-07-01,False,html_old,78675,63965.0,,55420.0,4995.0,3250.0,1.07,1.07,3054.0,
USHAMART,2010-10-27 13:18:00,2010-09-30,2010-07-01,True,html_old,78677,76355.0,,65752.0,6833.0,4676.0,1.51,1.51,3054.0,
USHAMART,2011-01-25 13:07:00,2010-12-31,2010-10-01,False,html_old,81706,61261.0,,56348.0,487.0,357.0,0.12,0.12,3054.0,
USHAMART,2011-01-25 13:11:00,2010-12-31,2010-10-01,True,html_old,81708,74571.0,,68228.0,1836.0,1381.0,0.43,0.43,3054.0,
USHAMART,2011-05-11 16:36:00,2011-03-31,2011-01-01,False,html_old,84398,72423.0,,64619.0,4667.0,3303.0,1.09,1.09,3054.0,
USHAMART,2011-05-27 16:59:00,2011-03-31,2011-01-01,True,html_old,84402,86417.0,,76269.0,5658.0,3687.0,1.19,1.19,3054.0,
USHAMART,2011-07-30 14:22:00,2011-06-30,2011-04-01,True,html_old,87334,76338.0,,67664.0,3657.0,2654.0,0.84,0.84,3054.0,
USHAMART,2011-07-30 14:22:00,2011-06-30,2011-04-01,False,html_old,87331,60848.0,,54532.0,1143.0,764.0,0.25,0.25,3054.0,
USHAMART,2011-10-31 16:41:00,2011-09-30,2011-07-01,True,html_old,89684,82839.0,,73733.0,-8787.0,-6191.0,-2.06,-2.06,3054.0,
USHAMART,2011-10-31 16:41:00,2011-09-30,2011-07-01,False,html_old,89683,68631.0,,61419.0,-10332.0,-7180.0,-2.36,-2.36,3054.0,
USHAMART,2012-02-02 19:01:00,2011-12-31,2011-10-01,False,html_old,91834,71393.0,,69595.0,4356.0,3063.0,1.01,1.01,3054.0,
USHAMART,2012-02-02 19:01:00,2011-12-31,2011-10-01,True,html_old,91833,81748.0,,80089.0,3923.0,2643.0,0.84,0.84,3054.0,
USHAMART,2012-05-14 20:09:00,2012-03-31,2012-01-01,True,html_old,94277,95441.0,,93798.0,2347.0,1556.0,0.49,0.49,3054.0,
USHAMART,2012-05-14 20:09:00,2012-03-31,2012-01-01,False,html_old,94269,83101.0,,81616.0,452.0,76.0,0.02,0.02,3054.0,
USHAMART,2012-08-02 14:46:00,2012-06-30,2012-04-01,False,html_old,97927,72848.0,,69253.0,-1714.0,-1086.0,,,3054.0,
USHAMART,2012-08-10 09:36:00,2012-06-30,2012-04-01,True,html_old,97928,84609.0,,80974.0,323.0,444.0,,,3054.0,
USHAMART,2012-11-06 20:15:00,2012-09-30,2012-07-01,True,html_old,100745,93898.0,,82864.0,3240.0,2336.0,,,3054.0,
