symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
UTTAMSTL,2007-04-23 14:49:00,2007-03-31,2007-01-01,False,html_old,44356,84035.0,84178.0,76142.0,3191.0,2808.0,3.34,3.34,10529.0,0.0
UTTAMSTL,2007-07-30 14:45:00,2007-06-30,2007-04-01,False,html_old,47596,72198.0,72279.0,65628.0,2572.0,2275.0,2.16,2.16,10529.0,0.0
UTTAMSTL,2007-10-19 15:06:00,2007-09-30,2007-07-01,False,html_old,48701,87059.0,87144.0,81326.0,3459.0,3055.0,2.9,2.9,10529.0,
UTTAMSTL,2008-02-01 19:01:00,2007-12-31,2007-10-01,False,html_old,52587,58269.0,58308.0,52586.0,3307.0,2915.0,2.77,2.77,10529.0,
UTTAMSTL,2008-04-30 15:25:00,2008-03-31,2008-01-01,False,html_old,53646,98058.0,98065.0,91006.0,3094.0,4141.0,3.89,2.95,11397.0,59557.0
UTTAMSTL,2008-07-31 14:50:00,2008-06-30,2008-04-01,False,html_old,57093,80297.0,80329.0,71849.0,3236.0,2659.0,2.33,1.8,11397.0,
UTTAMSTL,2008-10-31 21:45:00,2008-09-30,2008-07-01,False,html_old,60122,136173.0,,129663.0,2411.0,2126.0,1.87,1.62,11397.0,
UTTAMSTL,2009-02-02 10:03:00,2008-12-31,2008-10-01,False,html_old,62063,110250.0,,104937.0,622.0,537.0,0.47,0.41,11397.0,
UTTAMSTL,2009-05-11 08:36:00,2009-03-31,2009-01-01,False,html_old,63625,111391.0,,103495.0,4431.0,4696.0,4.12,3.59,11397.0,
UTTAMSTL,2009-07-23 14:58:00,2009-06-30,2009-04-01,False,html_old,65875,107333.0,,99799.0,4165.0,3457.0,3.03,2.64,11397.0,
UTTAMSTL,2009-10-30 15:11:00,2009-09-30,2009-07-01,False,html_old,69483,110256.0,,102598.0,3775.0,2177.0,1.82,1.59,11985.0,
UTTAMSTL,2010-01-28 14:25:00,2009-12-31,2009-10-01,False,html_old,71515,109168.0,,100938.0,2932.0,1725.0,1.42,1.28,12226.0,
UTTAMSTL,2010-05-29 15:34:00,2010-03-31,2010-01-01,False,html_old,74978,122809.0,,113707.0,4375.0,3427.0,2.8,2.51,12226.0,
UTTAMSTL,2010-07-28 14:55:00,2010-06-30,2010-04-01,False,html_old,76182,106397.0,,97963.0,4259.0,2944.0,2.41,2.15,12226.0,
UTTAMSTL,2010-10-30 16:06:00,2010-09-30,2010-07-01,False,html_old,79456,130402.0,,122536.0,3465.0,2314.0,1.89,1.89,12226.0,
UTTAMSTL,2011-01-29 14:52:00,2010-12-31,2010-10-01,False,html_old,82023,103963.0,,97160.0,1515.0,1011.0,0.83,0.83,12226.0,
UTTAMSTL,2011-05-31 09:36:00,2011-03-31,2011-01-01,False,html_old,85684,162718.0,,153636.0,2112.0,1406.0,1.15,1.15,12226.0,
UTTAMSTL,2011-08-01 16:28:00,2011-06-30,2011-04-01,False,html_old,87469,153321.0,,145561.0,1347.0,910.0,0.74,0.74,12226.0,
UTTAMSTL,2011-10-21 15:40:00,2011-09-30,2011-07-01,False,html_old,89331,129161.0,,121164.0,2639.0,1783.0,1.46,1.46,12226.0,
UTTAMSTL,2012-01-23 19:26:00,2011-12-31,2011-10-01,False,html_old,91435,110531.0,,101840.0,1633.0,1103.0,0.9,0.9,12226.0,
UTTAMSTL,2012-05-12 19:09:00,2012-03-31,2012-01-01,False,html_old,94096,124146.0,,110737.0,8481.0,4000.0,3.27,3.27,12226.0,
UTTAMSTL,2012-08-08 21:00:00,2012-06-30,2012-04-01,False,html_old,98084,205772.0,,195446.0,2296.0,1024.0,0.84,0.84,12226.0,
UTTAMSTL,2012-11-05 18:35:00,2012-09-30,2012-07-01,False,html_old,100595,143906.0,,133773.0,2424.0,1116.0,,,12226.0,
UTTAMSTL,2013-02-09 16:58:00,2012-12-31,2012-10-01,False,html_old,102861,146054.0,,135248.0,2521.0,1195.0,,,12226.0,
UTTAMSTL,2013-05-29 14:49:00,2013-03-31,2013-01-01,False,html_old,106079,95375.0,,86039.0,4291.0,2819.0,,,14226.0,0.0
UTTAMSTL,2013-08-05 13:17:00,2013-06-30,2013-04-01,False,html_old,109702,133676.0,,128022.0,1606.0,632.0,,,14226.0,0.0
