symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
VAKRANGEE,2007-04-20 14:56:00,2007-03-31,2007-01-01,False,html_old,44307,3818.76,3821.79,2072.27,1202.25,1059.69,5.53,4.95,1914.62,0.0
VAKRANGEE,2007-07-19 12:59:00,2007-06-30,2007-04-01,False,html_old,46847,3278.89,3286.93,1880.47,845.22,556.86,2.91,2.6,1914.62,0.0
VAKRANGEE,2007-10-15 12:12:00,2007-09-30,2007-07-01,False,html_old,48474,5625.61,5632.57,3700.1,1932.47,1273.51,6.65,5.95,1914.62,
VAKRANGEE,2008-01-15 12:15:00,2007-12-31,2007-10-01,False,html_old,51231,6020.68,6144.89,4178.46,1966.43,1352.67,7.06,6.32,1914.62,
VAKRANGEE,2008-04-08 12:32:00,2008-03-31,2008-01-01,False,html_old,52839,7460.33,7530.86,4832.58,2698.28,1786.54,8.35,8.35,2139.62,
VAKRANGEE,2008-07-31 18:08:00,2008-06-30,2008-04-01,False,html_old,57177,6124.23,6131.68,4468.37,1663.31,1093.97,5.11,5.11,2139.62,
VAKRANGEE,2008-10-27 19:48:00,2008-09-30,2008-07-01,False,html_old,59344,9126.12,,6213.75,2919.04,1918.39,8.97,8.97,2139.62,
VAKRANGEE,2009-01-31 22:50:00,2008-12-31,2008-10-01,False,html_old,62044,6592.18,,5777.63,645.25,403.31,1.88,1.88,2139.62,
VAKRANGEE,2009-06-29 15:10:00,2009-03-31,2009-01-01,False,html_old,64991,7588.9,,7109.95,-4516.36,-2972.81,-13.89,-13.89,2139.62,
VAKRANGEE,2009-07-31 16:13:00,2009-06-30,2009-04-01,True,html_old,66917,6018.54,,5422.28,466.47,196.59,0.92,0.92,2139.62,
VAKRANGEE,2009-08-12 17:54:00,2009-06-30,2009-04-01,False,html_old,67322,6018.54,,5428.73,466.47,196.59,0.92,0.92,2139.62,
VAKRANGEE,2009-10-26 12:32:00,2009-09-30,2009-07-01,False,html_old,68206,9132.54,,8501.33,522.64,246.91,1.15,1.15,2139.62,
VAKRANGEE,2010-01-29 13:04:00,2009-12-31,2009-10-01,False,html_old,71702,10385.49,,9420.15,827.85,588.77,2.75,2.75,2139.62,
VAKRANGEE,2010-04-26 10:12:00,2010-03-31,2010-01-01,True,html_old,72812,17241.82,,15445.05,1547.43,1265.57,5.91,5.84,2249.62,
VAKRANGEE,2010-04-26 10:33:00,2010-03-31,2010-01-01,False,html_old,72818,15422.6,,13810.74,1433.26,1151.4,5.38,5.32,2249.62,
VAKRANGEE,2010-08-10 13:25:00,2010-06-30,2010-04-01,False,html_old,77001,13653.65,,12531.7,872.81,770.49,3.43,3.06,2249.62,
VAKRANGEE,2010-10-25 14:45:00,2010-09-30,2010-07-01,False,html_old,78411,18528.88,,16721.23,1436.35,1086.74,4.83,4.31,2249.62,
