symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
VARUNSHIP,2007-05-03 13:19:00,2007-03-31,2007-01-01,False,html_old,45021,19133.54,19198.65,7960.54,3284.87,3261.55,2.6,2.41,14275.78,0.0
VARUNSHIP,2007-07-24 12:58:00,2007-06-30,2007-04-01,False,html_old,47021,19350.22,29314.01,8405.64,12732.46,12682.46,8.75,8.71,14955.78,0.0
VARUNSHIP,2007-10-30 21:33:00,2007-09-30,2007-07-01,False,html_old,50248,20142.92,24413.46,14817.94,5808.55,5764.55,3.85,3.84,14977.78,
VARUNSHIP,2008-01-24 12:12:00,2007-12-31,2007-10-01,False,html_old,51555,22994.64,24687.5,13625.12,7437.82,7368.82,4.92,4.92,15000.78,
VARUNSHIP,2008-08-01 12:47:00,2008-06-30,2008-04-01,False,html_old,57302,20549.96,20918.9,15200.23,2189.31,2133.31,1.42,1.42,15000.78,
VARUNSHIP,2008-10-24 12:17:00,2008-09-30,2008-07-01,False,html_old,58632,25685.18,,17850.63,4457.64,4426.64,2.95,2.95,15000.78,
VARUNSHIP,2009-01-27 17:32:00,2008-12-31,2008-10-01,False,html_old,61315,26676.71,,17343.42,5180.65,5111.73,3.41,3.41,15000.78,
VARUNSHIP,2009-07-29 12:59:00,2009-06-30,2009-04-01,False,html_old,66376,17567.17,,16952.69,981.02,184.89,0.12,0.12,15000.78,
VARUNSHIP,2009-10-29 12:53:00,2009-09-30,2009-07-01,False,html_old,68992,20639.62,,14977.26,614.66,1304.66,0.87,0.87,15000.78,
VARUNSHIP,2010-01-29 12:51:00,2009-12-31,2009-10-01,False,html_old,71697,23904.01,,18571.15,-96.18,-138.05,-0.09,-0.09,15000.78,
VARUNSHIP,2010-08-05 13:44:00,2010-06-30,2010-04-01,False,html_old,76807,13220.87,,16666.4,2539.66,2354.86,1.57,1.57,15000.78,
VARUNSHIP,2010-11-09 18:55:00,2010-09-30,2010-07-01,False,html_old,80121,24312.74,,19561.95,160.48,57.55,0.04,0.04,15000.78,
VARUNSHIP,2011-02-11 15:49:00,2010-12-31,2010-10-01,False,html_old,82745,22015.37,,16285.38,1571.55,1181.87,0.79,0.79,15000.78,
VARUNSHIP,2011-08-24 17:04:00,2011-06-30,2011-04-01,False,html_old,88810,13267.82,,13091.28,-3525.29,-3525.29,-2.35,-2.35,15000.78,
VARUNSHIP,2011-11-16 15:59:00,2011-09-30,2011-07-01,False,html_old,90745,7251.12,,10727.65,10040.04,10040.04,6.69,6.69,15000.78,
VARUNSHIP,2012-02-17 11:10:00,2011-12-31,2011-10-01,False,html_old,93065,7895.84,,-2372.94,8249.57,8249.57,5.5,5.5,15000.78,
VARUNSHIP,2012-05-18 11:34:00,2012-03-31,2012-01-01,False,html_old,94781,8035.65,,4375.53,-13910.21,-13846.33,-9.23,-9.23,15000.78,
VARUNSHIP,2013-02-07 19:06:00,2012-12-31,2012-10-01,False,html_old,102779,5630.16,,7041.74,-1398.08,-1398.08,,,15000.78,
VARUNSHIP,2013-05-23 15:45:00,2013-03-31,2013-01-01,False,html_old,105487,4538.23,,6294.82,-4771.96,-4771.96,,,15000.78,0.0
VARUNSHIP,2013-08-19 17:53:00,2013-06-30,2013-04-01,False,html_old,110967,5585.78,,7570.85,205.15,205.15,,,15000.78,0.0
VARUNSHIP,2013-11-21 12:01:00,2013-09-30,2013-07-01,False,html_old,112854,3563.03,,7341.94,-5493.6,-5493.6,,,15000.78,0.0
VARUNSHIP,2014-02-15 16:57:00,2013-12-31,2013-10-01,False,html_old,115224,733.42,,20308.59,-25530.85,-25530.85,,,15000.78,0.0
VARUNSHIP,2015-07-13 17:54:00,2014-12-31,2014-10-01,False,html_old,1000021,3033.37,,7853.81,-10789.34,-10789.34,,,15000.78,0.0
VARUNSHIP,2015-07-13 17:56:00,2015-03-31,2015-01-01,False,html_old,1000022,2931.55,,7449.2,-7950.44,-7950.44,,,15000.78,0.0
