symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
VENKEYS,2007-05-04 18:31:00,2007-03-31,2007-01-01,False,html_old,45049,10889.0,11009.0,9572.0,1106.0,694.0,7.39,7.39,939.0,0.0
VENKEYS,2007-07-26 16:55:00,2007-06-30,2007-04-01,False,html_old,47258,12086.0,12407.0,10689.0,1318.0,906.0,9.64,9.64,939.0,0.0
VENKEYS,2007-11-05 13:26:00,2007-09-30,2007-07-01,False,html_old,50569,12717.0,12798.0,11859.0,716.0,437.0,4.65,4.65,939.0,
VENKEYS,2008-01-30 16:42:00,2007-12-31,2007-10-01,False,html_old,52093,14562.0,14611.0,12836.0,1549.0,1030.0,10.97,10.97,939.0,
VENKEYS,2008-07-31 14:16:00,2008-06-30,2008-04-01,False,html_old,57075,14137.0,14491.0,12942.0,1373.0,968.0,10.31,10.31,939.0,
VENKEYS,2008-10-27 14:51:00,2008-09-30,2008-07-01,False,html_old,59299,12433.0,,12827.0,-496.0,-355.0,-3.79,-3.79,939.0,
VENKEYS,2009-01-30 13:54:00,2008-12-31,2008-10-01,False,html_old,61764,15046.0,,13764.0,1119.0,712.0,7.58,7.58,939.0,
VENKEYS,2009-07-30 16:56:00,2009-06-30,2009-04-01,False,html_old,66685,16961.0,,15454.0,1591.0,1111.0,11.82,11.82,939.0,
VENKEYS,2009-10-30 14:35:00,2009-09-30,2009-07-01,False,html_old,69463,16215.0,,14901.0,1272.0,842.0,8.96,8.96,939.0,
VENKEYS,2010-02-01 11:26:00,2009-12-31,2009-10-01,False,html_old,72292,17531.0,,15484.0,2008.0,1320.0,14.06,14.06,939.0,
VENKEYS,2010-07-29 15:04:00,2010-06-30,2010-04-01,False,html_old,76305,21301.0,,17430.0,4102.0,2813.0,29.95,29.95,939.0,
VENKEYS,2010-11-08 16:15:00,2010-09-30,2010-07-01,False,html_old,80017,20405.0,,18350.0,2130.0,1426.0,15.19,15.19,939.0,
VENKEYS,2011-01-28 15:30:00,2010-12-31,2010-10-01,False,html_old,81913,21013.0,,18865.0,2261.0,1518.0,16.17,16.17,939.0,
VENKEYS,2011-08-19 19:12:00,2011-06-30,2011-04-01,False,html_old,88417,23112.0,,21710.0,1492.0,1036.0,11.03,11.03,939.0,
VENKEYS,2012-02-09 14:36:00,2011-12-31,2011-10-01,False,html_old,92292,25028.0,,24451.0,408.0,293.0,3.12,3.12,939.0,
VENKEYS,2012-06-12 17:27:00,2012-03-31,2012-01-01,False,html_old,96871,25831.0,,24894.0,2363.0,1812.0,19.29,19.29,939.0,
VENKEYS,2012-08-28 21:01:00,2012-06-30,2012-04-01,False,html_old,99263,30663.0,,28395.0,2989.0,2013.0,,,939.0,
VENKEYS,2012-10-29 19:27:00,2012-09-30,2012-07-01,False,html_old,100176,32309.0,,32983.0,344.0,231.0,,,939.0,
VENKEYS,2013-02-21 20:01:00,2012-12-31,2012-10-01,False,html_old,103627,34073.0,,36917.0,-2119.0,-1432.0,,,939.0,
VENKEYS,2013-06-08 12:05:00,2013-03-31,2013-01-01,False,html_old,106924,42017.0,,39903.0,2706.0,1666.0,,,939.0,0.0
VENKEYS,2013-08-22 12:37:00,2013-06-30,2013-04-01,False,html_old,111125,42026.0,,41710.0,1027.0,685.0,,,939.0,0.0
VENKEYS,2013-11-22 18:53:00,2013-09-30,2013-07-01,False,html_old,113385,39977.0,,39643.0,1003.0,705.0,,,939.0,0.0
VENKEYS,2014-02-21 14:53:00,2013-12-31,2013-10-01,False,html_old,115913,43826.0,,44940.0,1071.0,1043.0,,,939.0,0.0
VENKEYS,2014-06-07 14:53:00,2014-03-31,2014-01-01,False,html_old,119840,43333.0,,42620.0,1415.0,971.0,,,939.0,0.0
VENKEYS,2014-08-18 10:53:00,2014-06-30,2014-04-01,False,html_old,121787,42589.0,,42926.0,263.0,158.0,,,939.0,0.0
VENKEYS,2014-11-22 19:09:00,2014-09-30,2014-07-01,False,html_old,124758,34174.0,,35905.0,-1572.0,-1315.0,,,939.0,0.0
VENKEYS,2015-02-18 19:45:00,2014-12-31,2014-10-01,False,html_old,126402,43818.0,,41431.0,2536.0,1989.0,,,939.0,0.0
VENKEYS,2015-06-04 15:01:00,2015-03-31,2015-01-01,False,html_old,130913,46708.0,,46128.0,1545.0,1038.0,,,939.0,0.0
VENKEYS,2015-08-16 18:17:00,2015-06-30,2015-04-01,False,html_old,1001840,53939.0,,52197.0,2425.0,1582.0,,,939.0,0.0
VENKEYS,2015-11-07 13:46:00,2015-09-30,2015-07-01,False,html_old,1003263,43361.0,,44044.0,-199.0,-40.0,,,939.0,0.0
VENKEYS,2016-02-19 11:17:00,2015-12-31,2015-10-01,False,html_old,1005597,50355.0,,51071.0,-230.0,-172.0,,,939.0,
VENKEYS,2016-05-28 21:19:00,2016-03-31,2016-01-01,False,html_old,1008816,56691.0,,55370.0,2616.0,1615.0,,,1409.0,
VENKEYS,2016-10-01 18:22:00,2016-03-31,2016-01-01,False,html_old,1014425,56691.0,,55370.0,2616.0,1615.0,,,1409.0,
VENKEYS,2016-10-01 18:22:00,2015-06-30,2015-04-01,False,html_old,1014426,53989.0,,52330.0,2278.0,1438.0,,,939.0,
VENKEYS,2016-10-01 18:22:00,2016-06-30,2016-04-01,False,html_old,1014424,62140.0,,56854.0,6296.0,4098.0,,,1409.0,
VENKEYS,2016-12-08 16:52:00,2016-09-30,2016-07-01,False,html_old,1017307,56309.0,,58347.0,119.0,35.0,,,1409.0,
VENKEYS,2016-12-08 16:52:00,2015-09-30,2015-07-01,False,html_old,1017308,43421.0,,43617.0,313.0,638.0,,,939.0,
VENKEYS,2017-02-10 12:27:00,2016-12-31,2016-10-01,False,html_old,1019089,58241.0,,54019.0,6453.0,4171.0,,,1409.0,
VENKEYS,2017-02-10 16:49:00,2015-12-31,2015-10-01,False,html_old,1019090,50434.0,,50870.0,-66.0,-273.0,,,939.0,
VENKEYS,2017-06-16 11:47:00,2017-03-31,2017-01-01,False,html_old,1023102,61903.0,62591.0,54869.0,7722.0,4171.0,29.61,29.61,1409.0,
VENKEYS,2017-09-01 21:00:00,2017-06-30,2017-04-01,False,html_old,1028945,66348.0,66918.0,57557.0,9361.0,5195.0,36.88,36.88,1409.0,
VENKEYS,2017-11-22 21:50:00,2017-09-30,2017-07-01,False,html_old,1032772,58790.0,59353.0,55016.0,4337.0,2714.0,19.27,19.27,1409.0,
VENKEYS,2018-02-14 18:43:00,2017-12-31,2017-10-01,False,html_old,1036398,69585.0,70214.0,59288.0,10926.0,6942.0,49.28,49.28,1409.0,
