symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
VIDEOIND,2007-04-27 18:39:00,2007-03-31,2007-01-01,False,html_old,44666,215297.0,219445.0,173325.0,27143.0,23143.0,10.47,9.94,22084.0,0.0
VIDEOIND,2007-07-31 17:03:00,2007-06-30,2007-04-01,False,html_old,47886,220473.0,226535.0,177903.0,29011.0,24511.0,11.09,10.4,22109.0,0.0
VIDEOIND,2007-10-31 13:29:00,2007-09-30,2007-07-01,False,html_old,50474,227538.0,232232.0,194447.0,29823.0,24823.0,11.23,10.53,22109.0,
VIDEOIND,2008-01-28 13:28:00,2007-12-31,2007-10-01,False,html_old,51749,236216.0,239688.0,201545.0,29949.0,24949.0,11.16,10.56,22332.0,
VIDEOIND,2008-04-30 15:48:00,2008-03-31,2008-01-01,False,html_old,53650,251491.0,253878.0,213840.0,30872.0,25122.0,10.95,10.55,22931.0,
VIDEOIND,2008-07-31 20:30:00,2008-06-30,2008-04-01,False,html_old,57267,261290.0,262043.0,216628.0,31507.0,25507.0,11.12,10.72,22931.0,
VIDEOIND,2008-10-27 19:48:00,2008-09-30,2008-07-01,False,html_old,59364,262602.0,,221471.0,23553.0,17553.0,7.65,7.42,22931.0,
VIDEOIND,2009-01-31 19:00:00,2008-12-31,2008-10-01,False,html_old,62146,207467.0,,182459.0,8543.0,6043.0,2.63,2.51,22931.0,
VIDEOIND,2009-04-30 14:16:00,2009-03-31,2009-01-01,False,html_old,63238,221436.0,,195449.0,11048.0,7298.0,3.18,3.02,22930.0,
VIDEOIND,2009-07-31 16:38:00,2009-06-30,2009-04-01,False,html_old,66958,246137.0,,215067.0,16435.0,12435.0,5.42,5.15,22930.0,
VIDEOIND,2009-10-31 20:58:00,2009-09-30,2009-07-01,False,html_old,70145,262124.0,,226281.0,20426.0,14926.0,6.51,5.89,22941.0,
VIDEOIND,2010-02-01 10:34:00,2009-12-31,2009-10-01,False,html_old,72275,280656.0,,245645.0,18417.0,13167.0,5.69,5.19,23127.0,
VIDEOIND,2010-05-15 13:33:00,2010-03-31,2010-01-01,False,html_old,73950,284083.0,,246314.0,20965.0,14965.0,6.47,6.09,23127.0,
VIDEOIND,2010-08-11 18:15:00,2010-06-30,2010-04-01,False,html_old,77104,289365.0,,251828.0,21369.0,15369.0,5.44,5.21,28223.0,
VIDEOIND,2010-11-08 09:56:00,2010-09-30,2010-07-01,False,html_old,79985,298546.0,,259525.0,22492.0,15992.0,5.51,5.28,29017.0,
VIDEOIND,2011-05-14 12:01:00,2011-03-31,2011-01-01,False,html_old,84615,318256.0,,275049.0,23669.0,16669.0,5.52,5.33,30195.0,
VIDEOIND,2011-08-16 20:02:00,2011-06-30,2011-04-01,False,html_old,88317,332459.0,,286561.0,25563.0,17563.0,5.82,5.59,30195.0,
VIDEOIND,2011-11-14 12:11:00,2011-09-30,2011-07-01,False,html_old,90515,333893.0,,291409.0,17182.0,11682.0,3.86,3.71,30263.0,
VIDEOIND,2012-03-01 19:30:00,2011-12-31,2011-10-01,False,html_old,93331,307339.0,,274443.0,10923.0,8642.0,2.85,2.85,30301.0,
VIDEOIND,2012-05-21 20:06:00,2012-03-31,2012-01-01,False,html_old,94680,299631.0,,262083.0,5532.0,5032.0,1.66,1.66,30301.0,
VIDEOIND,2012-08-16 18:26:00,2012-06-30,2012-04-01,False,html_old,98613,301802.0,,263658.0,5511.0,5011.0,,,31876.0,
VIDEOIND,2012-11-20 16:55:00,2012-09-30,2012-07-01,False,html_old,101776,301552.0,,262224.0,2023.0,1523.0,,,31876.0,
VIDEOIND,2013-02-18 11:33:00,2012-12-31,2012-10-01,False,html_old,103316,305948.0,,265923.0,154.0,104.0,,,31876.0,
VIDEOIND,2013-11-19 14:45:00,2013-09-30,2013-07-01,False,html_old,112665,317620.0,,275335.0,2518.0,2018.0,,,31876.0,0.0
VIDEOIND,2014-02-17 17:29:00,2013-12-31,2013-10-01,False,html_old,115369,320740.0,,281157.0,2286.0,1763.0,,,31876.0,0.0
VIDEOIND,2014-05-28 16:25:00,2014-03-31,2014-01-01,False,html_old,118281,307347.0,,272707.0,-8078.0,-6494.0,,,31876.0,0.0
VIDEOIND,2014-08-21 14:33:00,2014-06-30,2014-04-01,False,html_old,122463,312483.0,,275425.0,1297.0,1022.0,,,31876.0,0.0
VIDEOIND,2015-05-19 14:09:00,2015-03-31,2015-01-01,False,html_old,128073,307927.0,,269930.0,1296.0,1046.0,,,33446.0,0.0
VIDEOIND,2015-08-16 18:13:00,2015-06-30,2015-04-01,False,html_old,1001767,311300.0,,270493.0,1408.0,1059.0,,,33446.0,0.0
VIDEOIND,2015-11-19 19:12:00,2015-09-30,2015-07-01,False,html_old,1003921,311063.0,,269125.0,1132.0,757.0,,,33446.0,0.0
VIDEOIND,2016-03-15 19:26:00,2015-12-31,2015-10-01,False,html_old,1006179,308413.0,,285930.0,-9906.0,-8442.0,,,33446.0,
VIDEOIND,2016-05-16 17:55:00,2016-03-31,2016-01-01,False,html_old,1007194,276807.0,,267812.0,-23459.0,-18959.0,,,33446.0,
VIDEOIND,2016-09-28 21:58:00,2016-06-30,2016-04-01,False,html_old,1012436,279413.0,,265861.0,-35919.0,-28664.0,,,33446.0,
VIDEOIND,2016-11-21 12:45:00,2016-09-30,2016-07-01,False,html_old,1016254,266965.0,,260095.0,-47693.0,-38193.0,,,33446.0,
VIDEOIND,2017-02-15 17:03:00,2016-12-31,2016-10-01,False,html_old,1019671,207943.0,,205100.0,-58736.0,-50978.0,,,33446.0,
VIDEOIND,2017-11-24 12:13:00,2016-06-30,2016-04-01,False,html_old,1034034,279420.0,288894.0,332205.0,-43311.0,-36875.0,0.0,0.0,33446.0,
VIDEOIND,2017-11-24 12:13:00,2017-06-30,2017-04-01,False,html_old,1034033,159860.0,164211.0,260932.0,-96721.0,-88582.0,0.0,0.0,33446.0,
VIDEOIND,2018-02-02 20:17:00,2017-09-30,2017-07-01,False,html_old,1035405,81736.0,85577.0,199735.0,-114158.0,-103369.0,-30.91,-30.91,33446.0,
VIDEOIND,2018-02-02 20:17:00,2016-12-31,2016-10-01,False,html_old,1035406,208107.0,209359.0,273448.0,-64089.0,-48194.0,-14.41,-14.41,33446.0,
VIDEOIND,2018-02-02 20:17:00,2017-12-31,2017-10-01,False,html_old,1035404,36295.0,86434.0,217930.0,-131496.0,-127200.0,-38.03,-38.03,33446.0,
VIDEOIND,2018-07-31 19:32:00,2018-03-31,2018-01-01,False,xbrl_new,1046626,609500000.0,616900000.0,18580900000.0,-24164100000.0,-20725300000.0,0.0,0.0,3344600000.0,
VIDEOIND,2018-08-30 13:09:00,2018-06-30,2018-04-01,False,xbrl_new,1048804,2410100000.0,2722500000.0,17370200000.0,-28781200000.0,-28742100000.0,-85.94,-85.94,3344600000.0,
VIDEOIND,2018-12-11 10:18:00,2018-09-30,2018-07-01,False,xbrl_new,1054197,1863300000.0,2005800000.0,14217300000.0,-12211500000.0,-12250600000.0,-36.63,-36.63,3344600000.0,
VIDEOIND,2019-02-28 19:15:00,2018-12-31,2018-10-01,False,xbrl_new,1058385,2095500000.0,2237300000.0,12468100000.0,-10230800000.0,-10230800000.0,-30.59,-30.59,3344600000.0,
VIDEOIND,2019-12-06 17:58:00,2019-03-31,2019-01-01,False,xbrl_new,1074161,2697100000.0,3660600000.0,21551200000.0,-17890600000.0,-16384000000.0,-48.99,-48.99,3344600000.0,
VIDEOIND,2023-06-21 15:25:00,2019-06-30,2019-04-01,False,xbrl_new,1151751,2533706000.0,2799433000.0,13535050000.0,-10735617000.0,-10735617000.0,-32.1,-32.1,3344600000.0,
VIDEOIND,2023-06-21 15:43:00,2019-12-31,2019-10-01,False,xbrl_new,1151752,1680217000.0,1900683000.0,13439484000.0,-11538801000.0,-11538801000.0,-34.5,-34.5,3344600000.0,
VIDEOIND,2023-06-21 15:47:00,2020-06-30,2020-04-01,False,xbrl_new,1151754,1143242000.0,1244285000.0,13006693000.0,-11762408000.0,-11762408000.0,-35.17,-31.67,3344600000.0,
VIDEOIND,2023-06-21 15:49:00,2020-12-31,2020-10-01,False,xbrl_new,1151755,2074501000.0,2158314000.0,17273283000.0,-15114969000.0,-15114969000.0,-45.19,-40.7,3344600000.0,
VIDEOIND,2023-07-25 18:32:00,2019-09-30,2019-07-01,False,xbrl_new,1152171,1401660000.0,1553320000.0,13050244000.0,-11496924000.0,-11496924000.0,-34.37,-34.37,3344600000.0,
VIDEOIND,2023-07-25 18:36:00,2020-03-31,2020-01-01,False,xbrl_new,1152173,1720585000.0,1710972000.0,15001923000.0,-13290951000.0,-13290951000.0,-39.74,-39.74,3344600000.0,
VIDEOIND,2023-07-25 18:39:00,2020-09-30,2020-07-01,False,xbrl_new,1152176,1141310000.0,1217396000.0,13818175000.0,-12600779000.0,-12600779000.0,-37.68,-37.68,3344600000.0,
VIDEOIND,2023-07-25 18:42:00,2021-03-31,2021-01-01,False,xbrl_new,1152179,1608983000.0,1855998000.0,14580971000.0,-12724973000.0,-12724973000.0,-38.05,-38.05,3344600000.0,
VIDEOIND,2024-09-10 18:53:00,2023-06-30,2023-04-01,False,xbrl_new,1181239,1562047000.0,1563225000.0,20858455000.0,-19295230000.0,-19295230000.0,-57.69,-51.96,3344589000.0,
VIDEOIND,2024-09-10 20:22:00,2023-12-31,2023-10-01,False,xbrl_new,1181240,1576464000.0,1581330000.0,22989292000.0,-21407962000.0,-21407962000.0,-64.01,-57.65,3344589000.0,
VIDEOIND,2024-09-10 20:33:00,2024-03-31,2024-01-01,False,xbrl_new,1181242,1677859000.0,1858967000.0,24507189000.0,-22648222000.0,-22648222000.0,-67.72,-60.99,3344589000.0,
VIDEOIND,2024-09-11 17:52:00,2023-09-30,2023-07-01,False,xbrl_new,1181248,1695869000.0,1709805000.0,22021337000.0,-20311532000.0,-20311532000.0,-60.73,-54.69,3344589000.0,
VIDEOIND,2026-06-25 12:21:00,2024-06-30,2024-04-01,False,xbrl_new,1197603,,,,,,,,,
VIDEOIND,2026-06-25 16:36:00,2024-09-30,2024-07-01,False,xbrl_new,1197604,,,,,,,,,
VIDEOIND,2026-06-25 16:39:00,2024-12-31,2024-10-01,False,xbrl_new,1197606,,,,,,,,,
