symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
20MICRONS,2017-01-23 15:51:00,2017-01-20,2017-01-19,2017-01-19,Promoter Group,Market Sale,Sell,Equity Shares,25266.0,0.0,0.0,0.0,0.0,80000.0,0.227,54734.0,0.155
20MICRONS,2017-01-23 15:51:00,2017-01-20,2017-01-18,2017-01-18,Promoter Group,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,100000.0,0.283,80000.0,0.227
20MICRONS,2017-01-23 15:51:00,2017-01-20,2017-01-18,2017-01-18,Promoter Group,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,100000.0,0.283,80000.0,0.227
20MICRONS,2017-01-23 15:51:00,2017-01-20,2017-01-19,2017-01-19,Promoter Group,Market Sale,Sell,Equity Shares,30000.0,0.0,0.0,0.0,0.0,80000.0,0.227,50000.0,0.142
20MICRONS,2017-01-23 15:51:00,2017-01-20,2017-01-18,2017-01-18,Promoter Group,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,100000.0,0.283,80000.0,0.227
20MICRONS,2017-01-23 15:51:00,2017-01-20,2017-01-19,2017-01-19,Promoter Group,Market Sale,Sell,Equity Shares,29856.0,0.0,0.0,0.0,0.0,80000.0,0.227,50144.0,0.142
20MICRONS,2017-01-24 14:56:00,2017-01-21,2017-01-20,2017-01-20,Promoter Group,Market Sale,Sell,Equity Shares,29734.0,0.0,0.0,0.0,0.0,54137.0,0.155,24403.0,0.071
20MICRONS,2017-01-24 14:56:00,2017-01-21,2017-01-20,2017-01-20,Promoter Group,Market Sale,Sell,Equity Shares,25144.0,0.0,0.0,0.0,0.0,50144.0,0.142,25000.0,0.071
20MICRONS,2017-01-24 14:56:00,2017-01-21,2017-01-20,2017-01-20,Promoter Group,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,50000.0,0.142,25000.0,0.071
20MICRONS,2017-01-31 11:23:00,2017-01-27,2017-01-25,2017-01-25,Promoter Group,Market Sale,Sell,Equity Shares,2400.0,0.0,0.0,0.0,0.0,25000.0,0.071,22600.0,0.064
