symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
3IINFOTECH,2017-01-31 14:17:00,2017-01-30,2017-01-27,2017-01-27,Promoters,Market Sale,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,30560488.0,2.64,29560488.0,2.56
3IINFOTECH,2017-02-01 14:52:00,2017-01-31,2017-01-30,2017-01-30,Promoters,Market Sale,Sell,Equity Shares,725000.0,0.0,0.0,0.0,0.0,29560488.0,2.56,28835488.0,2.49
3IINFOTECH,2017-02-02 14:04:00,2017-02-02,2017-01-31,2017-01-31,Promoters,Market Sale,Sell,Equity Shares,500000.0,0.0,0.0,0.0,0.0,28835488.0,2.49,28335488.0,2.45
3IINFOTECH,2017-02-03 12:57:00,2017-02-02,2017-02-01,2017-02-01,Promoters,Market Sale,Sell,Equity Shares,787224.0,0.0,0.0,0.0,0.0,28335488.0,2.45,27548264.0,2.38
3IINFOTECH,2017-02-06 14:55:00,2017-02-06,2017-02-02,2017-02-03,Promoters,Market Sale,Sell,Equity Shares,3000000.0,0.0,0.0,0.0,0.0,27548264.0,2.38,24548264.0,2.12
3IINFOTECH,2017-02-08 16:03:00,2017-02-08,2017-02-07,2017-02-07,Promoters,Market Sale,Sell,Equity Shares,898027.0,0.0,0.0,0.0,0.0,23548264.0,2.04,22650237.0,1.96
3IINFOTECH,2017-02-08 16:03:00,2017-02-07,2017-02-06,2017-02-06,Promoters,Market Sale,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,24548264.0,2.12,23548264.0,2.04
3IINFOTECH,2017-02-10 15:09:00,2017-02-10,2017-02-09,2017-02-09,Promoters,Market Sale,Sell,Equity Shares,939134.0,0.0,0.0,0.0,0.0,21650237.0,1.87,20711103.0,1.79
3IINFOTECH,2017-02-10 15:09:00,2017-02-09,2017-02-08,2017-02-08,Promoters,Market Sale,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,22650237.0,1.96,21650237.0,1.87
3IINFOTECH,2017-02-14 16:31:00,2017-02-13,2017-02-10,2017-02-10,Promoters,Market Sale,Sell,Equity Shares,500000.0,0.0,0.0,0.0,0.0,20711103.0,1.79,20211103.0,1.75
