symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ALOKTEXT,2016-01-22 11:37:00,2016-01-20,2016-01-20,2016-01-20,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,400000.0,0.0,0.0,0.0,0.0,379357826.0,27.54,378957826.0,27.51
ALOKTEXT,2016-01-22 11:37:00,2016-01-20,2016-01-20,2016-01-20,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,600000.0,0.0,0.0,0.0,0.0,379957826.0,27.59,379357826.0,27.54
ALOKTEXT,2016-01-22 11:37:00,2016-01-20,2016-01-19,2016-01-19,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,750000.0,0.0,0.0,0.0,0.0,380707826.0,27.64,379957826.0,27.59
ALOKTEXT,2016-01-22 11:37:00,2016-01-20,2016-01-19,2016-01-19,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,200000.0,0.0,0.0,0.0,0.0,380907826.0,27.66,380707826.0,27.64
ALOKTEXT,2016-06-15 19:23:00,2016-06-13,2016-06-07,2016-06-07,Promoters,Invocation of pledge,Sell,Equity Shares,4069817.0,0.0,0.0,0.0,0.0,378957826.0,27.51,374888009.0,27.22
ALOKTEXT,2016-06-28 09:15:00,2016-06-27,2016-06-24,2016-06-24,Promoters,Invocation of pledge,Sell,Equity Shares,3489737.0,0.0,0.0,0.0,0.0,374888009.0,27.22,371398272.0,26.96
ALOKTEXT,2016-07-05 08:45:00,2016-07-01,2016-07-01,2016-07-01,Other,Invocation of pledge,Sell,Equity Shares,2500000.0,0.0,0.0,0.0,0.0,17559382.0,1.27,15059382.0,1.09
ALOKTEXT,2016-07-05 18:23:00,2016-07-05,2016-07-05,2016-07-05,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,192072.0,0.0,0.0,0.0,0.0,371398272.0,26.96,371206200.0,26.95
ALOKTEXT,2016-07-05 18:29:00,2016-07-05,2016-07-05,2016-07-05,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1800000.0,0.0,0.0,0.0,0.0,15059382.0,1.09,13259382.0,0.96
ALOKTEXT,2016-07-15 18:04:00,2016-07-14,2016-07-14,2016-07-14,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,3100000.0,0.0,0.0,0.0,0.0,371206200.0,26.95,368106200.0,26.73
ALOKTEXT,2016-07-15 18:05:00,2016-07-14,2016-07-12,2016-07-12,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,5127807.0,0.0,0.0,0.0,0.0,368106200.0,26.73,362978393.0,26.35
ALOKTEXT,2016-07-27 18:41:00,2016-07-26,2016-07-25,2016-07-25,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1800752.0,0.0,0.0,0.0,0.0,362998393.0,26.35,361197641.0,26.22
ALOKTEXT,2016-07-29 17:37:00,2016-07-28,2016-07-26,2016-07-28,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,5946299.0,0.0,0.0,0.0,0.0,361177641.0,26.22,355231342.0,25.79
