symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
AMBUJACEM,2016-03-30 11:50:00,2016-03-29,2016-03-28,2016-03-28,Director,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,317284.0,0.02,307284.0,0.02
AMBUJACEM,2016-03-30 18:28:00,2016-03-23,2016-03-21,2016-03-21,Director,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,327284.0,0.021,317284.0,0.02
AMBUJACEM,2016-08-17 09:54:00,,,,Promoters,-,Buy,Equity Shares,584417928.0,0.0,0.0,0.0,0.0,629638433.0,40.57,1214056361.0,61.14
AMBUJACEM,2016-10-04 16:29:00,2016-10-03,2016-09-30,2016-09-30,Director,Market Purchase,Buy,Equity Shares,19650.0,0.0,0.0,0.0,0.0,,0.0,19650.0,0.0
AMBUJACEM,2016-11-16 09:46:00,2016-11-15,2016-11-15,2016-11-15,Promoters,Market Purchase,Buy,Equity Shares,39100000.0,0.0,0.0,0.0,0.0,1214056361.0,61.14,1253156361.0,63.11
AMBUJACEM,2018-08-03 11:53:00,2018-08-01,2015-04-21,2018-07-30,Employees/Designated Employees,ESOP,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,31500.0,0.0,26500.0,0.0
AMBUJACEM,2018-08-22 16:16:00,2018-08-22,2018-08-21,2018-08-21,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,26500.0,0.0,21500.0,0.0
AMBUJACEM,2018-09-20 13:53:00,2018-09-19,2018-09-19,2018-09-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3100.0,0.0,0.0,0.0,0.0,92000.0,0.0,88900.0,0.0
AMBUJACEM,2018-10-29 16:58:00,2018-10-29,2018-10-26,2018-10-26,Key Managerial Personnel,Market Sale,Sell,Equity Shares,19650.0,0.0,0.0,0.0,0.0,19650.0,0.0,,0.0
AMBUJACEM,2018-12-18 15:31:00,2018-12-18,2018-12-17,2018-12-17,Director,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,307284.0,0.0,257284.0,0.0
AMBUJACEM,2018-12-20 15:03:00,2018-12-20,2018-12-19,2018-12-19,Director,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,232284.0,0.0,207284.0,0.0
AMBUJACEM,2018-12-20 15:03:00,2018-12-20,2018-12-19,2018-12-19,Director,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,257284.0,0.0,232284.0,0.0
AMBUJACEM,2019-03-06 16:43:00,2019-03-06,2019-03-05,2019-03-05,Director,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,207284.0,0.0,107284.0,0.0
AMBUJACEM,2019-05-29 14:28:00,2019-05-28,2019-05-24,2019-05-24,Employees/Designated Employees,Market Sale,Sell,Equity Shares,33500.0,0.0,0.0,0.0,0.0,33800.0,0.0,300.0,0.0
AMBUJACEM,2020-03-18 11:24:00,2016-03-23,2016-03-21,2016-03-21,Director,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,327284.0,0.02,317284.0,0.02
AMBUJACEM,2020-03-19 12:44:00,2020-03-18,2020-03-17,2020-03-17,Director,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,410.0,0.0,910.0,0.0
AMBUJACEM,2020-03-20 16:15:00,2020-03-20,2020-03-19,2020-03-19,Director,Market Purchase,Buy,Equity Shares,95.0,0.0,0.0,0.0,0.0,1730.0,0.0,1825.0,0.0
AMBUJACEM,2020-03-20 16:15:00,2020-03-19,2020-03-18,2020-03-18,Director,Market Purchase,Buy,Equity Shares,820.0,0.0,0.0,0.0,0.0,910.0,0.0,1730.0,0.0
AMBUJACEM,2020-03-25 15:06:00,2020-03-24,2020-03-23,2020-03-23,Director,Market Purchase,Buy,Equity Shares,110.0,0.0,0.0,0.0,0.0,1825.0,0.0,1935.0,0.0
AMBUJACEM,2020-03-25 18:55:00,2020-03-25,2020-03-24,2020-03-24,Director,Market Purchase,Buy,Equity Shares,1060.0,0.0,0.0,0.0,0.0,1935.0,0.0,2995.0,0.0
AMBUJACEM,2020-03-28 18:00:00,2020-03-26,2020-03-25,2020-03-25,Director,Market Purchase,Buy,Equity Shares,1950.0,0.0,0.0,0.0,0.0,2995.0,0.0,4945.0,0.0
AMBUJACEM,2020-08-02 12:21:00,2020-07-31,2020-07-30,2020-07-30,Employees/Designated Employees,ESOP,Sell,Equity Shares,9000.0,0.0,0.0,0.0,0.0,40365.0,0.0,31365.0,0.0
AMBUJACEM,2020-08-19 11:25:00,2020-07-29,2020-07-28,2020-07-28,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,16400.0,0.0,15400.0,0.0
AMBUJACEM,2020-08-19 11:25:00,2020-07-29,2020-07-27,2020-07-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,21400.0,0.0,16400.0,0.0
AMBUJACEM,2021-04-05 18:09:00,2021-04-05,2021-03-23,2021-03-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,7000.0,0.0,0.0,0.0,0.0,20450.0,0.0,13450.0,0.0
AMBUJACEM,2021-04-05 18:13:00,2021-04-05,2021-03-25,2021-03-25,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,7000.0,0.0,0.0,0.0,0.0,13450.0,0.0,20450.0,0.0
AMBUJACEM,2021-04-05 18:16:00,2021-04-05,2021-03-30,2021-03-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2500.0,0.0,0.0,0.0,0.0,20450.0,0.0,17950.0,0.0
AMBUJACEM,2021-07-05 16:25:00,2021-07-05,2021-06-30,2021-06-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3500.0,0.0,0.0,0.0,0.0,5535.0,0.0,2035.0,0.0
AMBUJACEM,2022-06-01 11:04:00,2022-05-31,2022-05-27,2022-05-27,-,Market Purchase,Buy,Equity Shares,30129.0,0.0,0.0,0.0,0.0,,0.0,30129.0,0.0
AMBUJACEM,2022-06-07 12:41:00,2022-06-07,2022-06-03,2022-06-03,-,Market Purchase,Buy,Equity Shares,24871.0,0.0,0.0,0.0,0.0,30129.0,0.0,55000.0,0.0
AMBUJACEM,2022-06-08 16:45:00,2022-06-08,2022-06-07,2022-06-08,-,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,55000.0,0.0,58000.0,0.0
AMBUJACEM,2022-06-16 09:50:00,2022-06-16,2022-06-14,2022-06-14,-,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,58000.0,0.0,61000.0,0.0
AMBUJACEM,2022-06-22 09:58:00,2022-06-21,2022-06-16,2022-06-20,-,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,61000.0,0.0,64000.0,0.0
AMBUJACEM,2022-09-19 15:34:00,2022-09-16,2022-09-15,2022-09-15,Promoter Group,Others,Buy,Equity Shares,702442.0,0.0,0.0,0.0,0.0,,0.0,702442.0,0.04
AMBUJACEM,2022-09-20 14:23:00,2022-09-16,2022-09-15,2022-09-15,Promoter Group,Others,Pledge,Equity Shares,702442.0,0.0,0.0,0.0,0.0,702442.0,0.04,702442.0,0.04
AMBUJACEM,2022-09-20 14:32:00,2022-09-16,2022-09-15,2022-09-15,Promoter Group,Others,Pledge,Equity Shares,702442.0,0.0,0.0,0.0,0.0,702442.0,0.04,702442.0,0.04
AMBUJACEM,2023-01-02 14:32:00,2023-01-02,2022-12-30,2022-12-30,Immediate relative,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,64000.0,0.0,54000.0,0.0
AMBUJACEM,2023-03-28 12:24:00,2023-03-28,2023-03-27,2023-03-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,54000.0,0.0,34000.0,0.0
AMBUJACEM,2024-03-01 11:47:00,2024-02-29,2024-02-28,2024-02-29,Other,Market Purchase,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,18000.0,0.0,30500.0,0.0
AMBUJACEM,2024-04-04 18:59:00,2024-04-02,2024-03-28,2024-03-28,Promoter Group,Conversion of security,Buy,Equity Shares,212030758.0,0.0,0.0,0.0,0.0,,0.0,212030758.0,9.65
AMBUJACEM,2024-04-20 16:27:00,2024-04-18,2024-04-17,2024-04-17,Promoter Group,Conversion of security,Buy,Equity Shares,265447491.0,0.0,0.0,0.0,0.0,212030758.0,9.65,477478249.0,19.39
AMBUJACEM,2024-09-06 12:26:00,2024-09-04,2024-09-03,2024-09-03,Other,Market Sale,Sell,Equity Shares,130000.0,0.0,0.0,0.0,0.0,130000.0,0.0,,0.0
AMBUJACEM,2024-09-06 12:26:00,2024-09-04,2024-09-02,2024-09-02,Other,Market Sale,Sell,Equity Shares,132000.0,0.0,0.0,0.0,0.0,262000.0,0.01,130000.0,0.0
AMBUJACEM,2024-11-11 12:23:00,2024-11-08,2024-11-08,2024-11-08,Other,Market Sale,Sell,Equity Shares,30500.0,0.0,0.0,0.0,0.0,30500.0,0.0,,0.0
