symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ANGELONE,2020-12-29 18:46:00,2020-12-28,2020-12-28,2020-12-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,5060.0,0.0,0.0,0.0,0.0,,0.0,5060.0,0.01
ANGELONE,2021-01-06 19:37:00,2021-01-04,2020-12-31,2020-12-31,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,4040.0,0.0,2040.0,0.0
ANGELONE,2021-01-06 19:37:00,2021-01-04,2020-12-29,2020-12-29,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1020.0,0.0,0.0,0.0,0.0,5060.0,0.0,4040.0,0.0
ANGELONE,2021-01-08 18:46:00,2021-01-07,2021-01-05,2021-01-05,Employees/Designated Employees,ESOP,Buy,Equity Shares,8096.0,0.0,0.0,0.0,0.0,2040.0,0.0,10136.0,0.0
ANGELONE,2021-03-15 14:21:00,2021-03-12,2021-03-10,2021-03-10,Employees/Designated Employees,Pledge Creation,Pledge,Equity Shares,14427.0,0.0,0.0,0.0,0.0,14477.0,0.02,14477.0,0.02
ANGELONE,2021-05-11 17:03:00,2021-05-07,2021-05-04,2021-05-04,-,ESOP,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,,0.0,100000.0,0.12
ANGELONE,2021-05-11 17:21:00,2021-05-10,2021-05-10,2021-05-10,-,Pledge Creation,Pledge,Equity Shares,100000.0,0.0,0.0,0.0,0.0,100000.0,0.12,100000.0,0.12
ANGELONE,2021-05-14 17:22:00,2021-05-12,2021-05-11,2021-05-11,-,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,100000.0,0.12,90000.0,0.11
ANGELONE,2021-05-14 17:22:00,2021-05-12,2021-05-11,2021-05-11,-,Market Sale,Sell,Equity Shares,70000.0,0.0,0.0,0.0,0.0,90000.0,0.11,20000.0,0.02
ANGELONE,2021-05-14 17:22:00,2021-05-12,2021-05-11,2021-05-11,-,Revokation of Pledge,Pledge Revoke,Equity Shares,90000.0,0.0,0.0,0.0,0.0,100000.0,0.12,100000.0,0.12
ANGELONE,2021-05-14 17:22:00,2021-05-12,2021-05-11,2021-05-11,-,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,20000.0,0.02,15000.0,0.02
ANGELONE,2021-05-14 17:22:00,2021-05-12,2021-05-11,2021-05-11,-,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,15000.0,0.02,10000.0,0.01
ANGELONE,2021-05-20 11:12:00,2021-05-19,2021-05-18,2021-05-18,-,ESOP,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,10000.0,0.01,210000.0,0.26
ANGELONE,2021-05-24 12:17:00,2021-05-20,2021-05-20,2021-05-20,-,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,210000.0,0.26,200000.0,0.24
ANGELONE,2021-05-24 12:17:00,2021-05-20,2021-05-20,2021-05-20,-,Revokation of Pledge,Pledge Revoke,Equity Shares,10000.0,0.0,0.0,0.0,0.0,210000.0,0.26,210000.0,0.26
ANGELONE,2021-06-01 20:54:00,2021-06-01,2021-06-01,2021-06-01,-,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,200000.0,0.24,195000.0,0.24
ANGELONE,2021-06-01 20:54:00,2021-06-01,2021-06-01,2021-06-01,-,Market Sale,Sell,Equity Shares,15000.0,0.0,0.0,0.0,0.0,195000.0,0.24,180000.0,0.22
ANGELONE,2021-06-08 12:36:00,2021-06-04,2021-06-04,2021-06-04,-,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,180000.0,0.22,175000.0,0.21
ANGELONE,2021-06-08 16:36:00,2021-06-07,2021-06-07,2021-06-07,-,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,175000.0,0.21,170000.0,0.21
ANGELONE,2021-06-18 18:10:00,2021-06-16,2021-06-15,2021-06-15,Employees/Designated Employees,ESOP,Buy,Equity Shares,19854.0,0.0,0.0,0.0,0.0,14477.0,0.02,34331.0,0.04
ANGELONE,2021-06-18 18:10:00,2021-06-17,2021-06-15,2021-06-15,Key Managerial Personnel,ESOP,Buy,Equity Shares,47124.0,0.0,0.0,0.0,0.0,1715.0,0.0,48839.0,0.06
ANGELONE,2021-06-18 18:10:00,2021-06-17,2021-06-15,2021-06-15,Employees/Designated Employees,ESOP,Buy,Equity Shares,41748.0,0.0,0.0,0.0,0.0,268.0,0.0,42016.0,0.06
ANGELONE,2021-06-26 18:49:00,2021-06-24,2021-06-24,2021-06-24,Employees/Designated Employees,Pledge Creation,Pledge,Equity Shares,41748.0,0.0,0.0,0.0,0.0,42016.0,0.05,42016.0,0.05
ANGELONE,2021-06-26 18:49:00,2021-06-25,2021-06-25,2021-06-25,Key Managerial Personnel,Pledge Creation,Pledge,Equity Shares,47124.0,0.0,0.0,0.0,0.0,48839.0,0.06,48839.0,0.06
ANGELONE,2021-06-26 18:49:00,2021-06-25,2021-06-25,2021-06-25,Employees/Designated Employees,Pledge Creation,Pledge,Equity Shares,19854.0,0.0,0.0,0.0,0.0,34331.0,0.04,34331.0,0.04
ANGELONE,2021-07-02 22:36:00,2021-06-30,2021-06-30,2021-06-30,-,Market Sale,Sell,Equity Shares,738.0,0.0,0.0,0.0,0.0,170000.0,0.21,169262.0,0.21
