symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
APOLLOTYRE,2015-12-01 11:47:00,2015-11-23,2015-11-20,2015-11-20,Promoters,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,212380.0,0.04,312380.0,0.06
APOLLOTYRE,2015-12-01 12:08:00,2015-11-24,2015-11-23,2015-11-23,Promoters,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,312380.0,0.06,362380.0,0.07
APOLLOTYRE,2015-12-01 20:20:00,2015-11-27,2015-11-26,2015-11-26,Promoters,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,362380.0,0.07,372380.0,0.07
APOLLOTYRE,2015-12-01 20:20:00,2015-11-30,2015-11-27,2015-11-27,Promoters,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,372380.0,0.07,422380.0,0.08
APOLLOTYRE,2015-12-04 09:35:00,2015-12-02,2015-11-30,2015-12-01,Promoters,Market Purchase,Buy,Equity Shares,230000.0,0.0,0.0,0.0,0.0,422380.0,0.08,652380.0,0.13
APOLLOTYRE,2015-12-04 19:39:00,2015-12-03,2015-12-02,2015-12-02,Promoters,Market Purchase,Buy,Equity Shares,19000.0,0.0,0.0,0.0,0.0,652380.0,0.13,671380.0,0.13
APOLLOTYRE,2017-03-24 11:26:00,2017-03-23,2017-03-22,2017-03-22,Promoters,Market Sale,Sell,Equity Shares,2919540.0,0.0,0.0,0.0,0.0,4906781.0,0.96,1987241.0,0.39
APOLLOTYRE,2017-03-24 12:18:00,2017-03-23,2017-03-23,2017-03-23,Promoters,Inter-se-Transfer,Buy,Equity Shares,29630857.0,0.0,0.0,0.0,0.0,42508142.0,8.35,72138999.0,14.17
APOLLOTYRE,2017-03-24 12:30:00,2017-03-23,2017-03-22,2017-03-22,Promoters,Market Purchase,Buy,Equity Shares,2919540.0,0.0,0.0,0.0,0.0,12618036.0,2.48,15537576.0,3.05
APOLLOTYRE,2017-03-24 13:47:00,2017-03-23,2017-03-23,2017-03-23,Promoters,Inter-se-Transfer,Sell,Equity Shares,29630857.0,0.0,0.0,0.0,0.0,29630857.0,5.82,,0.0
APOLLOTYRE,2017-03-28 15:06:00,2017-03-27,2017-03-27,2017-03-27,Promoters,Gift,Buy,Equity Shares,14982000.0,0.0,0.0,0.0,0.0,9453180.0,1.86,24435180.0,4.8
APOLLOTYRE,2017-03-28 15:17:00,2017-03-27,2017-03-27,2017-03-27,Promoters,Gift,Sell,Equity Shares,14982000.0,0.0,0.0,0.0,0.0,17527080.0,3.44,2545080.0,0.5
APOLLOTYRE,2017-03-30 10:31:00,2017-03-29,2017-03-28,2017-03-28,Promoters,Market Sale,Sell,EQUITY SHARES,1187241.0,0.0,0.0,0.0,0.0,1987241.0,0.39,800000.0,0.16
APOLLOTYRE,2017-03-30 10:31:00,2017-03-29,2017-03-28,2017-03-28,Promoters,Market Purchase,Buy,Equity Shares,1187241.0,0.0,0.0,0.0,0.0,15537576.0,3.05,16724817.0,3.28
APOLLOTYRE,2017-03-31 11:49:00,2017-03-30,2017-03-29,2017-03-29,Promoters,Market Sale,Sell,Equity Shares,1560595.0,0.0,0.0,0.0,0.0,2545080.0,0.5,984485.0,0.19
APOLLOTYRE,2017-03-31 12:11:00,2017-03-30,2017-03-29,2017-03-29,Promoters,Market Purchase,Buy,Equity Shares,1560595.0,0.0,0.0,0.0,0.0,,0.0,1560595.0,0.31
APOLLOTYRE,2017-03-31 12:14:00,2017-03-30,2017-03-29,2017-03-29,Promoters,Market Sale,Sell,Equity Shares,1560595.0,0.0,0.0,0.0,0.0,2545080.0,0.5,984485.0,0.19
APOLLOTYRE,2017-05-16 13:34:00,2017-05-15,2017-05-12,2017-05-12,Promoters,Market Purchase,Buy,Equity Shares,218000.0,0.0,0.0,0.0,0.0,16724817.0,3.28,16942817.0,3.33
APOLLOTYRE,2017-05-16 13:34:00,2017-05-15,2017-05-12,2017-05-12,Promoters,Market Purchase,Buy,Equity Shares,582000.0,0.0,0.0,0.0,0.0,35719198.0,7.02,36301198.0,7.13
APOLLOTYRE,2017-05-16 13:34:00,2017-05-15,2017-05-12,2017-05-12,Promoters,Market Sale,Sell,Equity Shares,800000.0,0.0,0.0,0.0,0.0,800000.0,0.16,,0.0
APOLLOTYRE,2017-09-22 19:37:00,2017-09-21,2017-08-28,2017-08-28,Immediate relative,Market Purchase,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,5000.0,0.001,10000.0,0.001
APOLLOTYRE,2017-11-16 14:53:00,2017-11-16,2017-11-15,2017-11-15,Promoters,Market Purchase,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,,0.0,25000.0,0.0
APOLLOTYRE,2017-11-17 16:47:00,2017-11-17,2017-11-16,2017-11-16,Promoters,Market Purchase,Buy,Equity Shares,75000.0,0.0,0.0,0.0,0.0,25000.0,0.0,100000.0,0.02
APOLLOTYRE,2017-11-21 15:17:00,2017-11-21,2017-11-20,2017-11-20,Promoters,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,100000.0,0.02,150000.0,0.03
APOLLOTYRE,2017-11-23 14:14:00,2017-11-23,2017-11-22,2017-11-22,Promoters,Market Purchase,Buy,Equity Shares,51740.0,0.0,0.0,0.0,0.0,150000.0,0.03,201740.0,0.04
APOLLOTYRE,2017-11-24 13:46:00,2017-11-24,2017-11-23,2017-11-23,Promoters,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,201740.0,0.04,301740.0,0.05
APOLLOTYRE,2017-11-27 13:38:00,2017-11-27,2017-11-24,2017-11-24,Promoters,Market Purchase,Buy,Equity Shares,48260.0,0.0,0.0,0.0,0.0,301740.0,0.05,350000.0,0.06
APOLLOTYRE,2017-12-04 14:39:00,2017-12-01,2017-11-30,2017-11-30,Promoters,Market Purchase,Buy,Equity Shares,40000.0,0.0,0.0,0.0,0.0,350000.0,0.06,390000.0,0.07
APOLLOTYRE,2017-12-04 14:49:00,2017-12-04,2017-12-01,2017-12-01,Promoters,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,390000.0,0.07,490000.0,0.09
APOLLOTYRE,2017-12-06 14:27:00,2017-12-06,2017-12-05,2017-12-05,Promoters,Market Purchase,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,490000.0,0.09,510000.0,0.09
APOLLOTYRE,2017-12-08 11:01:00,2017-12-06,2017-12-05,2017-12-05,Promoters,Market Purchase,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,490000.0,0.09,510000.0,0.09
APOLLOTYRE,2017-12-08 15:40:00,2017-12-08,2017-12-06,2017-12-07,Promoters,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,510000.0,0.09,560000.0,0.1
APOLLOTYRE,2017-12-12 14:18:00,2017-12-12,2017-12-11,2017-12-11,Promoters,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,560000.0,0.1,610000.0,0.11
APOLLOTYRE,2017-12-13 13:23:00,2017-12-13,2017-12-12,2017-12-12,Promoters,Market Purchase,Buy,Equity Shares,60000.0,0.0,0.0,0.0,0.0,610000.0,0.11,670000.0,0.12
APOLLOTYRE,2017-12-15 13:58:00,2017-12-15,2017-12-13,2017-12-14,Promoters,Market Purchase,Buy,Equity Shares,80000.0,0.0,0.0,0.0,0.0,670000.0,0.12,750000.0,0.13
APOLLOTYRE,2017-12-19 14:22:00,2017-12-19,2017-12-18,2017-12-18,Promoters,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,750000.0,0.13,760000.0,0.13
APOLLOTYRE,2017-12-29 11:41:00,2017-12-28,2017-12-27,2017-12-27,Promoters,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,760000.0,0.13,860000.0,0.15
APOLLOTYRE,2017-12-29 15:42:00,2017-12-29,2017-12-28,2017-12-28,Promoters,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,860000.0,0.15,910000.0,0.16
APOLLOTYRE,2018-01-02 16:14:00,2018-01-02,2017-12-29,2017-12-29,Promoters,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,910000.0,0.15,1010000.0,0.17
APOLLOTYRE,2018-01-03 11:28:00,2018-01-02,2017-12-29,2017-12-29,Promoters,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,910000.0,0.16,1010000.0,0.18
APOLLOTYRE,2018-01-17 14:43:00,2018-01-17,2018-01-16,2018-01-16,Promoters,Market Purchase,Buy,Equity Shares,165000.0,0.0,0.0,0.0,0.0,1010000.0,0.18,1175000.0,0.21
APOLLOTYRE,2018-01-22 11:45:00,2018-01-19,2018-01-18,2018-01-18,Promoters,Market Purchase,Buy,Equity Shares,300000.0,0.0,0.0,0.0,0.0,1175000.0,0.21,1475000.0,0.26
APOLLOTYRE,2018-01-22 15:02:00,2018-01-22,2018-01-19,2018-01-19,Promoter Group,Market Purchase,Buy,Equity Shares,75000.0,0.0,0.0,0.0,0.0,1475000.0,0.26,1550000.0,0.27
APOLLOTYRE,2018-02-15 14:51:00,2018-02-15,2018-02-14,2018-02-14,Promoters,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,,0.0,100000.0,0.02
APOLLOTYRE,2018-02-20 15:53:00,2018-02-20,2018-02-19,2018-02-19,Promoters,Market Purchase,Buy,Equity Shares,105000.0,0.0,0.0,0.0,0.0,72138999.0,12.61,72243999.0,12.63
APOLLOTYRE,2018-02-21 13:03:00,2018-02-21,2018-02-20,2018-02-20,Promoters,Market Purchase,Buy,Equity Shares,75000.0,0.0,0.0,0.0,0.0,72243999.0,12.63,72318999.0,12.64
APOLLOTYRE,2018-02-22 13:42:00,2018-02-22,2018-02-21,2018-02-21,Promoters,Market Purchase,Buy,Equity Shares,40000.0,0.0,0.0,0.0,0.0,72318999.0,12.64,72358999.0,12.65
APOLLOTYRE,2018-02-23 15:33:00,2018-02-23,2018-02-22,2018-02-22,Promoters,Market Purchase,Buy,Equity Shares,240000.0,0.0,0.0,0.0,0.0,72358999.0,12.65,72598999.0,12.69
APOLLOTYRE,2018-02-27 11:33:00,2018-02-26,2018-02-23,2018-02-23,Promoters,Market Purchase,Buy,Equity Shares,285000.0,0.0,0.0,0.0,0.0,72598999.0,12.69,72883999.0,12.74
APOLLOTYRE,2018-02-27 15:55:00,2018-02-27,2018-02-26,2018-02-26,Promoters,Market Purchase,Buy,Equity Shares,205790.0,0.0,0.0,0.0,0.0,72883999.0,12.74,73089789.0,12.78
APOLLOTYRE,2018-03-06 14:36:00,2018-03-01,2018-02-27,2018-02-28,Promoters,Market Purchase,Buy,Equity Shares,717872.0,0.0,0.0,0.0,0.0,73089789.0,12.78,73807661.0,12.9
APOLLOTYRE,2018-03-06 15:21:00,2018-03-01,2018-02-28,2018-02-28,Promoters,Market Purchase,Buy,Equity Shares,220000.0,0.0,0.0,0.0,0.0,36759650.0,6.43,36979650.0,6.46
APOLLOTYRE,2018-03-06 15:28:00,2018-03-06,2018-03-01,2018-03-05,Promoters,Market Purchase,Buy,Equity Shares,750528.0,0.0,0.0,0.0,0.0,36979650.0,6.46,37730178.0,6.6
APOLLOTYRE,2018-03-09 16:17:00,2018-03-08,2018-03-06,2018-03-06,Promoters,Market Purchase,Buy,Equity Shares,230000.0,0.0,0.0,0.0,0.0,37730178.0,6.6,37960178.0,6.64
