symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
APTECHT,2016-01-13 17:51:00,2016-01-11,2016-01-08,2016-01-08,Promoters,Market Sale,Sell,Equity Shares,743136.0,0.0,0.0,0.0,0.0,743136.0,1.862,,0.0
APTECHT,2016-01-20 17:13:00,2016-01-05,2016-01-04,2016-01-04,Promoters,Inter-se-Transfer,Buy,Equity Shares,1490024.0,0.0,0.0,0.0,0.0,2555977.0,6.407,4046001.0,10.142
APTECHT,2016-01-20 17:13:00,2016-01-05,2016-01-04,2016-01-04,Promoters,Inter-se-Transfer,Sell,Equity Shares,1490024.0,0.0,0.0,0.0,0.0,9933496.0,24.9,8443472.0,21.165
APTECHT,2016-05-19 19:34:00,2016-05-18,2016-05-17,2016-05-17,Director,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,,0.0,50000.0,0.12
APTECHT,2016-05-26 11:24:00,2016-05-25,2016-05-24,2016-05-24,Director,Market Purchase,Buy,Equity Shares,101000.0,0.0,0.0,0.0,0.0,25000.0,0.06,126000.0,0.31
APTECHT,2016-06-02 12:37:00,2016-06-01,2016-05-30,2016-05-30,Director,Market Purchase,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,126000.0,0.31,131000.0,0.32
APTECHT,2016-06-02 12:37:00,2016-06-01,2016-05-31,2016-05-31,Director,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,131000.0,0.32,181000.0,0.45
APTECHT,2016-06-09 17:40:00,2016-06-09,2016-06-08,2016-06-08,Director,Market Purchase,Buy,Equity Shares,9999.0,0.0,0.0,0.0,0.0,1.0,0.0,10000.0,0.025
APTECHT,2016-06-15 18:53:00,2016-06-15,2016-06-13,2016-06-13,Director,Market Purchase,Buy,Equity Shares,2500.0,0.0,0.0,0.0,0.0,181000.0,0.45,183500.0,0.46
APTECHT,2016-06-27 10:52:00,2016-06-25,2016-06-24,2016-06-24,Director,Market Purchase,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,183500.0,0.46,208500.0,0.52
APTECHT,2016-08-11 19:50:00,2016-08-10,2016-08-09,2016-08-09,Promoters,Market Purchase,Buy,Equity Shares,700000.0,0.0,0.0,0.0,0.0,4319100.0,10.82,5019100.0,12.58
APTECHT,2016-08-30 16:30:00,2016-08-29,2016-08-26,2016-08-26,Immediate relative,Market Purchase,Buy,Equity Shares,4000.0,0.0,0.0,0.0,0.0,,0.0,4000.0,0.1
APTECHT,2016-08-30 16:30:00,2016-08-29,2016-08-29,2016-08-29,Immediate relative,Market Purchase,Buy,Equity Shares,4000.0,0.0,0.0,0.0,0.0,4000.0,0.1,8000.0,0.1
APTECHT,2016-09-02 14:55:00,2016-08-31,2016-08-26,2016-08-26,Immediate relative,Market Purchase,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,,0.0,12500.0,0.03
