symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ARSSINFRA,2016-12-06 16:14:00,2016-12-02,2016-12-01,2016-12-02,Promoters,Market Sale,Sell,Equity Shares,32079.0,0.0,0.0,0.0,0.0,61671.0,0.42,29592.0,0.2
ARSSINFRA,2016-12-07 14:57:00,2016-12-07,2016-12-05,2016-12-06,Promoter Group,Market Sale,Sell,Equity Shares,8592.0,0.0,0.0,0.0,0.0,29592.0,0.2,21000.0,0.14
ARSSINFRA,2016-12-10 16:10:00,2016-12-09,2016-12-07,2016-12-08,Promoter Group,Market Sale,Sell,Equity Shares,21000.0,0.0,0.0,0.0,0.0,21000.0,0.14,,0.0
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoters,Preferential Offer,Buy,Equity Shares,213249.0,0.0,0.0,0.0,0.0,65398.0,0.44,278647.0,1.23
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoter Group,Preferential Offer,Buy,Equity Shares,3393031.0,0.0,0.0,0.0,0.0,,0.0,3393031.0,14.92
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoter Group,Preferential Offer,Buy,Equity Shares,217368.0,0.0,0.0,0.0,0.0,15.0,0.0,217383.0,0.96
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoters,Preferential Offer,Buy,Equity Shares,208108.0,0.0,0.0,0.0,0.0,1173500.0,7.91,1381608.0,6.08
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoters,Preferential Offer,Buy,Equity Shares,182745.0,0.0,0.0,0.0,0.0,356000.0,2.4,538745.0,2.37
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoters,Preferential Offer,Buy,Equity Shares,49821.0,0.0,0.0,0.0,0.0,290000.0,1.95,339821.0,1.49
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoter Group,Preferential Offer,Buy,Equity Shares,3183480.0,0.0,0.0,0.0,0.0,,0.0,3183480.0,14.0
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoter Group,Preferential Offer,Buy,Equity Shares,184474.0,0.0,0.0,0.0,0.0,9.0,0.0,184483.0,0.81
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoter Group,Preferential Offer,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,20.0,0.0,20020.0,0.09
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoter Group,Preferential Offer,Buy,Equity Shares,118684.0,0.0,0.0,0.0,0.0,20.0,0.0,118704.0,0.52
ARSSINFRA,2017-08-10 13:23:00,2017-08-09,2017-08-09,2017-08-09,Promoter Group,Preferential Offer,Buy,Equity Shares,123776.0,0.0,0.0,0.0,0.0,20.0,0.0,123796.0,0.54
