symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ASIANPAINT,2016-06-08 09:15:00,2016-06-06,2016-06-03,2016-06-03,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,3550910.0,0.0,0.0,0.0,0.0,601400.0,0.06,4152310.0,0.43
ASIANPAINT,2016-06-17 16:37:00,2016-06-16,2016-06-16,2016-06-16,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,86400.0,0.0,0.0,0.0,0.0,25200.0,0.0026,111600.0,
ASIANPAINT,2018-05-24 19:18:00,2018-05-23,2018-05-22,2018-05-22,Promoter Group,Market Purchase,Buy,Equity Shares,340000.0,0.0,0.0,0.0,0.0,22810730.0,2.38,23150730.0,2.41
ASIANPAINT,2019-02-25 21:15:00,2019-02-22,2019-02-20,2019-02-20,Promoters,Off Market,Buy,Equity Shares,366640.0,0.0,0.0,0.0,0.0,419060.0,0.04,785700.0,0.08
ASIANPAINT,2019-02-25 21:15:00,2019-02-21,2019-02-20,2019-02-20,Promoters,Off Market,Sell,Equity Shares,366640.0,0.0,0.0,0.0,0.0,366640.0,0.04,,0.0
ASIANPAINT,2019-02-27 11:14:00,2019-02-26,2019-02-22,2019-02-22,Promoters,Pledge Creation,Pledge,Equity Shares,160000.0,0.0,0.0,0.0,0.0,189550.0,0.02,189550.0,0.02
ASIANPAINT,2019-03-04 16:34:00,2019-03-01,2019-02-27,2019-02-27,Promoters,Inter-se-Transfer,Buy,Equity Shares,838110.0,0.0,0.0,0.0,0.0,,0.0,838110.0,0.09
ASIANPAINT,2019-03-05 13:22:00,2019-03-01,2019-02-27,2019-02-27,Promoters,Inter-se-Transfer,Sell,Equity Shares,838110.0,0.0,0.0,0.0,0.0,838110.0,0.09,,0.0
ASIANPAINT,2019-03-25 19:02:00,2019-03-22,2019-03-20,2019-03-20,Promoters,Inter-se-Transfer,Sell,Equity Shares,253620.0,0.0,0.0,0.0,0.0,253620.0,0.03,,0.0
ASIANPAINT,2019-03-25 19:02:00,2019-03-22,2019-03-20,2019-03-20,Promoters,Inter-se-Transfer,Buy,Equity Shares,50724.0,0.0,0.0,0.0,0.0,,0.0,50724.0,0.0
ASIANPAINT,2019-03-25 19:02:00,2019-03-22,2019-03-20,2019-03-20,Promoters,Inter-se-Transfer,Buy,Equity Shares,50724.0,0.0,0.0,0.0,0.0,,0.0,50724.0,0.0
ASIANPAINT,2019-03-25 19:02:00,2019-03-22,2019-03-20,2019-03-20,Promoters,Inter-se-Transfer,Buy,Equity Shares,101448.0,0.0,0.0,0.0,0.0,,0.0,101448.0,0.01
ASIANPAINT,2019-03-25 19:02:00,2019-03-22,2019-03-20,2019-03-20,Promoters,Inter-se-Transfer,Buy,Equity Shares,50724.0,0.0,0.0,0.0,0.0,,0.0,50724.0,0.0
ASIANPAINT,2019-06-20 18:09:00,2019-06-19,2019-06-07,2019-06-07,Immediate relative,Others,Sell,Equity Shares,760.0,0.0,0.0,0.0,0.0,760.0,0.0,,0.0
ASIANPAINT,2019-06-21 20:09:00,2019-06-20,2019-06-19,2019-06-19,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,150000.0,0.0,0.0,0.0,0.0,1329500.0,0.14,1329500.0,0.14
ASIANPAINT,2019-08-06 17:15:00,2019-08-05,2019-08-01,2019-08-01,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,865000.0,0.0,0.0,0.0,0.0,54084120.0,5.64,54084120.0,5.64
ASIANPAINT,2019-08-21 18:01:00,2019-08-20,2019-08-19,2019-08-19,Promoters,Pledge Creation,Pledge,Equity Shares,329000.0,0.0,0.0,0.0,0.0,1329500.0,0.14,1329500.0,0.14
ASIANPAINT,2019-08-26 13:24:00,2019-08-23,2019-08-21,2019-08-21,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,997000.0,0.0,0.0,0.0,0.0,1329500.0,0.14,1329500.0,0.14
ASIANPAINT,2019-08-26 13:24:00,2019-08-23,2019-08-22,2019-08-22,Promoters,Pledge Creation,Pledge,Equity Shares,761910.0,0.0,0.0,0.0,0.0,1329500.0,0.14,1329500.0,0.14
ASIANPAINT,2019-08-28 20:02:00,2019-08-27,2019-08-23,2019-08-23,Promoters,Pledge Creation,Pledge,Equity Shares,1818181.0,0.0,0.0,0.0,0.0,52884120.0,5.51,52884120.0,5.51
ASIANPAINT,2019-08-28 20:02:00,2019-08-28,2019-08-27,2019-08-27,Promoters,Inter-se-Transfer,Sell,Equity Shares,625000.0,0.0,0.0,0.0,0.0,49267440.0,5.14,48642440.0,5.07
ASIANPAINT,2019-08-28 20:02:00,2019-08-28,2019-08-27,2019-08-27,Promoters,Inter-se-Transfer,Buy,Equity Shares,625000.0,0.0,0.0,0.0,0.0,52884120.0,5.51,53509120.0,5.58
ASIANPAINT,2019-09-12 15:38:00,2019-09-11,2019-09-09,2019-09-09,Promoters,Pledge Creation,Pledge,Equity Shares,1818000.0,0.0,0.0,0.0,0.0,54084120.0,5.64,54084120.0,5.64
ASIANPAINT,2019-09-13 16:21:00,2019-09-13,2019-09-12,2019-09-12,Promoters,Inter-se-Transfer,Sell,Equity Shares,630000.0,0.0,0.0,0.0,0.0,48642440.0,5.07,48012440.0,5.01
ASIANPAINT,2019-09-17 14:00:00,2019-09-16,2019-09-13,2019-09-13,Promoters,Off Market,Buy,Equity Shares,785700.0,0.0,0.0,0.0,0.0,838110.0,0.09,1623810.0,0.17
ASIANPAINT,2019-09-17 14:00:00,2019-09-16,2019-09-13,2019-09-13,Promoters,Off Market,Sell,Equity Shares,785700.0,0.0,0.0,0.0,0.0,785700.0,0.08,,0.0
ASIANPAINT,2019-09-17 14:00:00,2019-09-13,2019-09-12,2019-09-12,Promoters,Inter-se-Transfer,Buy,Equity Shares,630000.0,0.0,0.0,0.0,0.0,54084120.0,5.64,54714120.0,5.7
ASIANPAINT,2019-09-20 18:25:00,2019-09-19,2019-09-18,2019-09-18,Promoters,Inter-se-Transfer,Buy,Equity Shares,785700.0,0.0,0.0,0.0,0.0,,0.0,785700.0,0.08
ASIANPAINT,2019-09-20 18:25:00,2019-09-19,2019-09-18,2019-09-18,Promoters,Inter-se-Transfer,Sell,Equity Shares,785700.0,0.0,0.0,0.0,0.0,1623810.0,0.17,838110.0,0.09
ASIANPAINT,2019-09-20 18:25:00,2019-09-20,2019-09-19,2019-09-19,Promoters,Pledge Creation,Pledge,Equity Shares,1818000.0,0.0,0.0,0.0,0.0,54714120.0,5.7,54714120.0,5.7
ASIANPAINT,2019-09-23 20:44:00,2019-09-23,2019-09-20,2019-09-20,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,3000000.0,0.0,0.0,0.0,0.0,48012440.0,5.01,48012440.0,5.01
ASIANPAINT,2019-09-23 20:44:00,2019-09-23,2019-09-19,2019-09-19,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,2048382.0,0.0,0.0,0.0,0.0,48012440.0,5.01,48012440.0,5.01
ASIANPAINT,2019-11-15 18:36:00,2019-11-15,2019-11-13,2019-11-13,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,125000.0,0.0,0.0,0.0,0.0,1329500.0,0.14,1329500.0,0.14
ASIANPAINT,2019-12-05 16:01:00,2019-12-04,2019-12-03,2019-12-03,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,57500.0,0.0,0.0,0.0,0.0,54714120.0,5.7,54771620.0,5.71
ASIANPAINT,2019-12-05 16:01:00,2019-12-03,2019-12-03,2019-12-03,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,115000.0,0.0,0.0,0.0,0.0,1239870.0,0.13,1124870.0,0.12
ASIANPAINT,2019-12-05 16:01:00,2019-12-03,2019-12-03,2019-12-03,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,57500.0,0.0,0.0,0.0,0.0,53509120.0,5.58,53566620.0,5.58
ASIANPAINT,2019-12-18 10:59:00,2019-12-17,2019-12-17,2019-12-17,Promoters,Pledge Creation,Pledge,Equity Shares,3417000.0,0.0,0.0,0.0,0.0,53566620.0,5.58,53566620.0,5.58
ASIANPAINT,2019-12-20 20:09:00,2019-12-19,2019-12-18,2019-12-18,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,1145000.0,0.0,0.0,0.0,0.0,48012440.0,5.01,46867440.0,4.89
ASIANPAINT,2019-12-20 20:09:00,2019-12-19,2019-12-18,2019-12-18,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,1145000.0,0.0,0.0,0.0,0.0,53566620.0,5.58,54711620.0,5.7
ASIANPAINT,2020-02-07 19:28:00,2020-02-06,2020-02-05,2020-02-05,Promoters,Pledge Creation,Pledge,Equity Shares,925000.0,0.0,0.0,0.0,0.0,46867440.0,4.89,46867440.0,4.89
ASIANPAINT,2020-02-07 19:28:00,2020-02-06,2020-02-06,2020-02-06,Promoters,Inter-se-Transfer,Buy,Equity Shares,1161300.0,0.0,0.0,0.0,0.0,54711620.0,5.7,55872920.0,5.82
ASIANPAINT,2020-02-07 19:28:00,2020-02-06,2020-02-05,2020-02-05,Promoters,Pledge Creation,Pledge,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,46867440.0,4.89,46867440.0,4.89
ASIANPAINT,2020-02-07 19:28:00,2020-02-06,2020-02-05,2020-02-05,Promoters,Pledge Creation,Pledge,Equity Shares,693000.0,0.0,0.0,0.0,0.0,46867440.0,4.89,46867440.0,4.89
ASIANPAINT,2020-02-07 19:28:00,2020-02-06,2020-02-06,2020-02-06,Promoters,Inter-se-Transfer,Sell,Equity Shares,1161300.0,0.0,0.0,0.0,0.0,46867440.0,4.89,45706140.0,4.77
ASIANPAINT,2020-02-07 19:28:00,2020-02-06,2020-02-04,2020-02-04,Promoters,Pledge Creation,Pledge,Equity Shares,1548200.0,0.0,0.0,0.0,0.0,54711620.0,5.7,54711620.0,5.7
ASIANPAINT,2020-02-07 19:28:00,2020-02-06,2020-02-05,2020-02-05,Promoters,Pledge Creation,Pledge,Equity Shares,5280000.0,0.0,0.0,0.0,0.0,54711620.0,5.7,54711620.0,5.7
ASIANPAINT,2020-03-04 20:47:00,2020-03-03,2020-02-29,2020-02-29,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,3000.0,0.0,0.0,0.0,0.0,1329500.0,0.14,1329500.0,0.14
ASIANPAINT,2020-03-04 20:47:00,2020-03-04,2020-03-02,2020-03-02,Promoters,Off Market,Buy,Equity Shares,50724.0,0.0,0.0,0.0,0.0,55872920.0,5.82,55923644.0,5.83
ASIANPAINT,2020-03-04 20:47:00,2020-03-04,2020-03-02,2020-03-02,Promoters,Off Market,Sell,Equity Shares,50724.0,0.0,0.0,0.0,0.0,50724.0,0.0,,0.0
ASIANPAINT,2020-03-04 20:47:00,2020-03-04,2020-03-03,2020-03-03,Promoters,Inter-se-Transfer,Buy,Equity Shares,101448.0,0.0,0.0,0.0,0.0,55923644.0,5.83,56025092.0,5.84
ASIANPAINT,2020-03-04 20:47:00,2020-03-04,2020-03-03,2020-03-03,Promoters,Inter-se-Transfer,Sell,Equity Shares,101448.0,0.0,0.0,0.0,0.0,101448.0,0.01,,0.0
ASIANPAINT,2020-03-05 20:09:00,2020-03-05,2020-03-04,2020-03-04,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,6147860.0,0.0,0.0,0.0,0.0,45706140.0,4.77,45706140.0,4.77
ASIANPAINT,2020-03-05 20:09:00,2020-03-05,2020-03-03,2020-03-03,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,7800000.0,0.0,0.0,0.0,0.0,45706140.0,4.77,45706140.0,4.77
ASIANPAINT,2020-03-11 13:12:00,2020-03-09,2020-03-06,2020-03-06,Promoters,Off Market,Buy,Equity Shares,101448.0,0.0,0.0,0.0,0.0,54771620.0,5.71,54873068.0,5.72
ASIANPAINT,2020-03-11 13:12:00,2020-03-09,2020-03-06,2020-03-06,Promoters,Off Market,Sell,Equity Shares,50724.0,0.0,0.0,0.0,0.0,50724.0,0.01,,0.0
ASIANPAINT,2020-03-11 13:12:00,2020-03-09,2020-03-06,2020-03-06,Promoters,Off Market,Sell,Equity Shares,50724.0,0.0,0.0,0.0,0.0,50724.0,0.01,,0.0
ASIANPAINT,2020-03-12 13:25:00,2020-03-11,2020-03-09,2020-03-09,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,2900.0,0.0,0.0,0.0,0.0,45706140.0,4.77,45706140.0,4.77
ASIANPAINT,2020-03-18 19:14:00,2020-03-17,2020-03-16,2020-03-16,Promoters,Pledge Creation,Pledge,Equity Shares,600000.0,0.0,0.0,0.0,0.0,54873068.0,5.72,54873068.0,5.72
ASIANPAINT,2020-03-18 19:14:00,2020-03-18,2020-03-17,2020-03-17,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,899000.0,0.0,0.0,0.0,0.0,19001760.0,1.98,19001760.0,1.98
ASIANPAINT,2020-03-24 19:53:00,2020-03-20,2020-03-19,2020-03-19,Promoters,Inter-se-Transfer,Buy,Equity Shares,363590.0,0.0,0.0,0.0,0.0,56025092.0,5.84,56388682.0,5.88
ASIANPAINT,2020-03-24 19:53:00,2020-03-21,2020-03-20,2020-03-20,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,527000.0,0.0,0.0,0.0,0.0,4325790.0,0.45,4325790.0,0.45
ASIANPAINT,2020-03-24 19:53:00,2020-03-20,2020-03-18,2020-03-18,Promoters,Pledge Creation,Pledge,Equity Shares,697000.0,0.0,0.0,0.0,0.0,1608975.0,0.17,1608975.0,0.17
ASIANPAINT,2020-03-24 19:53:00,2020-03-20,2020-03-19,2020-03-19,Promoters,Inter-se-Transfer,Sell,Equity Shares,363590.0,0.0,0.0,0.0,0.0,1329500.0,0.14,965910.0,0.1
ASIANPAINT,2020-03-31 15:57:00,2020-03-30,2020-03-27,2020-03-27,Promoters,Pledge Creation,Pledge,Equity Shares,1320000.0,0.0,0.0,0.0,0.0,56388682.0,5.88,56388682.0,5.88
ASIANPAINT,2020-06-15 20:57:00,2020-06-12,2020-06-11,2020-06-11,Promoters,Pledge Creation,Pledge,Equity Shares,154000.0,0.0,0.0,0.0,0.0,45706140.0,4.77,45706140.0,4.77
ASIANPAINT,2020-06-15 20:57:00,2020-06-12,2020-06-11,2020-06-11,Promoters,Pledge Creation,Pledge,Equity Shares,1539000.0,0.0,0.0,0.0,0.0,45706140.0,4.77,45706140.0,4.77
ASIANPAINT,2020-06-15 20:57:00,2020-06-12,2020-06-11,2020-06-11,Promoters,Pledge Creation,Pledge,Equity Shares,385000.0,0.0,0.0,0.0,0.0,45706140.0,4.77,45706140.0,4.77
ASIANPAINT,2020-07-01 18:04:00,2020-06-30,2020-06-29,2020-06-29,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,2750000.0,0.0,0.0,0.0,0.0,45706140.0,4.77,45706140.0,4.77
ASIANPAINT,2020-07-01 18:04:00,2020-06-30,2020-06-26,2020-06-26,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,965910.0,0.0,0.0,0.0,0.0,965910.0,0.1,965910.0,0.1
ASIANPAINT,2020-07-01 18:04:00,2020-06-29,2020-06-26,2020-06-26,Promoters,Pledge Creation,Pledge,Equity Shares,693000.0,0.0,0.0,0.0,0.0,54873068.0,5.72,54873068.0,5.72
ASIANPAINT,2020-07-01 18:04:00,2020-06-29,2020-06-26,2020-06-26,Promoters,Pledge Creation,Pledge,Equity Shares,93000.0,0.0,0.0,0.0,0.0,54873068.0,5.72,54873068.0,5.72
ASIANPAINT,2020-08-07 23:05:00,2020-08-06,2020-08-05,2020-08-05,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,170000.0,0.0,0.0,0.0,0.0,4325790.0,0.45,4325790.0,0.45
ASIANPAINT,2020-08-24 12:55:00,2020-08-20,2020-08-13,2020-08-13,Employees/Designated Employees,Pledge Creation,Pledge,Equity Shares,640.0,0.0,0.0,0.0,0.0,640.0,0.0,640.0,0.0
ASIANPAINT,2020-08-31 16:49:00,2020-08-28,2020-08-18,2020-08-18,Employees/Designated Employees,Revokation of Pledge,Pledge Revoke,Equity Shares,640.0,0.0,0.0,0.0,0.0,640.0,0.0,640.0,0.0
ASIANPAINT,2020-09-07 17:11:00,2020-09-04,2020-09-02,2020-09-02,Promoters,Pledge Creation,Pledge,Equity Shares,357000.0,0.0,0.0,0.0,0.0,56388682.0,5.88,56388682.0,5.88
ASIANPAINT,2020-09-17 21:55:00,2020-09-17,2020-09-15,2020-09-15,Promoters,Pledge Creation,Pledge,Equity Shares,214000.0,0.0,0.0,0.0,0.0,56388682.0,5.88,56388682.0,5.88
