symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BAJAJELEC,2015-11-30 14:39:00,2015-11-27,2015-11-25,2015-11-25,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,500.0,0.0,5500.0,0.0054
BAJAJELEC,2015-12-09 18:57:00,2015-12-08,2015-11-25,2015-11-25,Employees/Designated Employees,ESOP,Buy,Equity Shares,4500.0,0.0,0.0,0.0,0.0,1000.0,0.0009,5500.0,0.0054
BAJAJELEC,2015-12-10 18:39:00,2015-12-09,2015-12-04,2015-12-04,Employees/Designated Employees,Pledge Creation,Pledge,Equity Shares,26846.0,0.0,0.0,0.0,0.0,26846.0,0.0266,26846.0,0.0266
BAJAJELEC,2016-01-18 13:28:00,2016-01-14,2015-12-17,2015-12-17,Employees/Designated Employees,Market Sale,Sell,Equity Shares,788.0,0.0,0.0,0.0,0.0,10869.0,0.0107,10081.0,0.0099
BAJAJELEC,2016-01-18 13:28:00,2016-01-14,2015-12-17,2015-12-17,Employees/Designated Employees,Revokation of Pledge,Pledge Revoke,Equity Shares,788.0,0.0,0.0,0.0,0.0,10869.0,0.0107,10869.0,0.0107
BAJAJELEC,2016-01-18 13:28:00,2016-01-14,2015-12-04,2015-12-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,768.0,0.0,0.0,0.0,0.0,11637.0,0.0115,10869.0,0.0107
BAJAJELEC,2016-01-18 13:28:00,2016-01-14,2015-12-04,2015-12-04,Employees/Designated Employees,Revokation of Pledge,Pledge Revoke,Equity Shares,768.0,0.0,0.0,0.0,0.0,11637.0,0.0115,11637.0,0.0115
BAJAJELEC,2016-01-18 13:28:00,2016-01-14,2015-11-19,2015-11-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,738.0,0.0,0.0,0.0,0.0,12375.0,0.0122,11637.0,0.0115
BAJAJELEC,2016-01-18 13:28:00,2016-01-14,2015-12-23,2015-12-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,535.0,0.0,0.0,0.0,0.0,10081.0,0.0099,9546.0,0.0094
BAJAJELEC,2016-01-18 13:28:00,2016-01-14,2015-11-19,2015-11-19,Employees/Designated Employees,Revokation of Pledge,Pledge Revoke,Equity Shares,738.0,0.0,0.0,0.0,0.0,12375.0,0.0122,12375.0,0.0122
BAJAJELEC,2016-01-19 13:18:00,2016-01-14,2015-12-17,2015-12-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1323.0,0.0,0.0,0.0,0.0,10869.0,0.0122,9546.0,0.0094
BAJAJELEC,2016-01-19 13:18:00,2016-01-14,2015-12-17,2015-12-17,Employees/Designated Employees,Revokation of Pledge,Pledge Revoke,Equity Shares,788.0,0.0,0.0,0.0,0.0,10869.0,0.0122,10869.0,0.0122
BAJAJELEC,2016-01-19 13:18:00,2016-01-14,2015-12-04,2015-12-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,768.0,0.0,0.0,0.0,0.0,11637.0,0.0122,10869.0,0.0122
