symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BAJAJFINSV,2016-06-01 17:31:00,2016-06-01,2016-05-30,2016-05-30,Promoters,Inter-se-Transfer,Buy,Equity Shares,89000.0,0.0,0.0,0.0,0.0,552780.0,0.35,641780.0,0.4
BAJAJFINSV,2016-12-22 16:13:00,2016-12-22,2016-12-20,2016-12-20,Promoters,Gift,Sell,Equity Shares,152954.0,0.0,0.0,0.0,0.0,641780.0,0.4,488826.0,0.31
BAJAJFINSV,2016-12-22 16:13:00,2016-12-22,2016-12-20,2016-12-20,Promoters,Gift,Buy,Equity Shares,76477.0,0.0,0.0,0.0,0.0,1065638.0,0.67,1142115.0,0.72
BAJAJFINSV,2016-12-22 16:13:00,2016-12-22,2016-12-20,2016-12-20,Promoters,Gift,Buy,Equity Shares,76477.0,0.0,0.0,0.0,0.0,932316.0,0.59,1008793.0,0.63
BAJAJFINSV,2017-08-07 17:33:00,2017-08-04,2017-07-11,2017-07-11,Promoter Group,Market Purchase,Buy,Equity Shares,2425.0,0.0,0.0,0.0,0.0,575904.0,0.36,578329.0,0.36
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-26,2017-12-26,Promoter Group,Gift,Sell,Equity Shares,460000.0,0.0,0.0,0.0,0.0,497107.0,0.31,37107.0,0.02
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-27,2017-12-27,Promoter Group,Gift,Buy,Equity Shares,44650.0,0.0,0.0,0.0,0.0,875000.0,0.55,919650.0,0.58
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-27,2017-12-27,Promoters,Gift,Sell,Equity Shares,16300.0,0.0,0.0,0.0,0.0,952115.0,0.6,935815.0,0.59
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-26,2017-12-26,Promoter Group,Gift,Buy,Equity Shares,190000.0,0.0,0.0,0.0,0.0,,0.0,190000.0,0.12
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-27,2017-12-27,Promoter Group,Gift,Sell,Equity Shares,7000.0,0.0,0.0,0.0,0.0,37107.0,0.02,30107.0,0.02
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-26,2017-12-26,Promoters,Gift,Sell,Equity Shares,190000.0,0.0,0.0,0.0,0.0,1142115.0,0.72,952115.0,0.6
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-27,2017-12-27,Promoter Group,Gift,Buy,Equity Shares,16300.0,0.0,0.0,0.0,0.0,190000.0,0.12,206300.0,0.13
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-26,2017-12-26,Promoters,Gift,Sell,Equity Shares,415000.0,0.0,0.0,0.0,0.0,488826.0,0.31,73826.0,0.05
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-27,2017-12-27,Promoters,Gift,Sell,Equity Shares,37650.0,0.0,0.0,0.0,0.0,73826.0,0.05,36176.0,0.02
BAJAJFINSV,2017-12-28 18:45:00,2017-12-28,2017-12-26,2017-12-26,Promoter Group,Gift,Buy,Equity Shares,875000.0,0.0,0.0,0.0,0.0,,0.0,875000.0,0.55
BAJAJFINSV,2017-12-29 14:59:00,2017-12-29,2017-12-27,2017-12-27,Promoter Group,Market Purchase,Buy,Equity Shares,170550.0,0.0,0.0,0.0,0.0,20700.0,0.01,191250.0,0.12
