symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BAJAJHLDNG,2015-11-20 19:58:00,2015-11-20,2015-11-18,2015-11-19,Promoters,Market Purchase,Buy,Equity Shares,9091.0,0.0,0.0,0.0,0.0,17706079.0,16.91,17715170.0,16.92
BAJAJHLDNG,2015-11-27 20:05:00,2015-11-17,2015-11-16,2015-11-16,Promoters,Market Purchase,Buy,Equity Shares,6510.0,0.0,0.0,0.0,0.0,8881.0,0.01,15391.0,0.01
BAJAJHLDNG,2015-12-01 10:25:00,2015-11-17,2015-11-16,2015-11-16,Promoters,Market Purchase,Buy,Equity Shares,54250.0,0.0,0.0,0.0,0.0,2709669.0,2.43,2763919.0,2.48
BAJAJHLDNG,2015-12-01 11:56:00,2015-11-25,2015-11-23,2015-11-24,Promoters,Market Purchase,Buy,Equity Shares,83831.0,0.0,0.0,0.0,0.0,17715170.0,0.0,17799001.0,15.99
BAJAJHLDNG,2016-02-17 17:18:00,2016-02-16,2016-02-12,2016-02-15,Promoters,Market Purchase,Buy,Equity Shares,8213.0,0.0,0.0,0.0,0.0,1862416.0,1.67,1870629.0,1.68
BAJAJHLDNG,2016-02-19 10:21:00,2016-02-18,2016-02-16,2016-02-17,Promoters,Market Purchase,Buy,Equity Shares,14131.0,0.0,0.0,0.0,0.0,1870629.0,1.68,1884760.0,1.69
BAJAJHLDNG,2016-02-23 15:40:00,2016-02-20,2016-02-18,2016-02-18,Promoters,Market Purchase,Buy,Equity Shares,1766.0,0.0,0.0,0.0,0.0,1884760.0,1.69,1886526.0,1.7
BAJAJHLDNG,2016-02-26 12:20:00,2016-02-25,2016-02-23,2016-02-24,Promoters,Market Purchase,Buy,Equity Shares,14401.0,0.0,0.0,0.0,0.0,1197380.0,1.08,1211781.0,1.09
BAJAJHLDNG,2016-02-29 11:20:00,2016-02-26,2016-02-24,2016-02-24,Promoters,Market Purchase,Buy,Equity Shares,41000.0,0.0,0.0,0.0,0.0,1169934.0,1.05,1210934.0,1.09
BAJAJHLDNG,2016-02-29 11:20:00,2016-02-25,2016-02-23,2016-02-23,Promoters,Market Purchase,Buy,Equity Shares,12150.0,0.0,0.0,0.0,0.0,1886526.0,1.7,1898676.0,1.71
BAJAJHLDNG,2016-03-02 09:25:00,2016-03-01,2016-02-26,2016-02-26,Promoters,Market Purchase,Buy,Equity Shares,2406.0,0.0,0.0,0.0,0.0,1210934.0,1.09,1213340.0,1.09
BAJAJHLDNG,2016-06-01 17:30:00,2016-06-01,2016-05-30,2016-05-30,Promoters,Inter-se-Transfer,Buy,Equity Shares,230900.0,0.0,0.0,0.0,0.0,1211781.0,1.09,1442681.0,1.3
BAJAJHLDNG,2016-09-22 16:54:00,2016-09-22,2016-09-20,2016-09-20,Promoters,Market Purchase,Buy,Equity Shares,15233.0,0.0,0.0,0.0,0.0,17914001.0,16.1,17929234.0,16.11
BAJAJHLDNG,2016-09-27 14:16:00,2016-09-27,2016-09-23,2016-09-26,Promoters,Market Purchase,Buy,Equity Shares,85510.0,0.0,0.0,0.0,0.0,17929234.0,16.11,18014744.0,16.19
BAJAJHLDNG,2016-09-30 17:13:00,2016-09-30,2016-09-28,2016-09-29,Promoters,Market Purchase,Buy,Equity Shares,117035.0,0.0,0.0,0.0,0.0,18014744.0,16.19,18131779.0,16.29
BAJAJHLDNG,2016-11-11 09:23:00,2016-11-09,2016-11-08,2016-11-08,Promoters,Market Purchase,Buy,Equity Shares,19100.0,0.0,0.0,0.0,0.0,182050.0,0.16,201150.0,0.18
BAJAJHLDNG,2016-11-11 09:23:00,2016-11-09,2016-11-08,2016-11-08,Promoters,Market Purchase,Buy,Equity Shares,53900.0,0.0,0.0,0.0,0.0,2628048.0,2.36,2681948.0,2.41
BAJAJHLDNG,2016-11-11 09:23:00,2016-11-09,2016-11-08,2016-11-08,Promoters,Market Purchase,Buy,Equity Shares,20200.0,0.0,0.0,0.0,0.0,151700.0,0.14,171900.0,0.15
BAJAJHLDNG,2016-11-11 09:23:00,2016-11-09,2016-11-08,2016-11-08,Promoters,Market Purchase,Buy,Equity Shares,8950.0,0.0,0.0,0.0,0.0,79850.0,0.07,88800.0,0.08
BAJAJHLDNG,2016-11-11 09:23:00,2016-11-09,2016-11-07,2016-11-08,Promoters,Market Purchase,Buy,Equity Shares,291000.0,0.0,0.0,0.0,0.0,18131779.0,16.29,18422779.0,16.55
BAJAJHLDNG,2016-11-11 09:23:00,2016-11-09,2016-11-07,2016-11-07,Promoters,Market Purchase,Buy,Equity Shares,60000.0,0.0,0.0,0.0,0.0,905740.0,0.81,965740.0,0.87
BAJAJHLDNG,2016-11-11 09:23:00,2016-11-09,2016-11-07,2016-11-08,Promoters,Market Purchase,Buy,Equity Shares,204500.0,0.0,0.0,0.0,0.0,2763919.0,2.48,2968419.0,2.67
