symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BANKBARODA,2017-08-14 20:45:00,2017-08-14,2017-08-14,2017-08-14,Director,Market Purchase,Buy,Equity Shares,35000.0,0.0,0.0,0.0,0.0,14500.0,0.0006,49500.0,0.0021
BANKBARODA,2017-09-07 18:33:00,2017-09-07,2017-09-07,2017-09-07,Director,Market Purchase,Buy,Equity Shares,18000.0,0.0,0.0,0.0,0.0,49500.0,0.0021,67500.0,0.0029
BANKBARODA,2017-11-23 19:58:00,2017-11-22,2017-11-15,2017-11-20,Promoters,Off Market,Sell,Equity Shares,12449966.0,0.0,0.0,0.0,0.0,1364940578.0,59.24,1352490612.0,58.7
BANKBARODA,2018-02-28 18:51:00,2018-02-28,2018-02-28,2018-02-28,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,14000.0,0.0,0.0,0.0,0.0,67500.0,0.0,81500.0,0.0
BANKBARODA,2018-04-07 13:58:00,2018-04-06,2018-03-27,2018-04-06,Promoters,Preferential Offer,Buy,Equity Shares,341356534.0,0.0,0.0,0.0,0.0,1352490612.0,58.7,1693847146.0,64.03
BANKBARODA,2018-06-22 16:14:00,2018-06-22,2018-06-20,2018-06-20,Promoters,Off Market,Sell,Equity Shares,8426453.0,0.0,0.0,0.0,0.0,1693847146.0,64.03,1685420693.0,63.71
BANKBARODA,2018-07-13 17:12:00,2018-06-22,2018-06-20,2018-06-20,Promoters,Off Market,Sell,Equity Shares,7552410.0,0.0,0.0,0.0,0.0,1693847146.0,64.03,1686294736.0,63.74
BANKBARODA,2019-02-25 09:58:00,2019-02-22,2019-02-18,2019-02-18,Promoters,Off Market,Sell,Equity Shares,12835716.0,0.0,0.0,0.0,0.0,1686294736.0,63.74,1673459020.0,63.26
BANKBARODA,2019-06-17 13:04:00,2019-06-17,2019-06-17,2019-06-17,Promoters,Preferential Offer,Buy,Equity Shares,428559286.0,0.0,0.0,0.0,0.0,2234620826.0,65.37,2663180112.0,69.23
BANKBARODA,2019-10-15 17:44:00,2019-10-15,2019-10-10,2019-10-10,Promoters,Off Market,Sell,Equity Shares,6461221.0,0.0,0.0,0.0,0.0,2663180112.0,69.23,2656718891.0,69.06
BANKBARODA,2019-12-12 16:52:00,2019-12-12,2019-12-12,2019-12-12,Promoter Group,Preferential Offer,Buy,Equity Shares,651465798.0,0.0,0.0,0.0,0.0,2656718891.0,66.94,3308184689.0,71.6
BANKBARODA,2024-06-04 12:35:00,2024-06-03,2024-06-03,2024-06-03,Employees/Designated Employees,ESOP,Sell,Equity Shares,7500.0,0.0,0.0,0.0,0.0,7515.0,0.0,15.0,0.0
