symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BFUTILITIE,2016-12-06 10:29:00,2016-12-05,2016-12-02,2016-12-02,Promoter Group,Others,Pledge,Equity Shares,181818.0,0.0,0.0,0.0,0.0,10292103.0,27.32,181818.0,0.48
BFUTILITIE,2016-12-06 10:29:00,2016-12-05,2016-12-02,2016-12-02,Promoter Group,Off Market,Sell,Equity Shares,1818180.0,0.0,0.0,0.0,0.0,10292103.0,27.32,8473923.0,22.01
BFUTILITIE,2017-01-03 10:56:00,2017-01-02,2016-12-31,2016-12-31,Promoter Group,Off Market,Sell,Equity Shares,1645569.0,0.0,0.0,0.0,0.0,8292105.0,22.01,6646536.0,17.65
BFUTILITIE,2017-04-18 14:15:00,2017-04-18,2017-02-10,2017-02-10,Promoter Group,Off Market,Pledge Revoke,Equity Shares,2350.0,0.0,0.0,0.0,0.0,6646536.0,17.64,6648886.0,17.65
BFUTILITIE,2017-11-03 16:09:00,2017-11-03,2017-11-02,2017-11-02,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,28270.0,0.0,0.0,0.0,0.0,28270.0,0.08,,0.0
BFUTILITIE,2017-11-03 16:17:00,2017-11-03,2017-11-02,2017-11-02,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,28270.0,0.0,0.0,0.0,0.0,211103.0,0.56,239373.0,0.64
BFUTILITIE,2018-02-15 12:44:00,2018-02-15,2018-02-15,2018-02-15,Immediate relative,Gift,Buy,Equity Shares,4000.0,0.0,0.0,0.0,0.0,,0.0,4000.0,0.01
BFUTILITIE,2019-11-01 15:29:00,2019-11-01,2019-07-08,2019-07-08,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,4800.0,0.0,0.0,0.0,0.0,,0.0,4800.0,0.01
BFUTILITIE,2019-11-01 15:29:00,2019-11-01,2019-07-10,2019-07-10,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,4800.0,0.0,0.0,0.0,0.0,672.0,0.0,5472.0,0.01
BFUTILITIE,2023-06-30 14:28:00,2023-06-30,2023-06-20,2023-06-21,-,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,,0.0,10000.0,0.03
BFUTILITIE,2024-12-31 14:15:00,2024-12-31,2024-12-30,2024-12-30,Other,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,5472.0,0.01,472.0,0.0
BFUTILITIE,2026-03-06 12:41:00,2026-03-05,2026-03-04,2026-03-04,Other,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,10000.0,0.03,,0.0
