symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BLISSGVS,2015-12-03 13:18:00,2015-11-24,2015-11-24,2015-11-24,Promoters,Market Sale,Sell,Equity Shares,34000.0,0.0,0.0,0.0,0.0,34000.0,0.03,,0.0
BLISSGVS,2015-12-03 13:18:00,2015-11-23,2015-11-23,2015-11-23,Promoters,Market Sale,Sell,Equity Shares,646000.0,0.0,0.0,0.0,0.0,700000.0,0.68,54000.0,0.05
BLISSGVS,2015-12-03 13:18:00,2015-11-23,2015-11-23,2015-11-23,Promoters,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,54000.0,0.05,34000.0,0.03
BLISSGVS,2015-12-08 18:23:00,2015-12-03,2015-12-03,2015-12-03,Promoters,Market Sale,Sell,Equity Shares,300000.0,0.0,0.0,0.0,0.0,1500000.0,1.45,1200000.0,1.16
BLISSGVS,2015-12-08 18:23:00,2015-12-04,2015-12-04,2015-12-04,Promoters,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,1200000.0,1.16,1000000.0,0.97
BLISSGVS,2016-12-07 16:12:00,2016-12-02,2016-12-02,2016-12-02,Immediate relative,Market Sale,Sell,Equity Shares,170.0,0.0,0.0,0.0,0.0,7170.0,0.0,7000.0,0.0
BLISSGVS,2016-12-07 16:12:00,2016-12-02,2016-12-02,2016-12-02,Immediate relative,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,,0.0
BLISSGVS,2016-12-07 16:12:00,2016-12-02,2016-12-02,2016-12-02,Immediate relative,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,,0.0
BLISSGVS,2016-12-07 16:12:00,2016-12-05,2016-12-05,2016-12-05,Director,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,50000.0,0.05,,0.0
BLISSGVS,2016-12-07 16:12:00,2016-12-05,2016-12-05,2016-12-05,Immediate relative,Market Sale,Sell,Equity Shares,7000.0,0.0,0.0,0.0,0.0,7000.0,0.0,,0.0
BLISSGVS,2016-12-07 16:12:00,2016-12-02,2016-12-02,2016-12-02,Director,Market Sale,Sell,Equity Shares,37600.0,0.0,0.0,0.0,0.0,87600.0,0.08,50000.0,0.05
