symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BLS,2020-08-06 16:51:00,2020-08-05,2020-08-03,2020-08-04,Promoters,Market Purchase,Buy,Equity Shares,26559.0,0.0,0.0,0.0,0.0,2001582.0,1.95,2028141.0,1.98
BLS,2020-08-10 12:17:00,2020-08-10,2020-08-07,2020-08-07,Promoters,Market Purchase,Buy,Equity Shares,80000.0,0.0,0.0,0.0,0.0,2028141.0,1.98,2108141.0,2.06
BLS,2020-08-17 17:23:00,2020-08-17,2020-06-30,2020-06-30,Promoters,Market Purchase,Buy,Equity Shares,56625.0,0.0,0.0,0.0,0.0,,0.0,56625.0,0.06
BLS,2020-08-21 14:41:00,2020-08-21,2020-08-20,2020-08-20,Other,Market Purchase,Buy,Equity Shares,150000.0,0.0,0.0,0.0,0.0,,0.0,150000.0,0.15
BLS,2020-10-05 16:47:00,2020-09-30,2020-08-31,2020-09-28,Other,Market Purchase,Buy,Equity Shares,12773.0,0.0,0.0,0.0,0.0,150000.0,0.15,162773.0,0.16
BLS,2021-02-15 11:00:00,2021-02-15,2021-02-12,2021-02-12,Promoters,Market Purchase,Buy,Equity Shares,73200.0,0.0,0.0,0.0,0.0,2108141.0,2.06,2181341.0,2.13
BLS,2021-02-17 17:03:00,2021-02-17,2021-02-15,2021-02-15,Promoter Group,Market Purchase,Buy,Equity Shares,65000.0,0.0,0.0,0.0,0.0,56625.0,0.06,121625.0,0.12
BLS,2021-02-17 17:05:00,2021-02-17,2021-02-16,2021-02-16,Promoters,Market Purchase,Buy,Equity Shares,50130.0,0.0,0.0,0.0,0.0,2181341.0,2.13,2231471.0,2.18
BLS,2021-10-29 21:04:00,2021-10-28,2021-10-26,2021-10-26,-,ESOP,Buy,Equity Shares,13000.0,0.0,0.0,0.0,0.0,,0.0,13000.0,0.01
BLS,2021-10-29 21:04:00,2021-10-28,2021-10-26,2021-10-26,Key Managerial Personnel,ESOP,Buy,Equity Shares,15000.0,0.0,0.0,0.0,0.0,,0.0,15000.0,0.01
BLS,2021-10-29 21:04:00,2021-10-28,2021-10-27,2021-10-27,-,ESOP,Buy,Equity Shares,12000.0,0.0,0.0,0.0,0.0,,0.0,12000.0,0.01
BLS,2021-10-29 21:04:00,2021-10-28,2021-10-26,2021-10-27,Other,ESOP,Sell,Equity Shares,56000.0,0.0,0.0,0.0,0.0,162773.0,0.16,106773.0,0.1
BLS,2021-10-29 21:04:00,2021-10-28,2021-10-26,2021-10-26,-,ESOP,Buy,Equity Shares,16000.0,0.0,0.0,0.0,0.0,,0.0,16000.0,0.02
BLS,2021-11-02 18:52:00,2021-11-02,2021-11-01,2021-11-01,Other,ESOP,Sell,Equity Shares,12000.0,0.0,0.0,0.0,0.0,106773.0,0.1,94773.0,0.09
