symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BODALCHEM,2015-12-24 20:39:00,2015-12-23,2015-12-22,2015-12-22,Promoters,Market Sale,Sell,Equity Shares,500000.0,0.0,0.0,0.0,0.0,5985299.0,0.0,5485299.0,0.0
BODALCHEM,2015-12-31 18:35:00,2015-12-29,2015-12-24,2015-12-24,Director,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,400000.0,0.0,300000.0,0.0
BODALCHEM,2016-01-20 19:09:00,2016-01-20,2016-01-18,2016-01-18,Promoters,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,5485299.0,5.03,5285299.0,4.84
BODALCHEM,2016-01-22 10:57:00,2016-01-19,2016-01-18,2016-01-18,Promoters,Market Purchase,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,4436550.0,0.0,4636550.0,4.25
BODALCHEM,2016-01-28 14:56:00,2016-01-27,2016-01-25,2016-01-25,Promoters,Market Purchase,Buy,Equity Shares,400000.0,0.0,0.0,0.0,0.0,4636550.0,0.0,5036550.0,0.0
BODALCHEM,2016-01-28 14:58:00,2016-01-27,2016-01-25,2016-01-25,Promoters,Market Sale,Sell,Equity Shares,400000.0,0.0,0.0,0.0,0.0,5285299.0,0.0,4885299.0,0.0
BODALCHEM,2016-02-02 19:28:00,2016-02-01,2016-01-29,2016-01-29,Promoters,Market Sale,Sell,EQUITY,400000.0,0.0,0.0,0.0,0.0,4885299.0,4.48,4485299.0,4.11
BODALCHEM,2016-02-02 19:28:00,2016-02-01,2016-01-29,2016-01-29,Promoters,Market Purchase,Buy,EQUITY,400000.0,0.0,0.0,0.0,0.0,5036550.0,4.62,5436550.0,4.99
BODALCHEM,2016-02-03 09:45:00,2016-02-01,2016-02-01,2016-02-01,Promoters,Market Sale,Sell,EQUITY,400000.0,0.0,0.0,0.0,0.0,4485299.0,4.11,4085299.0,3.74
BODALCHEM,2016-02-03 09:45:00,2016-02-02,2016-02-01,2016-02-01,Director,Market Purchase,Buy,EQUITY,400000.0,0.0,0.0,0.0,0.0,5436550.0,4.98,5836550.0,5.35
BODALCHEM,2016-02-05 17:06:00,2016-02-04,2016-02-03,2016-02-03,Promoters,Market Sale,Sell,EQUITY,575000.0,0.0,0.0,0.0,0.0,3510299.0,3.22,2935299.0,2.69
BODALCHEM,2016-02-05 17:06:00,2016-02-04,2016-02-03,2016-02-03,Promoters,Market Sale,Sell,EQUITY,575000.0,0.0,0.0,0.0,0.0,4085299.0,3.74,3510299.0,3.22
BODALCHEM,2016-02-05 17:06:00,2016-02-04,2016-02-03,2016-02-03,Director,Market Purchase,Buy,EQUITY,575000.0,0.0,0.0,0.0,0.0,7810050.0,7.16,8385050.0,7.69
BODALCHEM,2016-02-05 17:06:00,2016-02-04,2016-02-03,2016-02-03,Director,Market Purchase,Buy,EQUITY,575000.0,0.0,0.0,0.0,0.0,8385050.0,7.69,8960050.0,8.21
BODALCHEM,2016-03-16 19:31:00,2016-03-15,2016-03-14,2016-03-14,Promoters,Market Sale,Sell,EQUITY,250000.0,0.0,0.0,0.0,0.0,2935299.0,2.69,2685299.0,2.46
BODALCHEM,2016-03-16 19:31:00,2016-03-15,2016-03-14,2016-03-14,Promoters,Market Sale,Sell,EQUITY,250000.0,0.0,0.0,0.0,0.0,2685299.0,2.46,2435299.0,2.23
BODALCHEM,2016-03-16 19:31:00,2016-03-15,2016-03-14,2016-03-14,Director,Market Purchase,Buy,EQUITY,249499.0,0.0,0.0,0.0,0.0,8960050.0,8.21,9209549.0,8.44
BODALCHEM,2016-03-16 19:31:00,2016-03-15,2016-03-14,2016-03-14,Director,Market Purchase,Buy,EQUITY,250000.0,0.0,0.0,0.0,0.0,9209549.0,8.44,9459549.0,8.67
BODALCHEM,2016-03-22 17:42:00,2016-03-18,2016-03-17,2016-03-17,Director,Market Purchase,Buy,EQUITY,350000.0,0.0,0.0,0.0,0.0,5836550.0,5.35,6186550.0,5.67
BODALCHEM,2016-03-22 17:42:00,2016-03-18,2016-03-17,2016-03-17,Promoters,Market Sale,Sell,EQUITY,350000.0,0.0,0.0,0.0,0.0,2085299.0,1.91,1735299.0,1.59
BODALCHEM,2016-03-22 17:42:00,2016-03-18,2016-03-17,2016-03-17,Promoters,Market Sale,Sell,EQUITY,350000.0,0.0,0.0,0.0,0.0,2435299.0,2.23,2085299.0,1.91
BODALCHEM,2016-03-22 17:42:00,2016-03-18,2016-03-17,2016-03-17,Director,Market Purchase,Buy,EQUITY,350000.0,0.0,0.0,0.0,0.0,6186550.0,5.67,6536550.0,5.99
BODALCHEM,2016-06-17 17:55:00,2016-06-16,2016-06-15,2016-06-15,Promoters,Market Sale,Sell,EQUITY,1500000.0,0.0,0.0,0.0,0.0,3701680.0,3.39,2201680.0,2.02
