symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BOMDYEING,2015-11-30 19:22:00,2015-11-06,2015-11-06,2015-11-06,Promoters,Market Purchase,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,437008.0,0.21,467008.0,0.23
BOMDYEING,2015-11-30 19:22:00,2015-11-06,2015-11-06,2015-11-06,Promoters,Market Sale,Sell,Equity Shares,30000.0,0.0,0.0,0.0,0.0,81188.0,0.04,51188.0,0.02
BOMDYEING,2016-01-13 17:10:00,2016-01-11,2016-01-08,2016-01-08,Promoters,Market Sale,Buy,Equity Shares,49860.0,0.0,0.0,0.0,0.0,213198.0,0.1,263058.0,0.12
BOMDYEING,2016-01-13 17:10:00,2016-01-11,2016-01-08,2016-01-08,Promoters,Market Sale,Sell,Equity Shares,49860.0,0.0,0.0,0.0,0.0,51188.0,0.02,1328.0,0.0
BOMDYEING,2016-04-15 20:20:00,2016-04-14,2016-04-13,2016-04-13,Promoters,Market Purchase,Buy,Equity Shares,1328.0,0.0,0.0,0.0,0.0,467008.0,0.23,468336.0,0.23
BOMDYEING,2016-04-15 20:20:00,2016-04-14,2016-04-13,2016-04-13,Promoters,Market Sale,Sell,Equity Shares,1328.0,0.0,0.0,0.0,0.0,1328.0,0.0,,0.0
BOMDYEING,2016-12-15 13:40:00,2016-12-14,2016-12-05,2016-12-05,Promoters,Market Sale,Sell,Equity Shares,77000.0,0.0,0.0,0.0,0.0,1665500.0,0.81,1588500.0,0.77
BOMDYEING,2016-12-15 13:40:00,2016-12-14,2016-12-05,2016-12-05,Promoters,Market Purchase,Buy,Equity Shares,77000.0,0.0,0.0,0.0,0.0,75103.0,0.04,152103.0,0.07
BOMDYEING,2017-02-23 19:09:00,2017-02-21,2017-02-17,2017-02-17,Promoters,Market Purchase,Buy,Equity Shares,39700.0,0.0,0.0,0.0,0.0,468336.0,0.23,508036.0,0.25
BOMDYEING,2017-02-28 19:35:00,2017-02-28,2017-02-17,2017-02-17,Promoters,Market Sale,Sell,Equity Shares,39700.0,0.0,0.0,0.0,0.0,1588500.0,0.77,1548800.0,0.75
BOMDYEING,2017-03-22 10:35:00,2017-03-21,2017-03-20,2017-03-20,Promoters,Market Sale,Sell,Equity Shares,27978555.0,0.0,0.0,0.0,0.0,27983555.0,13.55,5000.0,0.0024
BOMDYEING,2017-03-22 10:35:00,2017-03-21,2017-03-20,2017-03-20,Promoters,Market Sale,Sell,Equity Shares,21239783.0,0.0,0.0,0.0,0.0,22139783.0,10.72,900000.0,0.44
BOMDYEING,2017-03-22 19:12:00,2017-03-22,2017-03-20,2017-03-20,Promoters,Market Purchase,Buy,Equity Shares,49218338.0,0.0,0.0,0.0,0.0,29639375.0,14.35,78857713.0,38.18
BOMDYEING,2017-04-03 19:27:00,2017-04-03,2017-03-31,2017-03-31,Promoters,Inter-se-Transfer,Sell,Equity Shares,47307000.0,0.0,0.0,0.0,0.0,78857713.0,38.18,31550713.0,15.28
BOMDYEING,2017-04-03 19:27:00,2017-04-03,2017-03-31,2017-03-31,Promoters,Inter-se-Transfer,Buy,Equity Shares,47307000.0,0.0,0.0,0.0,0.0,5000.0,0.0,47312000.0,22.91
BOMDYEING,2017-04-27 17:43:00,2017-04-25,2017-04-24,2017-04-24,Promoters,Market Purchase,Buy,Equity Shares,145000.0,0.0,0.0,0.0,0.0,458220.0,0.22,603220.0,0.29
BOMDYEING,2017-04-27 17:43:00,2017-04-25,2017-04-24,2017-04-24,Promoters,Market Sale,Sell,Equity Shares,145000.0,0.0,0.0,0.0,0.0,1528810.0,0.74,1383810.0,0.67
BOMDYEING,2017-06-02 18:33:00,2017-06-02,2017-06-01,2017-06-01,Promoters,Market Purchase,Buy,Equity Shares,32000.0,0.0,0.0,0.0,0.0,508036.0,0.25,540036.0,0.26
BOMDYEING,2017-06-06 15:47:00,2017-06-05,2017-06-01,2017-06-01,Promoters,Market Sale,Sell,Equity Shares,32000.0,0.0,0.0,0.0,0.0,1548800.0,0.75,1516800.0,0.74
BOMDYEING,2017-08-29 13:06:00,2017-08-28,2017-08-23,2017-08-23,Promoters,Market Purchase,Buy,Equity Shares,15300.0,0.0,0.0,0.0,0.0,263058.0,0.13,278358.0,0.13
BOMDYEING,2017-08-29 13:06:00,2017-08-28,2017-08-23,2017-08-23,Promoters,Market Sale,Sell,Equity Shares,15300.0,0.0,0.0,0.0,0.0,1516800.0,0.73,1501500.0,0.73
BOMDYEING,2017-09-06 18:20:00,2017-09-06,2017-09-05,2017-09-05,Immediate relative,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,158990.0,0.08,138990.0,0.07
