symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
BRITANNIA,2016-03-08 10:26:00,2016-03-04,2016-03-02,2016-03-02,Director,Market Sale,Sell,Equity Shares,6570.0,0.0,0.0,0.0,0.0,46000.0,0.04,39430.0,
BRITANNIA,2016-04-21 09:11:00,2016-04-19,2016-04-18,2016-04-18,Key Managerial Personnel,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,39430.0,0.03,29430.0,0.03
BRITANNIA,2016-08-18 16:47:00,2016-08-16,2016-08-12,2016-08-12,Director,Market Sale,Sell,Equity Shares,29430.0,0.0,0.0,0.0,0.0,29430.0,0.03,,0.0
BRITANNIA,2016-08-18 19:42:00,2016-08-17,2016-08-16,2016-08-16,Employees/Designated Employees,Market Sale,Sell,Equity Shares,375.0,0.0,0.0,0.0,0.0,375.0,0.0,,0.0
BRITANNIA,2016-08-24 12:15:00,2016-08-23,2016-08-22,2016-08-22,Director,ESOP,ESOP/ESOS/ESPS,Equity Shares,25000.0,0.0,0.0,0.0,0.0,,0.0,25000.0,0.02
BRITANNIA,2016-09-12 18:08:00,2016-09-08,2016-09-08,2016-09-08,Director,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,25000.0,0.02,,0.0
BRITANNIA,2017-06-21 16:30:00,2017-06-21,2017-06-20,2017-06-20,Director,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,25000.0,0.02,,0.0
BRITANNIA,2017-07-06 07:27:00,2017-07-04,2017-06-30,2017-06-30,Director,ESOP,Buy,Equity Shares,33333.0,0.0,0.0,0.0,0.0,,0.0,33333.0,0.02
BRITANNIA,2017-07-10 13:53:00,2017-07-07,2017-07-06,2017-07-06,Key Managerial Personnel,Market Sale,Sell,Equity Shares,4022.0,0.0,0.0,0.0,0.0,33333.0,0.02,29311.0,0.02
BRITANNIA,2017-07-12 17:55:00,2017-07-11,2017-07-11,2017-07-11,Key Managerial Personnel,Market Sale,Sell,Equity Shares,2671.0,0.0,0.0,0.0,0.0,16274.0,0.01,13603.0,0.01
BRITANNIA,2017-07-12 17:55:00,2017-07-10,2017-07-10,2017-07-10,Key Managerial Personnel,Market Sale,Sell,Equity Shares,13037.0,0.0,0.0,0.0,0.0,29311.0,0.02,16274.0,0.01
BRITANNIA,2017-07-17 19:27:00,2017-07-14,2017-07-14,2017-07-14,Key Managerial Personnel,Market Sale,Sell,Equity Shares,2700.0,0.0,0.0,0.0,0.0,2700.0,0.0,,0.0
BRITANNIA,2017-07-17 19:27:00,2017-07-13,2017-07-13,2017-07-13,Key Managerial Personnel,Market Sale,Sell,Equity Shares,2226.0,0.0,0.0,0.0,0.0,4926.0,0.0,2700.0,0.0
BRITANNIA,2017-07-17 19:27:00,2017-07-13,2017-07-13,2017-07-13,Key Managerial Personnel,Market Sale,Sell,Equity Shares,3677.0,0.0,0.0,0.0,0.0,8603.0,0.0,4926.0,0.0
BRITANNIA,2017-07-17 19:27:00,2017-07-13,2017-07-12,2017-07-12,Key Managerial Personnel,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,13603.0,0.01,8603.0,0.0
BRITANNIA,2018-08-14 14:43:00,2018-08-13,2018-08-09,2018-08-09,Director,ESOP,Buy,Equity Shares,99999.0,0.0,0.0,0.0,0.0,,0.0,99999.0,0.08
BRITANNIA,2018-08-31 16:21:00,2018-08-29,2018-08-28,2018-08-28,Director,ESOP,Sell,Equity Shares,23909.0,0.0,0.0,0.0,0.0,99999.0,0.08,76090.0,0.0
BRITANNIA,2018-11-26 19:06:00,2018-11-23,2018-11-21,2018-11-23,Director,Market Sale,Sell,Equity Shares,26500.0,0.0,0.0,0.0,0.0,76090.0,0.06,49590.0,0.04
BRITANNIA,2018-12-17 17:54:00,2018-12-13,2018-12-13,2018-12-13,Director,Market Sale,Sell,Equity Shares,15000.0,0.0,0.0,0.0,0.0,99180.0,0.04,84180.0,0.03
BRITANNIA,2018-12-21 22:50:00,2018-12-20,2018-12-19,2018-12-19,Director,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,84180.0,0.03,74180.0,0.03
BRITANNIA,2019-03-19 18:59:00,2019-03-18,2019-03-15,2019-03-15,Director,Market Sale,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,74180.0,0.03,72180.0,0.03
BRITANNIA,2019-11-07 22:39:00,2019-11-06,2019-11-04,2019-11-04,Director,ESOP,Buy,Equity Shares,150002.0,0.0,0.0,0.0,0.0,72180.0,0.03,222182.0,0.09
BRITANNIA,2019-11-18 20:08:00,2019-11-15,2019-11-14,2019-11-15,Director,Market Sale,Sell,Equity Shares,73180.0,0.0,0.0,0.0,0.0,222182.0,0.09,149002.0,0.06
BRITANNIA,2019-11-25 21:37:00,2019-11-22,2019-11-20,2019-11-20,Promoters,Market Purchase,Buy,Equity Shares,200.0,0.0,0.0,0.0,0.0,9102.0,0.0,9302.0,0.0
BRITANNIA,2019-11-25 21:37:00,2019-11-22,2019-11-21,2019-11-21,Promoters,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,9302.0,0.0,9802.0,0.0
BRITANNIA,2019-11-27 13:52:00,2019-11-26,2019-11-25,2019-11-25,Promoters,Market Purchase,Buy,Equity Shares,900.0,0.0,0.0,0.0,0.0,9802.0,0.0,10702.0,0.0
