symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
CROMPTON,2016-06-22 15:46:00,2016-06-16,2016-06-15,2016-06-15,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,6000000.0,0.0,0.0,0.0,0.0,215442496.0,34.37,215442496.0,34.37
CROMPTON,2016-06-22 15:46:00,2016-06-16,2016-06-15,2016-06-15,Promoters,Pledge Creation,Pledge,Equity Shares,6000000.0,0.0,0.0,0.0,0.0,215442496.0,34.37,215442496.0,34.37
CROMPTON,2016-06-22 15:46:00,2016-06-16,2016-06-16,2016-06-16,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,3407000.0,0.0,0.0,0.0,0.0,215442496.0,34.37,215442496.0,34.37
CROMPTON,2016-06-22 15:46:00,2016-06-16,2016-06-16,2016-06-16,Promoters,Pledge Creation,Pledge,Equity Shares,3407000.0,0.0,0.0,0.0,0.0,215442496.0,34.37,215442496.0,34.37
CROMPTON,2016-06-27 10:41:00,2016-06-23,2016-06-23,2016-06-23,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,10500000.0,0.0,0.0,0.0,0.0,181409405.0,28.94,181409405.0,28.94
CROMPTON,2016-06-27 10:41:00,2016-06-23,2016-06-21,2016-06-21,Promoters,Pledge Creation,Pledge,Equity Shares,18650000.0,0.0,0.0,0.0,0.0,162759405.0,25.97,162759405.0,25.97
CROMPTON,2016-06-27 10:41:00,2016-06-23,2016-06-21,2016-06-21,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,18650000.0,0.0,0.0,0.0,0.0,181409405.0,28.94,181409405.0,28.94
CROMPTON,2016-06-27 10:41:00,2016-06-23,2016-06-23,2016-06-23,Promoters,Pledge Creation,Pledge,Equity Shares,10500000.0,0.0,0.0,0.0,0.0,170909405.0,27.27,170909405.0,27.27
CROMPTON,2016-06-30 17:14:00,2016-06-29,2016-06-28,2016-06-28,Promoters,Pledge Creation,Pledge,Equity Shares,898091.0,0.0,0.0,0.0,0.0,181409405.0,28.94,181409405.0,28.94
CROMPTON,2016-07-05 08:46:00,2016-06-30,2016-06-29,2016-06-29,Promoters,Pledge Creation,Pledge,Equity Shares,8200000.0,0.0,0.0,0.0,0.0,174107496.0,27.78,174107496.0,27.78
CROMPTON,2016-07-05 08:46:00,2016-06-30,2016-06-29,2016-06-29,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,8200000.0,0.0,0.0,0.0,0.0,182307496.0,29.09,182307496.0,29.09
CROMPTON,2016-07-15 10:26:00,2016-07-13,,,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,0.0,0.0,0.0,0.0,0.0,215442496.0,0.0,215442496.0,0.0
CROMPTON,2016-07-15 12:20:00,2016-07-13,2016-07-13,2016-07-13,Promoters,Pledge Creation,Pledge,Equity Shares,17135000.0,0.0,0.0,0.0,0.0,182307496.0,29.09,182307496.0,29.09
CROMPTON,2016-07-29 09:12:00,2016-07-27,2016-07-27,2016-07-27,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,198942496.0,0.0,0.0,0.0,0.0,215442496.0,34.37,215442496.0,34.37
CROMPTON,2016-07-29 09:12:00,2016-07-27,2016-07-27,2016-07-27,Promoters,Market Sale,Sell,Equity Shares,198942496.0,0.0,0.0,0.0,0.0,215442496.0,34.37,16500000.0,2.63
CROMPTON,2016-08-29 17:09:00,2016-08-26,,,Promoters,Market Sale,Sell,Equity Shares,16500000.0,0.0,0.0,0.0,0.0,16500000.0,2.63,,0.0
CROMPTON,2016-08-29 17:15:00,2016-08-26,2016-08-25,2016-08-25,Promoters,Market Sale,Buy,Equity Shares,10725001.0,0.0,0.0,0.0,0.0,129312622.0,20.63,140037623.0,22.34
CROMPTON,2017-01-06 10:54:00,2017-01-05,2016-06-29,2016-06-29,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,2000.0,0.0003,,0.0
CROMPTON,2017-01-06 10:54:00,2017-01-05,2016-10-26,2016-10-26,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,1000.0,0.0,0.0,0.0,0.0,2000.0,0.0003,3000.0,0.0005
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-05-22,2017-05-22,Employees/Designated Employees,Market Sale,Sell,Equity Shares,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,2500.0,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-06-28,2017-06-28,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1846.0,0.0,0.0,0.0,0.0,5600.0,0.0008,3754.0,0.0006
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-01-23,2017-01-23,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,,0.0,3000.0,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-01-25,2017-01-25,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-05-03,2017-05-03,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,,0.0,5000.0,0.0008
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-05-04,2017-05-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0008,,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-05-19,2017-05-19,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2500.0,0.0,0.0,0.0,0.0,,0.0,2500.0,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-05-25,2017-05-25,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,,0.0,3000.0,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-05-26,2017-05-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-06-15,2017-06-15,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,,0.0,3000.0,0.0
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-06-16,2017-06-16,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2207.0,0.0,0.0,0.0,0.0,3000.0,0.0,5207.0,0.0008
CROMPTON,2017-07-05 21:12:00,2017-07-05,2017-06-19,2017-06-19,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,393.0,0.0,0.0,0.0,0.0,5207.0,0.0008,5600.0,0.0008
CROMPTON,2017-12-08 15:38:00,2017-12-07,2017-12-06,2017-12-06,Employees/Designated Employees,ESOP,Buy,Equity Shares,16275.0,0.0,0.0,0.0,0.0,,0.0,16275.0,0.0
CROMPTON,2018-02-06 12:49:00,2018-02-02,2018-02-02,2018-02-02,Employees/Designated Employees,ESOP,Buy,Equity Shares,22688.0,0.0,0.0,0.0,0.0,,0.0,22688.0,0.0
CROMPTON,2018-02-15 10:12:00,2018-02-14,2018-02-14,2018-02-14,Connected Person (Earlier  Designated Employee),Pledge Creation,Pledge,Equity Shares,22688.0,0.0,0.0,0.0,0.0,22688.0,0.0,22688.0,0.0
CROMPTON,2018-02-20 16:29:00,2018-02-20,2018-02-19,2018-02-19,Connected Person (Earlier  Designated Employee),Invocation of pledge,Pledge Invoke,Equity Shares,9103.0,0.0,0.0,0.0,0.0,12590.0,0.0,3487.0,0.0
CROMPTON,2018-02-20 16:29:00,2018-02-20,2018-02-16,2018-02-16,Connected Person (Earlier  Designated Employee),Invocation of pledge,Pledge Invoke,Equity Shares,98.0,0.0,0.0,0.0,0.0,12688.0,0.0,12590.0,0.0
CROMPTON,2018-02-20 16:29:00,2018-02-20,2018-02-15,2018-02-15,Connected Person (Earlier  Designated Employee),Invocation of pledge,Pledge Invoke,Equity Shares,10000.0,0.0,0.0,0.0,0.0,22688.0,0.0,12688.0,0.0
CROMPTON,2018-02-23 16:25:00,2018-02-23,2018-02-22,2018-02-22,Connected Person (Earlier  Designated Employee),Revokation of Pledge,Pledge Revoke,Equity Shares,3487.0,0.0,0.0,0.0,0.0,3487.0,0.0,3487.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-03-26,2018-03-26,Immediate relative,Market Sale,Sell,Equity Shares,250.0,0.0,0.0,0.0,0.0,3500.0,0.0,3250.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-03-26,2018-03-26,Immediate relative,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,4500.0,0.0,4000.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-03-26,2018-03-26,Immediate relative,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,4000.0,0.0,4500.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-03-15,2018-03-15,Immediate relative,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,3500.0,0.0,4000.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-03-13,2018-03-13,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,3250.0,0.0,3500.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-02-19,2018-02-19,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,3000.0,0.0,3250.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-02-15,2018-02-15,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,2750.0,0.0,3000.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-02-06,2018-02-06,Immediate relative,Market Sale,Sell,Equity Shares,250.0,0.0,0.0,0.0,0.0,3000.0,0.0,2750.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-02-06,2018-02-06,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,2750.0,0.0,3000.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-02-05,2018-02-05,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,2500.0,0.0,2750.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-01-22,2018-01-22,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,2250.0,0.0,2500.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-01-22,2018-01-22,Immediate relative,Market Purchase,Buy,Equity Shares,250.0,0.0,0.0,0.0,0.0,2000.0,0.0,2250.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-01-22,2018-01-22,Immediate relative,Market Purchase,Buy,Equity Shares,195.0,0.0,0.0,0.0,0.0,1805.0,0.0,2000.0,0.0
CROMPTON,2018-03-28 19:33:00,2018-03-26,2018-03-26,2018-03-26,Immediate relative,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,4000.0,0.0,3500.0,0.0
CROMPTON,2018-05-21 12:48:00,2018-05-17,2018-05-17,2018-05-17,Employees/Designated Employees,ESOP,Buy,Equity Shares,25575.0,0.0,0.0,0.0,0.0,,0.0,25575.0,0.0
CROMPTON,2018-05-22 13:03:00,2018-05-22,2018-05-22,2018-05-22,Employees/Designated Employees,Pledge Creation,Pledge,Equity Shares,25575.0,0.0,0.0,0.0,0.0,25575.0,0.0,25575.0,0.0
CROMPTON,2018-05-25 17:41:00,2018-05-25,2018-05-22,2018-05-22,Employees/Designated Employees,Invocation of pledge,Pledge Invoke,Equity Shares,6000.0,0.0,0.0,0.0,0.0,25575.0,0.0,19575.0,0.0
CROMPTON,2018-05-25 17:41:00,2018-05-25,2018-05-22,2018-05-22,Employees/Designated Employees,Invocation of pledge,Pledge Invoke,Equity Shares,10000.0,0.0,0.0,0.0,0.0,19575.0,0.0,9575.0,0.0
CROMPTON,2018-06-11 20:17:00,2018-06-11,2018-06-06,2018-06-06,Employees/Designated Employees,Invocation of pledge,Pledge Invoke,Equity Shares,9575.0,0.0,0.0,0.0,0.0,9575.0,0.0,,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-06-08,2018-06-08,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,,0.0,500.0,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-05-17,2018-05-17,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-06-08,2018-06-08,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,500.0,0.0,1000.0,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-06-26,2018-06-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,300.0,0.0,0.0,0.0,0.0,300.0,0.0,,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-06-11,2018-06-11,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,500.0,0.0,,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-06-11,2018-06-11,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,1000.0,0.0,500.0,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-05-02,2018-05-02,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,,0.0,500.0,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-05-11,2018-05-11,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,500.0,0.0,0.0,0.0,0.0,500.0,0.0,1000.0,0.0
CROMPTON,2018-07-18 17:35:00,2018-07-16,2018-06-14,2018-06-14,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,300.0,0.0,0.0,0.0,0.0,,0.0,300.0,0.0
CROMPTON,2018-12-21 20:07:00,2018-12-19,2018-12-19,2018-12-19,Other,Market Purchase,Buy,Equity Shares,68438.0,0.0,0.0,0.0,0.0,,0.0,68438.0,0.01
CROMPTON,2018-12-28 10:10:00,2018-12-26,2018-12-26,2018-12-26,Other,Pledge Creation,Buy,Equity Shares,30713.0,0.0,0.0,0.0,0.0,,0.0,30713.0,0.0
CROMPTON,2018-12-28 12:16:00,2018-12-19,2018-12-19,2018-12-19,Others Connected Person (Earlier Employee),ESOP,Buy,Equity Shares,30713.0,0.0,0.0,0.0,0.0,,0.0,30713.0,0.0
CROMPTON,2019-01-03 16:59:00,2019-01-01,2018-12-31,2018-12-31,Employees/Designated Employees,Invocation of pledge,Pledge Invoke,Equity Shares,67.0,0.0,0.0,0.0,0.0,2610.0,0.0,2543.0,0.0
