symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
CYIENT,2016-02-18 14:48:00,2016-02-15,2016-02-12,2016-02-12,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,6022.0,0.0,0.0,0.0,0.0,14608866.0,12.99,14614888.0,12.99
CYIENT,2017-02-02 18:39:00,2017-01-31,2017-01-31,2017-01-31,Promoters,Inter-se-Transfer,Sell,Equity Shares,5628317.0,0.0,0.0,0.0,0.0,6541200.0,5.81,912883.0,0.81
CYIENT,2017-02-02 18:39:00,2017-01-31,2017-01-31,2017-01-31,Key Managerial Personnel,Inter-se-Transfer,Sell,Equity Shares,11256634.0,0.0,0.0,0.0,0.0,14614888.0,12.98,3358254.0,2.98
CYIENT,2018-02-08 16:57:00,2018-02-07,2018-02-05,2018-02-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,10000.0,0.01,,0.0
CYIENT,2018-03-05 11:45:00,2018-03-01,2018-02-28,2018-02-28,Promoter Group,Off Market,Buy,Equity Shares,2608.0,0.0,0.0,0.0,0.0,1790400.0,1.59,1793008.0,1.59
CYIENT,2018-03-22 16:11:00,2018-03-22,2018-03-21,2018-03-21,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5700.0,0.0,0.0,0.0,0.0,33850.0,0.03,28150.0,0.02
CYIENT,2018-10-23 18:38:00,2018-10-23,2018-10-23,2018-10-23,Promoters,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,3358254.0,2.98,3368254.0,2.97
CYIENT,2019-04-01 17:32:00,2019-03-28,2019-03-26,2019-03-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,35168.0,0.03,25168.0,0.02
CYIENT,2019-05-21 12:22:00,2019-05-20,2019-05-16,2019-05-16,Promoters,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,3368254.0,3.06,3378254.0,3.07
CYIENT,2019-07-24 17:50:00,2019-07-23,2019-07-22,2019-07-22,Promoters,Market Purchase,Buy,Equity Shares,35000.0,0.0,0.0,0.0,0.0,1850760.0,1.68,1885760.0,1.72
CYIENT,2019-07-24 17:50:00,2019-07-23,2019-07-22,2019-07-22,Promoters,Market Purchase,Buy,Equity Shares,35000.0,0.0,0.0,0.0,0.0,1378254.0,1.25,1413254.0,1.29
