symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
DALMIABHA,2016-06-01 18:17:00,2016-05-31,2016-05-30,2016-05-30,Other,-,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,6075.0,0.0,4075.0,
DALMIABHA,2017-01-18 12:13:00,2017-01-16,2017-01-13,2017-01-13,Promoter Group,Market Purchase,Buy,Equity Shares,7930.0,0.0,0.0,0.0,0.0,,0.0,7930.0,0.01
DALMIABHA,2017-01-18 16:04:00,2017-01-17,2017-01-17,2017-01-17,Promoter Group,Market Purchase,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,18930.0,0.02,23930.0,0.03
DALMIABHA,2017-01-18 16:04:00,2017-01-17,2017-01-16,2017-01-16,Promoter Group,Market Purchase,Buy,Equity Shares,11000.0,0.0,0.0,0.0,0.0,7930.0,0.01,18930.0,0.02
DALMIABHA,2017-01-20 18:38:00,2017-01-20,2017-01-19,2017-01-19,Promoter Group,Market Purchase,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,23930.0,0.03,28930.0,0.03
DALMIABHA,2017-01-20 18:38:00,2017-01-20,2017-01-20,2017-01-20,Promoter Group,Market Purchase,Buy,Equity Shares,44000.0,0.0,0.0,0.0,0.0,28930.0,0.03,72930.0,0.08
DALMIABHA,2017-01-27 16:58:00,2017-01-25,2017-01-25,2017-01-25,Promoter Group,Market Sale,Sell,Equity Shares,21943.0,0.0,0.0,0.0,0.0,57930.0,0.065,35987.0,0.04
DALMIABHA,2017-01-27 16:58:00,2017-01-25,2017-01-24,2017-01-24,Promoter Group,Market Sale,Sell,Equity Shares,15000.0,0.0,0.0,0.0,0.0,72930.0,0.08,57930.0,0.065
DALMIABHA,2017-02-10 18:11:00,2017-02-10,2017-02-09,2017-02-09,Promoter Group,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,315050.0,0.35,325050.0,0.36
DALMIABHA,2017-02-10 18:11:00,2017-02-10,2017-02-08,2017-02-08,Promoter Group,Market Purchase,Buy,Equity Shares,34404.0,0.0,0.0,0.0,0.0,35987.0,0.04,70391.0,0.08
