symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
DEN,2017-03-23 18:24:00,2017-03-21,2017-03-17,2017-03-17,Promoter Group,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,,0.0,100000.0,0.05
DEN,2017-03-23 18:24:00,2017-03-21,2017-03-21,2017-03-21,Promoter Group,Market Sale,Sell,Equity Shares,70900.0,0.0,0.0,0.0,0.0,295900.0,0.15,225000.0,0.12
DEN,2017-03-23 18:24:00,2017-03-21,2017-03-17,2017-03-17,Promoter Group,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,395900.0,0.2,295900.0,0.15
DEN,2017-03-23 18:24:00,2017-03-21,2017-03-21,2017-03-21,Promoter Group,Market Purchase,Buy,Equity Shares,70900.0,0.0,0.0,0.0,0.0,100000.0,0.05,170900.0,0.09
DEN,2017-03-29 19:12:00,2017-03-27,2017-03-23,2017-03-23,Promoter Group,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,225000.0,0.116,125000.0,0.0644
DEN,2017-03-29 19:12:00,2017-03-27,2017-03-23,2017-03-23,Promoter Group,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,170900.0,0.0881,270900.0,0.1396
DEN,2017-03-29 19:12:00,2017-03-29,2017-03-29,2017-03-29,Promoter Group,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,270900.0,0.1396,370900.0,0.1912
DEN,2017-03-29 19:12:00,2017-03-29,2017-03-29,2017-03-29,Promoter Group,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,125000.0,0.0644,25000.0,0.0129
DEN,2017-07-21 19:24:00,2017-07-21,2017-07-21,2017-07-21,Key Managerial Personnel,ESOP,Buy,Equity Shares,750000.0,0.0,0.0,0.0,0.0,49485.0,0.03,799485.0,0.41
DEN,2017-08-12 13:43:00,2017-08-12,2017-08-12,2017-08-12,Key Managerial Personnel,ESOP,Buy,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,799485.0,0.41,1799485.0,0.92
DEN,2017-09-14 16:11:00,2017-09-12,2017-09-12,2017-09-12,Employees/Designated Employees,Market Sale,Sell,Equity Shares,247064.0,0.0,0.0,0.0,0.0,1247064.0,0.637,1000000.0,0.51
DEN,2017-12-01 18:20:00,2017-12-01,2017-12-01,2017-12-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,300000.0,0.0,0.0,0.0,0.0,1000000.0,0.51,700000.0,0.36
DEN,2017-12-15 19:07:00,2017-12-15,2017-12-13,2017-12-13,Employees/Designated Employees,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,700000.0,0.36,500000.0,0.26
DEN,2018-02-16 18:12:00,2018-02-14,2018-02-14,2018-02-14,Employees/Designated Employees,Market Sale,Sell,Equity Shares,96231.0,0.0,0.0,0.0,0.0,300000.0,0.15,203769.0,0.1
DEN,2018-02-16 18:12:00,2018-02-14,2018-02-09,2018-02-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,500000.0,0.25,300000.0,0.15
DEN,2018-04-07 15:15:00,2018-04-06,2018-04-06,2018-04-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,203769.0,0.0,0.0,0.0,0.0,203769.0,0.1,,0.0
DEN,2018-11-21 14:57:00,2018-11-21,2018-11-19,2018-11-21,Key Managerial Personnel,Market Sale,Sell,Equity Shares,1200000.0,0.0,0.0,0.0,0.0,1799485.0,0.92,599485.0,0.31
DEN,2019-02-04 23:23:00,2019-02-04,2019-02-04,2019-02-04,Promoters,Off Market,Sell,Equity Shares,29055330.0,0.0,0.0,0.0,0.0,46654550.0,23.83,17599220.0,8.99
DEN,2019-02-04 23:29:00,2019-02-04,2019-02-04,2019-02-04,Promoter Group,Off Market,Sell,Equity Shares,4529670.0,0.0,0.0,0.0,0.0,4529670.0,2.31,,0.0
DEN,2019-03-08 18:37:00,2019-03-07,2019-03-05,2019-03-05,Promoter Group,Others,Buy,Equity Shares,13385934.0,0.0,0.0,0.0,0.0,73352570.0,15.37,86738504.0,18.18
DEN,2019-03-08 18:37:00,2019-03-07,2019-03-05,2019-03-05,Promoter Group,Others,Buy,Equity Shares,13001927.0,0.0,0.0,0.0,0.0,71248280.0,14.93,84250207.0,17.65
DEN,2019-03-08 18:37:00,2019-03-07,2019-03-05,2019-03-05,Promoter Group,Others,Buy,Equity Shares,31101751.0,0.0,0.0,0.0,0.0,170432150.0,35.71,201533901.0,42.23
DEN,2021-04-01 17:42:00,2021-03-31,2021-03-26,2021-03-30,Promoter Group,Others,Sell,Equity Shares,12919189.0,0.0,0.0,0.0,0.0,86738504.0,18.18,73819315.0,15.47
DEN,2021-04-01 17:42:00,2021-03-31,2021-03-26,2021-03-30,Promoter Group,Others,Sell,Equity Shares,30017287.0,0.0,0.0,0.0,0.0,201533901.0,42.23,171516614.0,35.94
DEN,2021-04-01 17:42:00,2021-03-31,2021-03-26,2021-03-30,Promoters,Others,Sell,Equity Shares,12548572.0,0.0,0.0,0.0,0.0,84250207.0,17.65,71701635.0,15.02
