symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
DHAMPURSUG,2016-07-04 15:26:00,2016-07-01,,,Director,Market Sale,Sell,Equity Shares,12837.0,0.0,0.0,0.0,0.0,13237.0,0.019,400.0,0.0001
DHAMPURSUG,2017-01-20 19:44:00,2017-01-20,2017-01-20,2017-01-20,Promoters,Market Sale,Sell,Equity Shares,250000.0,0.0,0.0,0.0,0.0,4549680.0,6.85,4299680.0,6.48
DHAMPURSUG,2017-01-20 19:44:00,2017-01-20,2017-01-20,2017-01-20,Promoters,Market Sale,Sell,Equity Shares,150000.0,0.0,0.0,0.0,0.0,3416758.0,5.15,3266758.0,4.92
DHAMPURSUG,2017-01-20 19:44:00,2017-01-20,2017-01-20,2017-01-20,Promoters,Market Sale,Sell,Equity Shares,600000.0,0.0,0.0,0.0,0.0,11255515.0,16.95,10655515.0,16.05
DHAMPURSUG,2017-04-06 14:34:00,2017-04-05,2017-03-28,2017-03-28,Director,Gift,Sell,Equity Shares,115000.0,0.0,0.0,0.0,0.0,115000.0,0.017,,0.0
DHAMPURSUG,2020-02-10 15:55:00,2020-02-10,2020-02-07,2020-02-07,Promoters,Off Market,Buy,Equity Shares,105525.0,0.0,0.0,0.0,0.0,4211379.0,6.34,4316904.0,6.5
DHAMPURSUG,2020-02-10 15:55:00,2020-02-10,2020-02-07,2020-02-07,Promoters,Off Market,Sell,Equity Shares,211050.0,0.0,0.0,0.0,0.0,211050.0,0.32,,0.0
DHAMPURSUG,2020-02-10 15:55:00,2020-02-10,2020-02-07,2020-02-07,Promoters,Off Market,Buy,Equity Shares,105525.0,0.0,0.0,0.0,0.0,,0.0,105525.0,0.16
DHAMPURSUG,2020-02-20 15:58:00,2020-02-19,2020-02-18,2020-02-18,Promoters,Off Market,Sell,Equity Shares,76350.0,0.0,0.0,0.0,0.0,76350.0,0.12,,0.0
DHAMPURSUG,2020-02-20 15:58:00,2020-02-19,2020-02-18,2020-02-18,Promoters,Off Market,Buy,Equity Shares,76350.0,0.0,0.0,0.0,0.0,,0.0,76350.0,0.12
DHAMPURSUG,2020-03-09 15:58:00,2020-03-06,2020-03-05,2020-03-05,Promoter Group,Others,Sell,Equity Shares,19501.0,0.0,0.0,0.0,0.0,3266758.0,4.92,3247257.0,4.89
DHAMPURSUG,2020-03-09 15:58:00,2020-03-06,2020-03-06,2020-03-06,Promoter Group,Others,Buy,Equity Shares,19501.0,0.0,0.0,0.0,0.0,3247257.0,4.89,3266758.0,4.92
DHAMPURSUG,2020-06-16 19:57:00,2020-06-15,2020-06-15,2020-06-15,Promoters,Gift,Sell,Equity Shares,2300000.0,0.0,0.0,0.0,0.0,4316904.0,6.5,2016904.0,3.04
DHAMPURSUG,2020-06-16 19:57:00,2020-06-15,2020-06-15,2020-06-15,Promoters,Gift,Buy,Equity Shares,2300000.0,0.0,0.0,0.0,0.0,86950.0,0.13,2386950.0,3.59
DHAMPURSUG,2020-06-26 13:21:00,2020-06-25,2020-06-25,2020-06-25,Promoters,Gift,Sell,Equity Shares,2331566.0,0.0,0.0,0.0,0.0,2386950.0,3.59,55384.0,0.08
DHAMPURSUG,2020-06-26 13:21:00,2020-06-25,2020-06-25,2020-06-25,Promoters,Gift,Buy,Equity Shares,2331566.0,0.0,0.0,0.0,0.0,10370.0,0.02,2341936.0,3.53
DHAMPURSUG,2020-12-29 12:56:00,2020-12-28,2020-12-28,2020-12-28,Promoters,Off Market,Sell,Equity Shares,344580.0,0.0,0.0,0.0,0.0,349116.0,0.52,4536.0,0.01
DHAMPURSUG,2020-12-29 12:56:00,2020-12-28,2020-12-28,2020-12-28,Promoters,Off Market,Buy,Equity Shares,344580.0,0.0,0.0,0.0,0.0,4536.0,0.01,349116.0,0.53
DHAMPURSUG,2020-12-29 15:59:00,2020-12-29,2020-12-29,2020-12-29,Immediate relative,Market Sale,Sell,Equity Shares,30000.0,0.0,0.0,0.0,0.0,30000.0,0.05,,0.0
DHAMPURSUG,2022-09-09 20:40:00,2022-09-09,2022-09-09,2022-09-09,Promoters,Market Sale,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,4299680.0,6.48,3299680.0,4.97
DHAMPURSUG,2022-09-09 20:40:00,2022-09-09,2022-09-09,2022-09-09,Promoters,Market Purchase,Buy,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,10655515.0,16.05,11655515.0,17.56
DHAMPURSUG,2022-09-14 21:10:00,2022-09-14,2022-09-14,2022-09-14,Promoters,Market Sale,Sell,Equity Shares,900000.0,0.0,0.0,0.0,0.0,4940716.0,7.44,4040716.0,6.08
DHAMPURSUG,2022-09-14 21:10:00,2022-09-14,2022-09-14,2022-09-14,Promoters,Market Sale,Sell,Equity Shares,3299680.0,0.0,0.0,0.0,0.0,3299680.0,4.97,,0.0
DHAMPURSUG,2022-09-14 21:10:00,2022-09-14,2022-09-14,2022-09-14,Promoters,Market Purchase,Buy,Equity Shares,4199680.0,0.0,0.0,0.0,0.0,11655515.0,17.56,15855195.0,23.88
DHAMPURSUG,2022-09-19 18:13:00,2022-09-19,2022-09-19,2022-09-19,Promoters,Market Purchase,Buy,Equity Shares,2440716.0,0.0,0.0,0.0,0.0,15855195.0,23.88,18295911.0,27.56
DHAMPURSUG,2022-09-19 18:13:00,2022-09-19,2022-09-19,2022-09-19,Promoters,Market Purchase,Buy,Equity Shares,1600000.0,0.0,0.0,0.0,0.0,3266758.0,4.92,4866758.0,7.33
DHAMPURSUG,2022-09-19 18:13:00,2022-09-19,2022-09-19,2022-09-19,Promoters,Market Sale,Sell,Equity Shares,4040716.0,0.0,0.0,0.0,0.0,4040716.0,6.08,,0.0
DHAMPURSUG,2023-03-07 20:09:00,2023-03-07,2023-03-07,2023-03-07,Promoters,Gift,Sell,Equity Shares,4242339.0,0.0,0.0,0.0,0.0,4242339.0,6.39,,0.0
DHAMPURSUG,2023-03-07 20:09:00,2023-03-07,2023-03-07,2023-03-07,Promoters,Gift,Buy,Equity Shares,4242339.0,0.0,0.0,0.0,0.0,2341936.0,3.53,6584275.0,9.92
DHAMPURSUG,2023-03-07 20:09:00,2023-03-07,2023-03-07,2023-03-07,Promoters,Gift,Buy,Equity Shares,76350.0,0.0,0.0,0.0,0.0,6584275.0,9.92,6660625.0,10.03
DHAMPURSUG,2023-03-07 20:09:00,2023-03-07,2023-03-07,2023-03-07,Promoters,Gift,Sell,Equity Shares,76350.0,0.0,0.0,0.0,0.0,76350.0,0.12,,0.0
DHAMPURSUG,2023-03-24 17:53:00,2023-03-23,2023-03-22,2023-03-22,Promoter Group,Market Purchase,Buy,Equity Shares,1035000.0,0.0,0.0,0.0,0.0,4866758.0,7.33,5901758.0,8.89
DHAMPURSUG,2023-03-24 17:53:00,2023-03-23,2023-03-22,2023-03-22,Promoters,Off Market,Buy,Equity Shares,2974741.0,0.0,0.0,0.0,0.0,55384.0,0.08,3030125.0,4.56
DHAMPURSUG,2023-03-24 17:53:00,2023-03-23,2023-03-22,2023-03-22,Promoters,Off Market,Sell,Equity Shares,349116.0,0.0,0.0,0.0,0.0,349116.0,0.53,,0.0
DHAMPURSUG,2023-03-24 17:53:00,2023-03-23,2023-03-22,2023-03-22,Promoters,Off Market,Sell,Equity Shares,5625625.0,0.0,0.0,0.0,0.0,5625625.0,8.22,,0.0
DHAMPURSUG,2023-03-24 17:53:00,2023-03-23,2023-03-22,2023-03-22,Promoters,Market Sale,Sell,Equity Shares,1035000.0,0.0,0.0,0.0,0.0,6660625.0,10.03,5625625.0,8.47
DHAMPURSUG,2023-03-24 17:53:00,2023-03-23,2023-03-22,2023-03-22,Promoters,Off Market,Buy,Equity Shares,3000000.0,0.0,0.0,0.0,0.0,2016904.0,3.04,5016904.0,7.56
DHAMPURSUG,2023-05-26 19:01:00,2023-05-26,2023-05-26,2023-05-26,Promoters,Market Purchase,Buy,Equity Shares,4.0,0.0,0.0,0.0,0.0,18295911.0,27.56,18295915.0,27.56
DHAMPURSUG,2023-05-26 19:01:00,2023-05-26,2023-05-26,2023-05-26,Promoters,Market Sale,Sell,Equity Shares,4.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0
DHAMPURSUG,2023-10-03 13:02:00,2023-09-29,2023-09-29,2023-09-29,Promoters,Gift,Buy,Equity Shares,700000.0,0.0,0.0,0.0,0.0,,0.0,700000.0,1.05
DHAMPURSUG,2023-10-03 13:02:00,2023-09-29,2023-09-29,2023-09-29,Promoters,Gift,Buy,Equity Shares,500000.0,0.0,0.0,0.0,0.0,,0.0,500000.0,0.75
DHAMPURSUG,2023-10-03 13:02:00,2023-09-29,2023-09-29,2023-09-29,Promoters,Gift,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,3030125.0,4.56,2030125.0,3.06
DHAMPURSUG,2023-10-03 13:02:00,2023-09-29,2023-09-29,2023-09-29,Promoters,Gift,Sell,Equity Shares,1200000.0,0.0,0.0,0.0,0.0,5016904.0,7.56,3816904.0,5.75
DHAMPURSUG,2023-10-03 13:02:00,2023-09-29,2023-09-29,2023-09-29,Promoters,Gift,Buy,Equity Shares,500000.0,0.0,0.0,0.0,0.0,25050.0,0.04,525050.0,0.79
DHAMPURSUG,2023-10-03 13:02:00,2023-09-29,2023-09-29,2023-09-29,Promoters,Gift,Buy,Equity Shares,500000.0,0.0,0.0,0.0,0.0,105525.0,0.16,605525.0,0.91
