symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
DIVISLAB,2015-11-26 14:51:00,2015-11-23,2015-11-16,2015-11-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,24000.0,0.009,23000.0,0.0087
DIVISLAB,2016-01-05 12:24:00,2016-01-01,2015-12-30,2015-12-30,Director,Inter-se-Transfer,Buy,Equity Shares,27000.0,0.0,0.0,0.0,0.0,537632.0,0.2,564632.0,0.21
DIVISLAB,2016-01-13 15:51:00,2016-01-13,2016-01-11,2016-01-11,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,56200.0,0.02,53200.0,0.02
DIVISLAB,2016-02-17 19:33:00,2016-02-15,2016-02-12,2016-02-12,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,60000.0,0.023,63000.0,0.024
DIVISLAB,2016-02-23 15:39:00,2016-02-18,2016-02-16,2016-02-17,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,2000.0,0.0,0.0,0.0,0.0,63000.0,0.024,65000.0,0.024
DIVISLAB,2016-05-17 15:09:00,2016-05-17,2016-05-09,2016-05-13,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2700.0,0.0,0.0,0.0,0.0,26400.0,0.01,23700.0,0.009
DIVISLAB,2016-06-03 10:53:00,2016-06-02,2016-06-01,2016-06-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,23700.0,0.009,23200.0,0.0087
DIVISLAB,2016-06-03 14:37:00,2016-06-03,2016-06-02,2016-06-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,18940.0,0.007,13940.0,0.005
DIVISLAB,2016-06-06 17:37:00,2016-06-04,2016-05-31,2016-06-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2400.0,0.0,0.0,0.0,0.0,22400.0,0.0084,20000.0,0.0075
DIVISLAB,2016-06-08 14:47:00,2016-06-07,2016-06-03,2016-06-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,91776.0,0.0345,90776.0,0.0341
DIVISLAB,2016-06-14 18:17:00,2016-06-13,2016-06-07,2016-06-13,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4500.0,0.0,0.0,0.0,0.0,42000.0,0.016,37500.0,0.014
DIVISLAB,2016-07-11 10:35:00,2016-07-08,2016-07-07,2016-07-07,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,25000.0,0.0094,20000.0,0.0075
DIVISLAB,2016-08-18 09:47:00,2016-08-18,2016-08-17,2016-08-17,Promoters,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,100000.0,0.04,50000.0,0.02
